,textstring
index1.151,grespeck is en buten xl
index1.152,galissiensteyn kopperock xl
index1.153,haselword wylde xl
index1.154,huylsnack hulsnack xli
index1.155,honeswarwe is aheyle ij
index1.156,hasselnote sint kolder nature xli
index1.157,hauer wasset aldermeyst xli
index1.158,hennepsad is heyt vnde droge xli
index1.159,hertestunge scolopendria xli
index1.160,huslock semperuiuum xli
index1.161,hundesblomen caclafedida xlij
index1.162,hundestunge cinoglossa xlij
index1.163,hertekele hackele acutella xlij
index1.164,hamerslach fuligo xlij
index1.165,hulsz cameleon den wytten xliij
index1.166,hyntlope wegewyse xliij
index1.167,harstrang pentedanum is xliij
index1.168,hoppe dar en scriuen xliij
index1.169,heydenschen kol romesch xliij
index1.170,hiligenkersteswort herteswort xliij
index1.171,schamponie soycke des hilli genkerstesword xxv
index1.172,herteswam is ceruiboletum xliij
index1.173,holunder alhorne holderen xliij
index1.174,hederick het napi agrestis xliij
index1.175,hunsword hertesword soke des hilligenkerstesword xxv
index1.176,holwort is aristoloya xliiij
index1.177,huynsword de swarte xliiij
index1.178,iaspis de eddel steyn xliiij
index1.179,iuncfrauwen har soke in c
index1.180,capelleken capilli veneris xliiij
index1.181,yuesche wilde pippele xliiij
index1.182,yserenhard is verbena xliiij
index1.183,ysope is heyt vnde droge xliiij
index1.184,knouelock is tirica xlv
index1.185,korander is heyt xlv
index1.186,keruele is cerefolium is heyt xlv
index1.187,kese is caseus versch kesze xlvi
index1.188,klecleuer is trifolium xlvi
index1.189,kol is caulis auicenna xlvi
index1.190,kome is ciminum is heit xlvij
index1.191,kome de waterkome het xlvij
index1.192,kretelmoren pastarnack xlvij
index1.193,kroffliate is benedicta. xlviij
index1.194,koword kalueswort is arona
index1.195,soycke in a. v.
index1.196,kalm calamus aroma xlviij
index1.197,kattemynte cymynte soke in c
index1.198,karde darme laken mede xlviij
index1.199,kerseberen sint twyerhande xlviij
index1.200,koword smerword xlviij
index1.201,koningkgeskerse wulleue xlviij
index1.202,konnele serpillum is twyer xlviij
index1.203,korne dat ripe nyge xlix
index1.204,lackrissien is woltomate xlix
index1.205,leuerstock lubesstickel l
index1.206,lylien sint kold vnde vucht l
index1.207,lyllie witlilye edder golde. li
index1.208,lanck peper is vucht li
index1.209,loye het gamandrea is heyt li
index1.210,lock porrum porrus li
index1.211,lysze lynszen lens lentes. li
index1.212,lyn is wlasses edder valszsad lij
index1.213,lorberen lorberenbom lij
index1.214,luchte luchteke eufrasia liij
index1.215,ledelichte artecira brana liij
index1.216,lusekrud luszeword liij
index1.217,leuerword is epatica liij
index1.218,man is papauer liij
index1.219,melde het atriplex liiij
index1.220,merck ys apium liiij
index1.221,merredick het raphanus lv
index1.222,mynte het menta ys heyt lvi
index1.223,megedeblomen is albyana lvi
index1.224,magnes magnet lvi
index1.225,mellissa hefft almeystich lvi
index1.226,maiorana ys heyt vnde droge lvi
index1.227,myspel ys kold vnde droge lvij
index1.228,morberen mulberen lvij
index1.229,mesterword ys ostrucium lvij
index1.230,mandelen de sote synt de synt lvij
index1.231,muschaten ys nux miristica lvjjj
index1.232,muschaten blomen synt heyt lviij
index1.233,myrra ys heyt vnde droge lviij
index1.234,mastix ys gummy heyt lviij
index1.235,margariten synt fyne parlen lviij
index1.236,n nachtschedenkrud lviij
index1.237,nortmant ys roma lix
index1.238,nardus ys krud scharepp lix
index1.239,naderword serpentina lix
index1.240,nodemel krafft  sunnenmel ys amedunck socke a iiij
index1.241,neszeword des hilligenkerstes word soycke xxv
index1.242,nunnenkrud duuenkeruele ys fumus terre socke xxvij
index1.243,negelken gariofoli lx
index1.244,nettele het vrtica in latine. lx
index1.245,ossentunge de het lxj
index1.246,ossennauel ys duuenuot xxvij
index1.247,ouermonie soke borword. vij
index1.248,osterlucie soke langeholword. xliij
index1.249,ostrucie soke meysterword lvij
index1.250,orengel socke waldistel. lxxxij
index1.251,prasius ys eyn eddelsteyn. lxj
index1.252,pars socke cappelleken perle fine parlen soke lviij
index1.253,petercilie van macedonien soycke gersele gers yers. xxxix
index1.254,pynadesze socke romeschkol xlviij
index1.255,porlock socke lock in l. lj
index1.256,pepperen soke merredick lv
index1.257,pasternack socke kretelmoren xlvij
index1.258,peperkome soke kome xlvij
index1.259,porrasie soke borrago. xij
index1.260,petersword soke duuelsbete. xxvij
index1.261,pyonia peyonia is heyt lxij
index1.262,peper het piper he is lxij
index1.263,pippele poppele is malua lxiij
index1.264,pullegium polleyge is heyt lxiij
index1.265,penninckkrut wylt knouelock lxiiij
index1.266,poles hauere silre silermonta lxiiij
index1.267,poppelbomblade sint vp eyn lxv
index1.268,padelkersze is waterkerse lxv
index1.269,perdemynte wyltmynte lxv
index1.270,pyppauwe papenplatte lxv
index1.271,paradisesblad muschatenloff. lxv
index1.272,perseke persica synt vucht lxv
index1.273,plumen synt kold vnde vucht. lxv
index1.274,quyrin quirinus. lxv
index1.275,quecksuluer is gantz lxv
index1.276,quecken dede grasquecken. lxvj
index1.277,queden citonia cydonia. lxvj
index1.278,rade is nigella zizania. lxvj
index1.279,ringelen in beyren lxvij
index1.280,romeschkol spynasie soke in h.
index1.281,heydenschenkol lxlij
index1.282,rosa de rose hadde nicht lxvij
index1.283,rosen is kold in deme ersten. lxvij
index1.284,rosen oly gesopen des auendes lxviij
index1.285,rosen sucker makestu alsus. lxviij
index1.286,rosen water drinck auent. lxviij
index1.287,rosen sap makestu alsus. lxviij
index1.288,rude het ruta se is heyt. lxviij
index1.289,rod honeswarue rod sunnen weruel soke aheyle ij
index1.290,rysch rusch soke bees bezen xij
index1.291,ruword is arona in a v.
index1.292,romescheroue soke carpentas xvij
index1.293,ryndeken soke in c canneel. xviij
index1.294,romesche petercilie xxxix
index1.295,roddenplumen synt xlij
index1.296,radeheyle ys aheyle soke. ij
index1.297,remese ys vlpicum lxx
index1.298,releke millefolium dusentblat. lxix
index1.299,rode rubea de varwe lxix
index1.300,redick de het radix in latine. lxxx
index1.301,romescheroue hilligenberen. lxix
index1.302,rudick het persicaria. lxix
index1.303,rogge is siligo in vuchtem. lxix
index1.304,rosen de in deme korne wassen. lxix
index1.305,roer arundo ys gantz. lxx
index1.306,rysz dat het risum lxx
index1.307,roszyn passule vuepassule lxx
index1.308,royszes ghele arsenicum lxx
index1.309,rodelsteyn is bolus arme. xv
index1.310,romesch wete lxxj
index1.311,raden olye nigelle oleum lxxj
index1.312,reubabarum is heyt. lxxj
index1.313,reuponticum hefft macht. lxxj
index1.314,suluer is kold vnde lxxj
index1.315,sunnemel soke ame dunck in deme bokstaue a iiij
index1.316,sulfbrecke soke berenkrud xi
index1.317,spigword spranckorne soke crutzeword in c. xxi
index1.318,scamponie soke des hilligen xxv
index1.319,satureya soke gartkonele xxxviij
index1.320,schelwort steynword soke golt word in deme bokstaue g xxxix
index1.321,segel erde is gesegelt erde xl
index1.322,spynasie ys heydenschenkol xlij
index1.323,smerword soke koword xlvij
index1.324,slotwort soke beslotenkrut viij
index1.325,soden wyn soke gesoden wyn xl
index1.326,sylermontan soke poles lxiiij
index1.327,stur het blitus is kold lxiij
index1.328,scherlinck soke wedewessel lxxxij
index1.329,schorffladdeke soke lampacien
index1.330,schoneke soke duuenkeruele. xxvij
index1.331,sunte peterswort soke duuelsbete xxvij
index1.332,sunnen weruel soke aheyle ij
index1.333,swartfiole soke fiole xxxv
index1.334,swart peper soke peper lxij
index1.335,swart andorn soke godesuorgeten dat is andorn. v
index1.336,schorffword knopword lxxij
index1.337,stickdorne rampnus lxxij
index1.338,stockword yuesche lxxij
index1.339,schamponie de wyte. lxxij
index1.340,schamponie de swarte lxxiij
index1.341,sur edder surafftich lxxiij
index1.342,salueyge is heyt lxxij
index1.343,sauenbom sauina lxxiij
index1.344,swerdele swerdeyge lxxiij
index1.345,spicanardus is heyt lxxiiij
index1.346,spicateltica hefft de sulue lxxiiij
index1.347,sanekel senekel lxxiiij
index1.348,sepe sapo is heit lxxiiij
index1.349,solt dat me to etende lxxiiij
index1.350,solt van armenien lxxv
index1.351,solt dat lutter schir lxxv
index1.352,sokeren cicer syntwyt lxxv
index1.353,squillen swedelock lxxv
index1.354,sene synt blede alse lxxvj
index1.355,steyuarne saraes lxxvi
index1.356,seeblad seeblomen lxxvi
index1.357,scherlinck wedewessele lxxvi
index1.358,sper nitrum specular lxxvij
index1.359,sleen accacium accatus lxxvij
index1.360,sleensap de ripe synt lxxvij
index1.361,seygen seminare mannigerleyge vruchte alsz du hyr vindest lxxvij
index1.362,sawelsterne is terebintina. lxxxi
index1.363,spenschgron ys gud lxxix
index1.364,schaffrysch het aperilla. lxxix
index1.365,swempe fungi synt lxxix
index1.366,standelwod ys satirion lxxix
index1.367,seweuel is sulphur ys heyt. lxxix
index1.368,safferan crocus ys heyt lxxx
index1.369,saltariane herba salutaris lxxx
index1.370,sucker zuckaria lxxx
index1.371,sunte marien ysz lxxxi
index1.372,terebintina terebentina lxxxi
index1.373,tydelosen is squillum lxxxij
index1.374,turbit is wortele lxxxij
index1.375,tutya tutyan lapis lxxxij
index1.376,then stannum iupiter lxxxij
index1.377,wyt water mynte ys balsamyn
index1.378,wylt ceduar ys hillighenker
index1.379,wyld rude is duuenkeruele in d
index1.380,wytte fiolen soycke fiolen in f.
index1.381,wegewyse ys hyntlope
index1.382,waterkome soke kome k.
index1.383,wulde ys koningeskersze
index1.384,wylde lylyen soke lylyen l
index1.385,wylt knouelock is penninckkrud
index1.386,wylde negelken is hasselword
index1.387,wyt peck is terebintina.
index1.388,wylt lym is terebintina
index1.389,wyt andorn is godesvorgeten soyck andorn v
index1.390,waterkerse is padelkersze
index1.391,watermynte is perdemynte
index1.392,wyld mynte is perdemynte
index1.393,wyt pepper socke peper
index1.394,wynterblomen sint borcherdesblo
index1.395,wylt poppele socke pippele
index1.396,wylde wicken is bockesbart.
index1.397,water mynte is berenkrud
index1.398,wylde erwete is bockeshar.
index1.399,wede sterne socke scherlinck
index1.400,wede wessel is scherlinck
index1.401,wyt mane soycke mane
index1.402,waldystele socke dystel de lopende dystel edder wallende distel het
index1.403,wylde wicken socke ertappel.
index1.404,wylde ringele soke papenplatte
index1.405,uligword socke aheyle
index1.406,uerbetene soke duuelsbete
index1.407,uettehenneke soke aheyle
index1.408,unser leuen vrowen ysz socke sun te marien ysz uerword soke eyck word uarne soke steynvarn.
index1.409,ualeriana valentina. lxxxij
index1.410,wegebrede plantago. lxxxij
index1.411,wegebrede de lutteke lxxxiij
index1.412,uenekol feniculus lxxxiij
index1.413,ueltkonele wyltkonele lxxxiiij
index1.414,uyffblad vyffvinger lxxxiiij
index1.415,wegetrede centinodia lxxxiiij
index1.416,uickbonen lupine sint heit lxxxiiij
index1.417,wyd sennep eruca is heyt. lxxxv
index1.418,wyde salix is kold in deme lxxxv
index1.419,wyrok thus olibanum lxxxv
index1.420,wolrad ambra is heyt lxxxv
index1.421,weed sandix is krut lxxxvj
index1.422,wormede absintheum is: lxxxvj
index1.423,wantlusz fossessis. lxxxvj
index1.424,ulasz syde is cuscuta lxxxvi
index1.425,wyld salueyge is eupatorium lxxxvij
index1.426,wytstenbrecken sad. lxxxvij
index1.427,wedewynde de wytte lxxxvij
index1.428,wulmech holt is old hold lxxxvij
index1.429,wasz is cera wasz is eyn lxxxvij
index1.430,wycken sint orobus orobi lxxxviij
index1.431,wete triticum wete hold dat lxxxviij
index1.432,uelthoppe wilt hoye ypericon lxxxviij
index1.433,water lyse merle lenticula lxxxviij
index1.434,water vnde honnich lxxxviij
index1.435,wachandelenbom ceduar lxxxviij
index1.436,wynsteyn het tartarum lxxxix
index1.437,wylde karde is virga pastoris lxxxix
index1.438,wyd steynbrecken krut lxxxix
index1.439,waddeke het serum van allen lxxxix
index1.440,wickenbom babran hunc in gre xc
index1.441,walsche walnotebom nux xc
index1.442,walnote de grot synt alse xci
index1.443,ysope socke in i ysope xliiij
index1.444,yeszsche socke stokword xliiij
index1.445,yuesche soke in i xliiij
index1.446,yserenhart socke xliiij
index1.447,yuenloffsap in de nesze xci
index1.448,ywenbom is tamaristus xci
index2.0,hyr volgen nu na de dogende manni gerleyge watere
index2.1,water van ysopen is gud xci
index2.2,water van keruelen xci
index2.3,water van krusemynten. xci
index2.4,water van luchteken xci
index2.5,water van venekole noch xci
index2.6,water van gensekersen xcj
index2.7,water van bonen blomen xcj
index2.8,water van wedewynde xci
index2.9,water van aurinen xci
index2.10,water van bathonien xci
index2.11,water van marcke vnde pol cxi
index2.12,water van keystken xci
index2.13,water van fiolen. xci
index2.14,water van wytter vnde bruner go desuortten krude xci
index2.15,water van wopyck roszen xcij
index2.16,water van wermeden xcij
index2.17,water van biboten xcij
index2.18,water van camillen. xcij
index2.19,water van yueschen xcij
index2.20,water van merck krude xcij
index2.21,water van fumusterre xcij
index2.22,water van holword xcij
index2.23,water van husloke kuldet. xcij
index2.24,water van salueygen xcij
index2.25,water van schorffword. xcij
index2.26,water van ertberen xcij
index2.27,water van radenblomen. xcij
index2.28,water dat in dem meyge vte deme wynstocke druppet. xcij
index2.29,water van wegebreden xcij
index2.30,water van seekenneken xcij
index2.31,water van wyuekrige xciij
index2.32,water dat meerwater het xciij
index3.0,hyr volget nu na de dogede vnde nutticheyt mannigerleye olye
index3.1,olye van rosen is kolder xciij
index3.2,olye wan du neynen bom olye vnde smere bederffst so nym reyne
index3.3,olye van fiolen hefft de xciij
index3.4,olye van witten seeblomen xciij
index3.5,olye van lylyen blomen. xciij
index3.6,olye van bylsen vmme sunte xciij
index3.7,olye van persickernen xciij
index3.8,olye van eyges doderen xciij
index3.9,olye van wete is gud xciiij
index3.10,olye van camillenblomen xcliij
index3.11,olye van lorberen ys heyt. xciiij
index3.12,olye van suren mandelen xciiij
index3.13,olye van ruden is gud. xciiij
index3.14,olye van garden polleygen xciiij
index3.15,gummy arabicum is clar xciiij
index3.16,merredick pepperen den xcv
index4.0,hyr volget nu na van den gewich ten de in de artzedige horen xcv
index4.1,to deme ersten aureus denarius xcv
index5.0,hyr volget nu na van to hope set teden wateren tho dem ersten
index5.1,meer water macke alsus xcvi
index5.2,ptisana is ghersten water xcvi
index5.3,bolenta edder polenta xcvi
index5.4,mulsa hefft me ock to der art. xcvi
index5.5,pusca in der artzedige xcv
index5.6,ydrolium is twe deyl waters xcvi
index5.7,ydromel is twe deyl waters xcvi
index5.8,oximel wert van twen xcvi
index5.9,oximel macke ock alsus xcvi
index5.10,almuri macke alsus xcvi
index5.11,laff van kalueren edder lemmeren xcvi
index5.12,uetticheyt van den deyren xvi
index5.13,uette van den vogelen xcvi
index5.14,merch van allen deyren xcvj
index5.15,bregene der vogele. xcvij
index5.16,blomen der kindere xcvij
index5.17,gallen allendeyren xcvij
index5.18,blomen schalme vpnemen xcvij
index5.19,alle sad vp to nemende xcvij
index5.20,bom vruchte appele xcvij
index5.21,wortelen droge also xcvij
index5.22,roddendreck to artzedige xcvij
index5.23,sure wynberen nicht. xcvij
index6.0.0,hyr volget nu na van velen suken. des mynschen.
index6.0.1,amborsticheyt de eynem xcvij
index6.0.2,aderen der aderen to laten xcviij
index6.0.3,welke aderen du laten machst xcviij
index6.0.4,amechticheit des minschen xcviij
index6.0.5,antrax is ein swere xcviij
index6.0.6,antlat des mynschen wert xcviij
index6.0.7,wultu gud varwe hebben xcviij
index6.0.8,antlate geswullen edder xcviij
index6.0.9,antlat dat scheff wert xcviij
index6.0.10,antlat dar vlecken inne sint xcviij
index6.0.11,antlate dat bleke varwe xcviij
index6.0.12,ulecken vnder den ogen xcix
index6.0.13,antlate dat rode bose vlec xcix
index6.0.14,antlate macke wyt xcix
index6.1.0, ars
index6.1.1,arslock hefft vele sucke xcix
index6.2.0, bladderen
index6.2.1,bladderen vppe deme houede xcix
index6.3.0, buck
index6.3.1,weme de buck wey deyt c
index6.3.2,buck dar slangen inne sint c
index6.3.3,buck dar vtzen inne sint c
index6.3.4,buck weme de heyt is c
index6.4.0, ghebrocken
index6.4.1,brocken in deme liue edder c
index6.4.2,bladderen vnder den ogen c
index6.4.3,serpigo impetigo cj
index6.4.4,bosze vleysch in wunden cj
index6.4.5,been gheswullen edder cj
index6.4.6,been dat seer is edder cj
index6.4.7,been to brocken cj
index6.5.0, ghebrant
index6.5.1,we sik gebrant hefft cij
index6.6.0, bloud
index6.6.1,blodet de mynsche cij
index6.7.0, buck sucke
index6.7.1,weme de buck hart is cij
index6.8.0, houet
index6.8.1,weme dat houet wey deyt cij
index6.9.0, har
index6.9.1,har dat dat wedder wasse cij
index6.9.2,har dat dat vthualle cij
index6.10.0, oghen
index6.10.1,we suroget is de neme ciij
index6.10.2,wedder de tranen der ogen ciij
index6.10.3,wedder dat vel in den ogen ciij
index6.10.4,weme de oghen hitten ciij
index6.10.5,we na der sunnen nicht seen kan ciij
index6.10.6,scheem vor den ogen ciij
index6.10.7,wedder de dunckeren ogen ciij
index6.10.8,weme de ogen gedruntten syn ciij
index6.10.9,wedder buddegen ogen ciij
index6.10.10,weme de ogenbran ser syn ciij
index6.10.11,weme wat in de ogen sleyt ciij
index6.10.12,wedder de suren in de ogen ciiij
index6.10.13,weme de oghen gerne tranen ciiij
index6.11.0, oren
index6.11.1,oren sucke is mannigerhande ciiij
index6.11.2,wedder dat swerent der oren. ciiij
index6.11.3,we nicht wol horen kan ciiij
index6.11.4,wedder water in den oren ciiij
index6.11.5,wedder vorstoppinge der oren ciiij
index6.11.6,wedder cloppent in den oren ciiij
index6.12.0, nesze
index6.12.1,weme de nesze sweret ciiij
