,textstring
43,et le premier fut chalbroth qui engendra sarabroth qui engendra faribroth qui engendra hurtaly qui fut beau mangeur de souppes et regna au temps du deluge qui engendra nembroth qui engendra athlas qui avecques ses espaules guarda le ciel de tumber qui engendra goliath qui engendra eryx qui engendra titius qui engendra polyphemus qui engendra cacus qui engendra enceladus qui engendra ceus qui engendra typhœus qui engendra alœus qui engendra othus qui engendra aegeon qui engendra briareus qui avoit cent mains qui engendra porphyrio qui engendra adamastor qui engendra anteus qui engendra agatho qui engendra porus contre lequel batailla alexandre le grand qui engendra aranthas qui engendra gabbara qui engendra goliath de secundille qui engendra offot : lequel eut terriblement beau nez a boire au baril qui engendra artachees qui engendra oromedon qui engendra gemmagog qui fut inventeur des souliers a poulaine qui engendra sisyphus qui engendra les titanes : dont nasquit hercules qui engendra enay qui fut tresexpert en la matier de oster les cyrons des mains qui engendra fierabras lequel fut vaincu par olivier pair de france compaignon de roland qui engendra morguan qui engendra fracassus : duquel a escript merlinus coccaius : dont nasquit ferragus qui engendra happemousche qui engendra bolivorax qui engendra longys qui engendra gayoffe qui engendra maschefain qui engendra brulefer qui engendra engoulevent qui engendra galehaut qui engendra myrelangault qui engendra galaffre qui engendra falourdin qui engendra roboastre qui engendra sortibrant de conimbres qui engendra brushant de mommiere qui engendra bruyer lequel fut vaincu par ogier le dannoys pair de france qui engendra mabrun qui engendra foutasnon qui engendra hacquelebac qui engendra vitdegrain qui engendra grantgousier qui engendra gargantua qui engendra pantagruel mon maistre.
44,jentends bien que lysant ce passaige vous faictes en vous mesmes ung doubte bien raisonnable.
45,et demandez comment est il possible quainsi soit : veu que au temps du deluge tout le monde perit fors noe et sept personnes avecques luy dedans larche : au nombre desquels nest point mys ledict hurtaly?
46,la demande est bien faicte sans doute et bien apparente : mais la response vous contentera.
47,et par ce que nestoys pas de ce temps la pour vous en dire a mon plaisir ie vous allegueray lauctorite des massoreths interpres des sainctes lettres hebraicques : lesquels disent que sans point de faulte ledict hurtaly nestoit point dedans larche de noe aussi ny eust il peu entrer : car il estoit trop grand mais il estoit dessus larche à cheval iambe deca iambe dela comme les petitz infans sus les chevaulx de boys.
48,et en ceste façon saulva ladicte arche de periller : car il luy bailloit le bransle avecques les iambes et du pied la tournoit ou il vouloit comme on faict du gouvernail dune navire : et ceulx du dedans luy envoyoient des vivres par une cheminee a suffisance comme gens bien recognoissans le bien quil leur faisoit.
49,et quelquefoys parlementoient ensemble comme faisoit icaromenippus a jupiter selon le raport de lucian.
50,de la nativite du tres redoubte pantagruel.
51,gargantua en son aage de quattre cens quattre vingtz quarante et quattre ans engendra son fils pantagruel de sa femme nommée badebec fille du roy des amaurotes en utopie laquelle mourut de mal denfant : car il estoit si grand et si lourd quil ne put venir a lumiere sans ainsi suffocquer la mere.
52,mais pour entendre pleinement la cause et raison de son nom qui luy fut baille en baptesme : vous noterez que celle annee il y avoit une si grand seicheresse en tout le pays de affricque pour ce quil y avoit passé plus de xxxvi.
53,moys sans pluye avec chaleur de soleil si vehesmente que toute la terre en estoit aride.
54,et ne fut point au temps de helye plus eschauffee que fut pour lors.
55,car il ny avoit arbre sus terre quil eust ny feuille ny fleur les herbes estoient sans verdeur les rivieres taries les fontaines à sec les pauvres poissons delaissez de leurs propres elements vagans et cryans par la terre horriblement les oyseaulx tumbans de lair par faulte de rosee les loups les regnars cerfs sangliers daims lievres connils bellettes foynes blereaux et aultres bestes lon trouvoit par les champs mortes la gueule baye.
56,et au regard des hommes cestoit la grande pitie vous les eussiez veus tirans la langue comme levriers qui ont couru six heures.
57,plusieurs se gettoient dedans les puys daultres se mettoient au ventre dune vache pour estre à lumbre : et les appelle homere alibantes.
58,toute la contree estoit à lancre : cestoit pitoyable de veoir le travail des humains pour se guarantir de ceste horrificque alteration.
59,car il y avoit prou affaire de saulver leau benoiste par les esglises quelle ne feust desconfite : mais lon y donna tel ordre par le conseil de messieurs les cardinaulx et du sainct pere que nul nen osoit prendre quune venue : encores quand quelquung entroit en lesglise vous en eussiez veu a vingtaines de pauvres alterez qui venoient au derriere de celluy qui la distribuoit a quelquung la gueulle ouverte pour en avoir quelque petite goutelette : comme le maulvais riche affin que rien ne se perdit.
60,o que bienheureux fut en ceste annee celuy qui eut cave fraische et bien garnie.
61,le philosophe racompte en mouvant la question pourquoy cest que leau de la mer est sallee?
62,quau temps que phebus bailla le gouvernement de son chariot lucificque à son fils phaeton : ledict phaeton mal apris en lart et ne scavant ensuyvre la ligne eclipticque entre les deux tropicques de la sphere du soleil varia de son chemin : et tant approcha de la terre quil mist a sec toutes les contrees subiacentes bruslant une grande partie du ciel que les philosophes appellent via lactea : et les lifrelofres nomment le chemin sainct jacques.
63,adonc la terre fut tant eschauffee quil luy vint une sueur enorme dont elle sua toute la mer que par ce est sallee : car toute sueur est sallee ce que vous direz estre vray si voulez taster de la vostre propre : ou bien de celle des verollez quand on les faict suer ce me est tout ung.
64,quasi pareil cas arriva en ceste dicte annee : car ung iour de vendredy tout le monde sestoit mis en devotion et faisoit une belle procession avecques force letanies et beaux preschans supplians a dieu omnipotent les vouloir regarder de son œil de clemence en tel desconfort visiblement fut veu de la terre sortir grosses gouttes deau comme quand quelque personne sue copieusement.
65,et le pauvre peuple se commença a esiouyr comme sy ce eust este chose a eulx proffitable : car les aulcuns disoient que de humeur il ny en avoit point en lair dont on esperast de avoir pluye et que la terre supplioit au deffault.
66,les aultres gens scavans disoient que cestoit pluye des antipodes : comme senecque narre au quart livre questionum naturalium parlant de lorigine et source du fleuve du nile.
67,mais ils y furent trompez : car la procession finee alors que chascun vouloit recueillir de ceste rousee et en boire à plein godet trouverent que ce nestoit que saulmere pire et plus salee que nest leau de la mer.
68,et par ce quen ce propre iour nasquit pantagruel son pere luy imposa tel nom : car panta en grec vault autant a dire comme tout : et gruel en langue hagarene vault autant comme altere voulant inferer quà lheure de sa nativite le monde estoit tout altere.
69,et voyant en esperit de prophetie quil seroit quelque iour dominateur des alterez.
70,ce que luy fut monstre à celle heure mesmes par aultre signe plus evident.
71,car alors que sa mere badebec enfantoit et que les sages femmes attendoient pour le recepvoir issirent premier de son ventre soixante et huyt tregeniers chascun tirant par le licol ung mulet tout charge de sel : apres lesquels sortirent neuf dromadaires chargez de iambons et langues de bœuf fumees : sept chameaulx chargez danguillettes : puis vingt et cinq charrettes de porreaulx daulx doignons et de cibotz ce que espoventa bien lesdictes saiges femmes mais les aulcunes dentre elles disoyent :  voicy bonne provision.
72,aussy bien ne bevyons nous que lachement non en lancement.
73,cecy nest que bon signe ce sont aguillons de vin.
74,et comme elles caquetoyent de ces menus propos entre elles voicy sortir pantagruel tout velu comme un ours dont dist une delles en esperit propheticque :  il est ne a tout le poil : il fera choses merveilleuses ; et sil vit il aura de leage.
75,du dueil que mena gargantua de la mort de sa femme badebec.
76,quand pantagruel fut ne qui fut bien esbahy et perplex ce fut gargantua son pere : car voyant dung couste sa femme badebec morte et de laultre son fils pantagruel ne tant beau et grand il ne scavoit que dire ny que faire.
77,et le doubte qui troubloit son entendement estoit assavoir mon sil debvoit pleurer pour le deuil de sa femme ou rire pour la ioye de son fils?
78,dung coste et daultre il avoit dargumens sophisticques qui le suffocquoient : car il les faisoit tresbien in modo et figura mais il ne les pouvoit souldre.
79,et par ce moyen demouroit empestre comme ung millan prins au lasset.
80,pleureray ie disoit il?
81,ouy : car pourquoy?
82,ma tant bonne femme est morte qui estoit la plus cecy et cela qui fut au monde.
83,jamais ie ne la verray iamais ie nen recouvreray une telle : ce mest une perte inestimable.
84,o mon dieu que te avoys ie faict pour ainsi me punir?
85,que ne menvoyas tu la mort a moy premier qua elle?
86,car vivre sans elle ne mest que languir?
87,ha badebec ma mignonne ma mye mon petit con toutefois elle en avoyt bien trois arpens et deux sexterees ma tendrette ma braguette ma savatte ma pantoufle iamais ie ne te verray.
88,ha faulce mort tant tu me es malivole tant tu me es oultrageuse de me tollir celle a laquelle immortalite appartenoit de droict.
89,et ce disant pleuroit comme une vache : mais tout soubdain ryoit comme ung veau quand pantagruel luy venoit en memoire.
90,ho mon petit fils disoit il : mon couillon mon peton que tu es ioly : et tant ie ie suis tenu a dieu de ce quil me a donne ung si beau fils tant ioyeux tant ryant tant ioly.
91,hohohoho que ie suis ayse beuvons ho laissons toute melancholie apporte du meilleur rince les verres boutte la nappe chasse les chiens souffle ce feu allume ceste chandelle ferme ceste porte envoyez ces pauvres tiens ma robbe que ie me mette en pourpoint pour mieulx festoyer les comeres.
92,et en ce disant il ouyt la letanie et les mementos des prebstres qui portoient sa femme en terre : dont laissa son bon propos et tout soubdain fut ravi ailleurs : disant jesus faut il que ie me contriste encores cela me fasche le temps est dangereux ie pourray prendre quelque fiebvre voy me la affolle.
93,foy de gentilhomme il vault mieulx pleurer moins et boire davantaige.
94,ma femme est morte et bien : par dieu ie ne la ressusciteray pas par mes pleurs : elle est bien elle est en paradis pour le moins si mieulx ne est : elle prie dieu pour nous elle est bien heureuse elle ne se soucie plus de nos miseres et calamitez autant nous en pend à lœil : dieu gard le demourant il me faut penser den trouver une aultre.
95,mais voicy que vous ferez dist il es saiges femmes : allez vous en a lenterrement delle et ce pendant ie berceray icy mon fils : car ie me sens bien fort altere : et seroys en dangier de tomber malade mais beuvez quelque peu devant : car vous vous en trouverez bien et men croyez sur mon honneur.
96,a quoy obtemperant allerent a lenterrement et funerailles : et le pauvre gargantua demoura a lhostel : mais ce pendant il fist lepitaphe pour estre engrave en la maniere que sensuyt.
97,elle en mourut la noble badebec du mal denfant qui tant me sembloit nice : car elle avoit visaige de rebec corps despaignole et ventre de souyce.
98,priez a dieu qua elle soit propice luy pardonnant sen riens oultrepassa : cy gist son corps au quel vesquit sans vice et mourut lan et iour que trespassa.
99,de lenfance de pantagruel.
100,je trouve par les anciens historiographes et poetes que plusieurs sont nez en ce monde en façons bien estranges qui seroient trop longues a racompter lisez le viie livre de pline si avez loysir.
101,mais vous nen ouystes iamais dune si merveilleuse comme fut celle de pantagruel.
102,car cestoit chose difficile a croire comment il creut en corps et en force en peu de temps.
103,et nestoit rien de hercules qui estant au berceau tua les deux serpens : car les serpens estoient bien petitz et fragiles.
104,mais pantagruel estant encores au berceau fist de cas bien espouventables.
105,ie laisse icy a dire comment a chascun de ses repas il humoit le laict de quatre mille six cens vaches.
106,et comment pour luy faire un paeslon a cuire sa bouillie furent occupez tous les paesliers de saumur en aniou de villedieu en normandie de bramont en lorraine : et lu bailloit on ladicte bouillie en ung grand tymbre qui est encores de present a bourges au pres du palays : mais les dentz luy estoient desia tant crues et fortifiees quil en rompit dudict tymbre ung grand morceau comme tresbien apparoist.
107,ung certain iour vers le matin quon le vouloit faire tetter une de ses vaches car de nourrisses il nen eut iamais aultrement comme dit lhistoire il se deffit des liens qui le tenoient au berceau ung des bras et vous prent ladicte vache par dessoubs le iarret et luy mangea les deux tetins et la moitie du ventre avecques le foye et les roignons et leust toute devoree neust este quelle cryoit horriblement comme si les loups la tenoient aux iambes auquel cry le monde arriva et osterent ladicte vache des mains dudict pantagruel : mais ils ne sceurent si bien faire que le iarret ne luy en demourast comme il le tenoit et le mangeoit tresbien comme vous feriez dune saulcisse : et quand lon luy voulut oster los il lavalla bien tost comme ung cormaran feroit ung petit poisson et apres commença a dire bon bon bon : car il ne scavoit encores pas bien parler voulant donner a entendre quil lavoit trouve fort bon et quil nen failloit plus quautant.
108,ce que voyans ceulx qui le servoient le lierent a gros cables comme sont ceulx que lon faict à tain pour le voyage du sel de lyon ou comme sont ceulx de la grand navire françoyse quy est au port de grace en normandie.
109,mais quelque foys quung grand ours que nourrissoit son pere eschappa et luy venoit lescher le visaige : car les nourrisses ne luy avoient pas bien torche les babines il se deffit desdictz cables aussi facilement comme sanson dentre les philistins et vous print monsieur de lours et vous le mist en pieces comme ung poullet et vous en fist une bonne guorge chaulde pour ce repas.
110,parquoy craignant gargantua quil se gastat fist faire quatre grosses chaines de fer pour le lyer et fist faire des arboutans a son berceau bien aiustez.
111,et de ces chaines en avez une a la rochelle que lon lieve au soir entre les deux grosses tours du havre laultre est a lyon laultre a angiers.
112,et la quarte fut emportee des diables pour lyer lucifer qui se deschainoit en ce temps la a cause dune colicque qui le tourmentoit extraordinairement pour avoir mange lame dung sergeant en fricassee a son desieuner.
113,dont pouvez bien croire ce que dict nycolas de lyra sur le passaige du psaultier ou il est escript.
114,et og regem oasan.
115,que le dict og estant encores petit estoit si fort et robuste quil le failloit lyer de chaines de fer en son berceau.
116,et ainsi demoura coy et pacificque pantagruel : car il ne pouvoit rompre tant facilement lesdictes chaines mesmement quil navoit pas espace au berceau de donner la secousse des bras.
117,mais voicy quarriva ung iour dune grand feste que son pere gargantua faisoit ung beau banquet a tous les princes de la court.
118,ie croy bien que tous les officiers de la court estoient tant occupez au service du festin que lon ne se soucioit point du pauvre pantagruel : et demouroyt ainsi a reculon.
119,voicy quil fist il essaya de rompre les chaines du berceau avecques les bras mais il ne peust : car elles estoient trop fortes adonc il se trepigna tant des piedz quil rompit le bout de son berceau qui toutesfois estoit dune grosse poste de sept empans en quarre et ainsi quil eut mys les piedz dehors il se avalla le mieulx quil peust en sorte quil touchoit des piedz en terre.
120,et alors avecques grand puissance se leva emportant son berceau sur leschine ainsi lye comme une tortue qui monte contre une muraille.
121,et a le veoir sembloit que ce fust une grand caracque de cinq cens tonneaux qui feut debout.
122,en ce point entra en la salle ou lon bancquetoit et hardiment quil espouenta bien lassistence : mais par autant quil avoit les bras lyez dedans il ne pouvoit riens prendre a manger mais en grand peine se enclinoit pour prendre a tout la langue quelque lippee.
123,quoy voyant son pere entendit bien que lon lavoit laisse sans luy bailler a repaistre et commanda quil feut deslye desdictes chaines par le conseil des princes et seigneurs assistans ensemble aussi que les medecins de gargantua disoient que si on le tenoit ainsi au berceau quil seroit toute sa vie subiect a la gravelle.
124,et lorsquil fut deschaine lon le fit asseoir et repeut fort bien et mist sondict berceau en plus de cinq cent mille pieces dung coup de poing quil frappa au meillieu avecques protestation de iamais y retourner.
125,des faitz du noble pantagruel en son ieune eage.
126,chapitre v.
127,ainsi croissoit pantagruel de iour en iour et proffitoit a veue dœil dont son pere sesiouyssoit par affection naturelle.
128,et luy feit faire comme il estoit petit une arbaleste pour sesbattre apres les oysillons qui est de present en la grosse tour de bourges.
129,puis lenvoya a lescholle pour apprendre et passer son ieune aage.
130,et de faict vinct a poictiers pour estudier et y proffita beaucoup auquel lieu voyant que les escholliers estoient aulcunefoys de loysir et ne scavoient a quoy passer temps il en eut compassion.
131,et ung iour print dung grand rochier publicquement ung escholier se voulut mettre en danse ce que ne permirent pas lesdictz marroufles.
132,quoy voyant pantagruel leur bailla a tous la chasse iusques au bort du rosne et les vouloit faire tous noyer : mais ils se musserent contre terre comme taulpes bien demie lieue soubs le rosne : et le pertuys encores y apparoist.
133,et apres il sen partit et vint a angiers ou il se trouvoit fort bien : et y eust demeure quelque espace neust este que la peste les en chassa.
134,ainsi sen vint a bourges ou estudia bien long temps et proffita beaucoup en la faculte des loix.
135,et disoit aulcunesfois que les livres des loix luy sembloient une belle robbe dor triumphante et precieuse a merveilles qui feust brodee de merde : car disoit il au monde ny a livres tant beaulx tant aornez tant elegans comme sont les textes des pandectes : mais la brodure diceulx cest assavoir la glose de accursius est tant salle tant infame et punaise que ce nest quordure et villenie.
136,partant de bourges vinct a orleans et la trouva force rustres descholliers qui luy firent grand chere a sa venue : et en peu de temps aprint avecques eulx a iouer a la paulme si bien quil estoit maistre.
137,car les estudians dudict lieu en font bel exercice : et le menoient aulcunesfois es isles pour sesbatre au ieu du poussavant.
138,et au regard de se rompre fort la teste a estudier il ne le faisoit point de peur que la veue ne luy diminuast.
139,mesmement que ung quidam des regens disoit souvent en ses lectures quil ny a chose si contraire a la veue comme est la maladie des yeulx.
140,et quelque iour que lon passa licentie en loix quelquung des escholliers de sa congnoissance qui se science nen avoit gueres plus que sa portee : mais en recompense scavoit fort bien dancer et iouer a la paulme.
141,il fist le blason et devise des licentiez en ladicte universite disant.
142,ung esteuf en la braguette en la main une raquette une basse dance au talon voy vous la passe coquillon.
143,comment pantagruel rencontra ung lymousin qui contrefaisoit le françoys.
144,quelque iour que pantagruel se pourmenoit apres soupper avecques les compaignons par la porte dont lon va à paris il rencontra ung eschollier tout iolliet qui venoit par icelluy chemin et apres quils se furent saluez luy demanda.
145,mon amy dont viens tu a ceste heure.
146,leschollier luy respondit.
147,de lalme inclyte et celebre academie que lon vocite lutece.
148,questce a dire dist pantagruel a ung de ses gens.
149,cest respondit il de paris.
150,tu viens doncques de paris dist il.
151,et a quoy passez vous le temps vous aultres messieurs estudians audict paris.
152,respondit leschollier.
153,nous transfetons la sequane au dilucule et crepuscule nous deambulons par les compites et quadriviez de lurbe nous despumons la verbocination latiale et comme verisimiles amorabunds captons la benevolence de lomniiuge omniforme et omnigene sexe feminin certaines diecules nous invisons les lupanares de champgaillard de mascon de cul de sac de bourbon de huslieu et en ecstase venereicque inculcons nos veretres es penitissimes recesses des pudendes de ces meretricules amicabilissimes puis cauponizons es tabernes meritoires de la pomme de pin de la magdaleine et de la mulle belles spatules vervecines quon nomme passelourdin une grosse roche ayant environ de douze toyzes en quarre et despesseur quatorze pans.
154,et la mist sur quatre pilliers au millieu dung champ bien a son ayse affin que lesdictz escholliers quand ils ne scauroient aultre chose faire passassent le temps a monter sur ladicte pierre et la banquetter a force flacons iambons et pastez : et escrire leurs noms dessus avecques un cousteau : et de present lappelle on la pierre levee.
155,et en memoire de ce nest auiourdhuy nul passe en la matricule de ladicte universite de poictiers si non quil ait beu en la fontaine caballine de croustelles passe à passelourdin et monte sur la pierre levee.
156,en apres lysant les belles chroniques de ses ancestres trouva que geoffroy de lusignan dit geoffroy a la grand dent grand pere du beau cousin de la seur aisnee de la tante du gendre de la belle mere estoit enterre à maillezais dont print ung iour campos pour le visiter comme homme de bien.
157,et partant de poictiers avecques aulcuns de ses compaignons passerent par leguge par lusignan par sansay par celles par sainct lygaire par colonges par fontenay le comte et de la arriverent a maillezais : ou visita le sepulchre dudict geoffroy a la grand dent dont il eut quelque peu de frayeur voyant la protraicture : car il y est en ymage comme dung homme furieux tirant a demy son grand marchus de la guainne.
158,et demandoit la cause de ce les chanoines dudict lieu luy dirent quil ny avoit point daultre cause : sinon que pictoribus atque poetis etc.
159,cest a dire que les painctres et poetes ont liberte de paindre a leur plaisir ce quils veullent.
160,mais il ne sen contenta pas de leur responce et dict.
161,il nest point ainsi painct sans cause.
162,et me doubte que a sa mort lon luy a faict quelque tord dont il demande vengeance a ses parens.
163,ie men enquesteray plus a plain et en feray ce que de raison.
164,ainsi sen retourna non pas a poictiers mais il voulut visiter les aultres universitez de france dont passant a la rochelle se mist sur mer et sen vint a bourdeaulx mais il ny trouva pas grant exercice sinon des gaubarriers a iouer aux luettes sur la grave de la sen vint a thoulouse ou il aprint fort bien a dancer et a iouer de lespee a deux mains comme est lusance de escoliers de ladicte universite mais il ny demeura gueres : quand il vit quils faisoyent brusler leurs regens tous vifs comme harans soretz disant.
165,ia dieu ne plaise quainsi ie meure car ie suis de ma nature assez altere sans me chauffer davantage.
166,puis vint a montpellier ou il trouva fort bons vins de mirevaulx et ioyeuse compaignie et se cuyda mettre a estudier en medicine mais il considera que lestat estoit fascheux par trop et melancolicque et que le medecins sentoyent les clisteres comme vieux diables.
167,et par ce vouloit estudier en loix mais voyant quil ny avoit que troys teigneux et ung pele de legistes audict lieu sen partit.
168,et au chemin fist le pont du guard en moins de troys heures qui toutesfoys semble œuvre plus divine quhumaine.
169,et vint en avignon ou il ne fut pas troys iours quil ne devint amoureux car les femmes y iouent voulentiers du serrecropyere.
170,ce que voyant son pedagogue nomme epistemon len tira et le mena a valence au daulphine mais il vit quil ny avoit pas grant exercice et que les marroufles de la ville batoyent les escholiers dont il eut despit et ung beau dimenche que tout le monde dansoit perforaminees de petrofil.
171,et si par forte fortune y a rarite ou penurie de pecune en nos marsupiez et soyent exhaustez de metal ferrugine pour lescot nous dimittons nos codices et vestez oppignerees prestolans les tabelliaires a venir des penates et lares patrioticques.
172,a quoy pantagruel dist.
173,quel diable de langaige est cecy.
174,par dieu tu es quelque hereticque.
175,seignor non dist leschollier : car libentissimentent des ce quil illucesce quelque minutule lesche de iour ie denigre en quelquung de ces tant bien architectes monstiers et ia me irrorant de belle eaue lustrale grignotte dung transon de quelque missicque precation de nos sacrificules.
176,et submirmillant mes precules horaires elue et absterge mon anime de ses inquinames nocturnes ie revere les olympicoles ie venere latrialement le supernel astripotens ie dilige et reclame mes proximes ie serve les prescriptz decalogicques et selon la facultatule de mes vires nen discede le late unguicule.
177,bien est veriforme que a cause que mammone ne supergurgite point en mes locules ie suis quelque peu rare et lend à superoger les elle emosynes a ces egenes queritans leur stipe hostialement.
178,et bren bren dist pantagruel quest ce que veult dire ce fol.
