folio,side,par,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10
4,r,1,"c,M,c,9","o,N,a,m","8,a,m","9,M,9","cc,9","4,o,M,cc,o,x","c^c,a,n","8,a,m","4,o,M,a,m","cc,a,m"
4,r,2,"c,M,c,c,9","8,a,m","cc,a,m","cc,a,m","2,o,m","4,o,M,9","c^c,c,?,Z","4,o,M,cc,o,m","c,P2,c,a,m","c^c,9,c^c,o,x"
4,v,1,"c,P2,c,o,8,9","c^c,o,N,cc,9","9,M,cc,o,9","cc,o,8,a,n","4,o,M,cc,o,m","c^c,c,9","o,M,a,m","c,M,o","c^c,c,c,9","c^c,o,Z"
4,v,2,"cc,M,o,8,9","cc,9,N,c,9","o,c^c,o,8,9","4,o,M,9","c^c,o,8,a,m","cc,o,N,o,8,9","cc,c,o,Z",2,"c^c,o,8,9","o,8,9"
5,r,1,"c^c,o,8,9","N,cc,9","cc,c,o","N,c,c,9","c,c,9","4,o,M,o","8,9","c^c,o,M,c^c,9","c,M,c,9","4,o,c,o,Z"
5,v,1,"8,a,i,Z,o,8,Q","cc,o,x","o,M,o,x","cc,o,M,a,m","cc,o,x","8,a,x","8,a,m","o,M,cc,o,x","cc,c,o,M,o,x","cc,o,Z"
6,r,1,"N,a,n,Q",9,"M,a,m","9,c^c,o","c,M,c,9","9,o,8,a,m","4,o,c,M,c,o,x","c,M,c,9","cc,o,Z","c,M,c,o,Q"
6,v,1,"8,o,x,8,o,Q","o,M,9","o,N,o,Z","8,a,Q","cc,o,8,a,Q","c^c,a","8,a,i,Z","9,M,o,8,9","o,N,o,8,9","8,c,9"
6,v,2,"o,c,M,c,a,Q","cc,o,Z","9,cc,i,o,Z","8,a,m","o,N,o,x","cc,o,x,8,a,Z","8,cc,o,Z","8,o,Z","cc,9","N,cc,o,Z"
7,r,1,"o,M,a,m","o,a,n,Z","o,8,a,m","N,cc,o,2","9,cc,c,9","8,a,m","x,o,cc,c,9","cc,o","4,o,N,cc,o","cc,a,x,8"
7,r,2,"cc,c,N,c,9","8,a,m","cc,o,Z","2,cc,a,n","N,cc,o,8","cc,o,cc,9","c^c,c,N,c,9","c,P2,c,c,9","cc,o,x","cc,o,m"
7,v,1,"M,cc,c,c,9","cc,c,c,9","4,o,M,cc,9","8,cc,o,8,a,m","8,o,x","8,c,c,c,2","c^c,o,x","N,c^c,9","c^c,o","8,a,n"
7,v,2,"8,o,x,8,a,m","8,9","8,c,o,x","8,o,Z","cc,o,N,cc,9","8,a,n,Z","N,c,c,o","c^c,o","8,a,m","o,N,cc,o,Z"
8,r,1,"8,a,m","8,cc,o","8,a,i","cc,o,o,Z","N,cc,o,a,i","cc,o,M,o","cc,c,c,o,8,9,2,a,x","cc,o,c,M,9","c^c,9","N,o,x,M,o,x,8,9"
8,r,2,"o,N,o,N,cc,o,8,Q","cc,o,M,o,x","c^c,o,M,o,N,o,8,9","4,o,cc,o,8,a,m","o,M,a,Z,m","cc,o,M,9","cc,o,M","9,M,cc,o,8,9","8,o","8,a,m"
8,r,3,"2,a,i,Q","2,cc,o,x","cc,a,x","o,N,a,x","c^c,c,9","cc,o,N,c,2,c,9","o,Z","8,a,i,N,a,Q","N,a,m","c^c,o,x"
8,v,1,"2,o,Z,a,n","c,P2,c,a,Z,o,Q","P2,cc,9","N,cc,c,9","o,cc,2,o,8,9","2,cc,a,Z,cc,9","cc,a,m","c,M,c,o,Z","cc,o,x","cc,o,N,cc,9"
8,v,2,"8,a,m","cc,c,a,Z","8,a,n","Z,a,m","cc,o","cc,o,8,c,9","8,cc,o,Z","o,M,c,c,9","cc,c,a,Z","cc,c,a,Z"
9,r,1,"8,c^c,o,x,8,9","c^c,o,x","cc,o,N,a,m","c,M,c,9","2,o,Z","cc,o,Z","8,a,m","8,o,Z","o,M,a,Z","c^c,a,m"
9,r,2,"cc,N,a,Z","o,Z,a,m","9,M,cc,a,Z","8,a,m","8,cc,9","2,a,m","cc,o,8,9,N,cc,9","cc,o,c,M,o,9","c,M,c,9","o,cc,o"
9,v,1,"M,o,x,8,9","o,M,9","o,M,o,x","c,M,c,o,Z","M,a,m","M,cc,9","9,M,c,9","8,a,m","o,c,c,c,2","o,N,9"
9,v,2,"cc,o,Z","c,N,c,9","cc,N,a,m","o,N,9,N,a,m","cc,c^c,o,M,9","9,cc,o,Z","N,9,N,9","cc,9","cc,o,x","N,cc,o,x"
10,r,1,"c,M,c,9","cc,o,x","4,o,M,cc,o,x","4,o,N,cc,9","o,8,9","8,o,n,Z","cc,M,cc,o,Z","a,m","o,Z","c,N,c,9"
10,r,2,"4,o,M,o,Z","4,o,M,cc,9","8,a,m","3,o,8,a,m","o,M,a,Z",8,"c,M,c,9","4,o,M,o,Z","4,o,M,9","c^c,o,Z"
10,v,1,"8,9","cc,o,x","M,9","o,x","N,cc,o,x","9,M,c,9","8,c^c,o","8,a,m","c,M,c,9","cc,o,8,a,m"
10,v,2,"cc,c,N,c,a,i","8,a,n","8,a,m","cc,c,N,9","cc,o,x","cc,9,N,9","4,o,N,o,x","a,m","cc,o,Z","4,o,N,o,x"
11,r,1,"8,a,m","8,9","N,cc,9","cc,9","8,cc,o,x","8,o,?","8,a,m","cc,a,m","8,a,n","cc,o,M,9"
11,r,2,"8,9","c,M,c,9","o,N,cc,o,x","4,o,M,cc,9","8,a,m",2,"c,M,c,9","cc,o,8,9","8,a,i,Z","9,N,cc,o,Z"
11,v,1,"cc,o,x,8",2,"c,M,c,c,9","8,o,Z","N,c^c,o","9,cc,c,o,Z","c^c,9,a,Z,Q","c,M,c,o,Z","8,8,9","8,9"
13,r,1,"o,M,cc,o,Z","9,M,cc,9","4,o,8,cc,9","8,a,Z","N,cc,9","9,N,cc,9","9,M,c^c,9","cc,o,Z","9,N,o,Z","o,c,c,c,2"
13,r,2,"o,N,o,Z,o,Z,9","N,cc,9","2,o,M,cc,9","8,a,x,8,9","o,N,cc,a,x","9,N,o,x,9","8,a,m","cc,a,x","c^c,c,9","o,x,8,9"
13,v,1,"8,a,m","4,o,N,9","4,o,c,N,9","o,N,c^c,9","o,a,m","o,N,o,2","cc,c,9","o,x,2","c,M,c,o,8,9","o,M,cc,9"
13,v,2,"8,a,Z","N,cc,o,Z","N,cc,c,9","cc,9","9,o,x","4,o,c,M,c,9","c^c,o","M,a,x","cc,o",9
14,r,1,"cc,c,N,c,9","8,a,n","o,M,cc,o","o,c,N,c,9","cc,o,o,Z","o,N,o,Z","o,i,Z","9,cc,o,x","4,o,M,o,x,o","8,a,x,o"
14,r,2,"9,N,c,o,8,9","N,cc,9","N,cc,9","cc,9","2,o,8,a,m","cc,o,8,a,x,Q","M,cc,9,M,9","cc,c,9","N,c,o,Z","cc,c,9"
14,v,1,"8,cc,c,N,c,9","c,M,c,o,x,8,Q","8,9,N,cc,9","8,a,Q","8,a,i,Z","8,o,x","8,a,m","8,9","o,N,c^c,o","8,a,m"
15,r,1,"8,a,N,9","N,o,x","cc,9","cc,a,m","4,o,M,cc,o,Z","8,a,Q","8,o,Z","9,M,o,x","c,M,c,a,Z","8,a,m"
15,v,1,"cc,o,Z","cc,o,x","c,M,c,o,Z","8,a,m","c,M,c,9","8,a,m","cc,o,x","cc,c,o,Z","2,o,x,o,m","4,o,N,a,m"
16,r,1,"9,cc,c,a,x,o,8","8,a,n,o,8","9,N,a,i,Z","cc,o,N,9","4,o,9,N,o,m","o,N,cc,9","c^c,c,a,x","9,8,o,Z","o,c,c,2,o,Z,8,9","4,o,9"
16,r,2,"9,M,a,m","2,a,m","8,a,m","o,M,o,x","c^c,o,8,9","9,N,9","9,8,a,n","c^c,o,M,cc,9","4,o,N,9","8,o,a,x"
16,r,3,"c^c,c,9","8,9","8,x","4,o,N,cc,o,Z","M,cc,o,N,9,8","c^c,o","c^c,M,c^c,9","c^c,c,M,c,9","8,9,cc,o,N,cc,9","cc,9,N,cc,9"
16,v,1,"8,a,m+","cc,o,x","cc,N,a,Z","o,M,9","cc,N,a,Z","2,o,Z","8,a,i","9,M,cc,9","cc,o,x","cc,o,Z"
16,v,2,"o,a,o,Z,a,Z","2,o,N,a,Z","cc,o,8,9","o,M,o,Z","9,N,9","8,a,m","2,a,m","cc,N,cc,9","o,N,9,M,a,m","c,M,c,9"
17,r,1,"o,N,cc,o,Q","cc,o,Z","o,N,o,Z","4,o,8,a,Q","cc,9","o,Z","cc,o,x","o,8,2","4,o,8,c,M,c,9","o,M,cc,o,x"
17,r,2,"cc,c,M,c,9","4,o,N,cc,c,o,Z","4,o,P1,cc,o","M,c^c,o","4,o,8,9","c,M,c,c,9","8,a,i,Z","c,P2,c,a,x,8,9","c,P2,c,o,Z","c^c,o,Z"
17,r,3,"cc,o,M,o,Q","9,cc,o,8,9","9,Q,o,x","2,a,n","8,c^c,c,o,Z","cc,c,a,Z","8,a,Z","cc,9,P2,cc,a,Q","8,a,Z",o
17,v,1,"o,N,c,o,Q","cc,a,Z","o,N,c,o,Z","cc,N,c,c,9","c,M,c,9","c,M,c,c,c,9","cc,c,c,o,x","N,c,c,o,Z","cc,c,9","8,a,Z"
18,r,1,"o,N,a,n","9,N,cc,o,x","o,N,c,o,Z","c,M,c,o,Z","cc,o,Z","9,M,cc,a,Z,Q","8,9","4,o,N,cc,o,x","o,Z,cc,c,9","?,?,N,c,9"
18,r,2,"N,cc,a,m","9,cc,c,N,cc,9","8,a,Z","o,N,a,x","c,M,c,a,x","c,M,c,a,Z","c^c,a,m","o,Z","c,M,c,9","4,o,N,cc,9"
18,v,1,"8,a,Q","9,N,o,x","8,a,i,Z","8,c^c,9","9,N,o","8,9","8,o,N,9","9,M,o,x","4,o,N,cc,9","4,o,M,cc,9"
19,r,1,"9,M,cc,o,Z","?,o,c,M,c,o,Z","8,a,m,o,x","8,a,m","cc,o,Z","9,N,cc,o,Z","c,M,c,9,8","cc,o,x,8,9","4,o,x,o,8,9","4,o,M,cc,9"
19,v,1,"c,M,c,o,Z","cc,a,m",Z,"9,cc,o",2,"cc,o,c,M,c,9","c,M,c,o,x","N,cc,o,Z","9,cc,o,9","4,o,M"
19,v,2,"c,M,c,o,x","o,M,cc,o,x,cc,c,a,m","9,M,a,m","9,M,cc,o,Z","9,M,a,Z","9,M,o,Z","o,M,9","9,N,cc,o,x","9,c,c,2","8,a,i,Z"
20,r,1,"o,M,o,x,cc,c,9","o,x,M,c,c,9","o,cc,o,x","8,a,Z,a,x","M,cc,c,o,8,a,x","cc,c,9","4,o,cc,9","c^c,o","cc,o,8,a,m","cc,o"
20,r,2,"cc,c,o,8,9",Z,"cc,c,o","2,cc,o,8,a,n","o,M,a,m","c^c,o,x","8,o,x","cc,o,x","cc,o,M,c,o,x","8,a,m"
20,r,3,"M,cc,c,9","cc,o,Z,cc,c,c,9","cc,o,Z","o,cc,a,m","8,a,Z","8,a,m","4,o,M,c,c,9","o,M,cc,9,M,cc,9","o,M,cc,c,9","cc,c,o,8,9"
20,v,1,"8,a,m","c^c,o,x","a,m","o,Z","c^c,o","4,o,M,cc,9","M,o,x,c^c,9","cc,9","4,o,M,9","cc,c,M,c,9"
20,v,2,"cc,o,Z,9","c,P2,c,o,x","cc,c,9","o,N,o,m","cc,o,Z,c,M,9","cc,9","8,a,m","cc,o,x","cc,o,c,M,c,9","c^c,o,N,a,m"
21,r,1,"8,9","N,c,c,9","cc,c,9","4,o,N,cc,c,9","cc,9","cc,c,o,Z","o,x","c^c,9","4,o,M,o,x","8,a,m"
21,r,2,"c^c,9","c,M,c,o,Z","cc,o","cc,o,N,c,a,8,9","cc,c,o,Z","c^c,o,c,o,Z","8,a,8,9","4,o,M,c,c,o,x","cc,o,x,o,x","4,o,N,c,o,x"
21,r,3,"cc,N,a,m","8,a,m","cc,o,x","cc,o,Z","9,c^c,c,o,x","c^c,c,c,9","cc,o,Z","9,N,c,c,9","c^c,o,8,9","9,M,c,o,x"
21,v,1,"cc,a,m","N,cc,o",x,"cc,o","c^c,c,a,m",2,"o,M,cc,9","cc,a,m","cc,o,x","x,cc,o,x"
22,r,1,"c^c,a,n","8,a,Z","c,M,c,o,x,o","c,M,c,o,x","8,a,m","o,N,cc,9","8,9,N,a,m","4,o,N,o,x","8,o,Q","c,N,c,9"
22,r,2,"c,M,c,c,c,c","cc,o,N,c^c,cc,9",9,"9,cc,o,x,8,cc,9","o,N,9","o,x,8,o,Z","cc,o,Z","8,a,m","8,a,Z","4,o,N,cc,9"
22,r,3,"o,Z,a,m,?","c,M,c,c,o,Z","c,M,c,9","8,a,n","o,8,a,m","8,cc,o,Z","8,o,?,m","cc,o,c,M,c,9","cc,o,M,a,m","4,o,N,9"
22,r,4,"o,N,a,n","9,N,o,x","4,o,c,N,c,9","8,9,8,a,n","8,cc,o,Z","9,8,a,m","8,a,m","8,cc,o,x","N,cc,9","o,N,cc,9"
22,v,1,"8,a,m","9,N,cc,c,o,Z","8,o,Z","9,M,a,m","o,8,a,m","2,a,m","4,o,N,9","c^c,o,M,9","o,M,cc,a,m","o,M,a,Q"
22,v,2,"8,a,x,8,a,x,o,x","2,a,m,cc,9","8,o,Z,9","4,o,N,cc,9","cc,o,c,M,c,9","c,M,c,9","c^c,o","8,a,m","c^c,o,x","o,x,c^c,x,9"
23,r,1,Q,"c,M,c,o","8,a,m","9,N,a,m","8,cc,a,Z,9,N,o,Z","8,a,n,Q","o,N,cc,o,x","8,a,Q","8,a,m","x,o,x,cc,o,Z"
23,r,2,"8,a,n","8,o,x","o,x","o,x","a,Z","cc,o,x","8,a,i,Z","cc,o,x","9,M,a,Q","4,o,N,cc,o,x"
23,r,3,"8,a,x,o,Z,9","9,N,9,N,a","8,9","cc,a,x","o,8,a,x","9,M,c,a,n","cc,N,cc,9,2","o,N,a,m","4,o,N","8,a,x"
23,v,1,"o,a,x,8,a,Z,9","8,o,x","c^c,o,Z","8,o,Z,cc,c,a,Z","o,M,cc,o,Z,8,a,Z","o,x,8,a,x","c^c,o,x,o,x","8,a,i,Z","o,N,cc,c,9","4,o,M,cc,o,x,Q"
23,v,2,"c,c,c,o,x,9","o,x,o,Z,o","o,x,a,n,o,Z","o,x,2","cc,c,c,c","o,x","o,m","o,x,o,x,2","8,o,Z,o,m","9,o,N,a,m"
24,r,1,"cc,o,Z,x,9","2,a,Q","o,M,c,a,c,P2,c,9","c^c,o,Q","cc,o,x","9,o,x,N,o,x",2,"cc,o,x","8,a,m","cc,o,x"
24,v,1,"o,Z,o","M,cc,a,Z","o,Z,a,m","o,c,a,Z","8,x,o,2","o,8,a,m","o,N,a,m","o,N,o,x",c^c,"9,8,a,x"
24,v,2,"o,8,a,n,Q","o,M,cc,o,x","o,cc,8,9","8,cc,a,x","N,cc,o,8","8,cc,c,9","8,9","c^c,o","c^c,o","cc,c,c,o,8,a,Q"
25,r,1,"o,M,o,2,9","a,n,Z","o,M","8,a,i,Z","cc,o,M,a,m","o,N,a,x","4,o,M,a,m","c,M,c,a,n","8,a,m","8,a,m"
25,v,1,"o,Z,cc,a,m","c^c,c,N,?","8,a,m","8,a,n,o,x","cc,N,c,9","o,c^c,o",2,"8,c,c,a,n,Z","cc,a,n","cc,o,?"
26,r,1,"4,o,N,c,8,9","Z,cc,c,8,9","c,M,?,9","4,o,N,c,8,9","4,o,N,c,c,8,9","c,M,c,c,8,9","8,a,m","2,cc,9","cc,8,9","cc,8,9"
26,r,2,"o,M,a,x","cc,c,o,8,9","c^c,c,o,2","a,m","c^c,c,2,c","cc,c,N,9","o,N,c,c,8,9","9,N,c,c,cc,9","8,9","8,9"
26,v,1,"M,o,8,9,8,9","P2,c,c^c,9","c^c,o,8,9","o,N,c,c^c,9","9,c^c,c,c,9","o,Z,9","4,o,N,c,2","cc,c,c,?,2","2,a,m","N,c,o,8,9"
27,r,1,"N,cc,a,x,8,9","c^c,9","cc,o,x,cc,a,m","cc,o,Z","M,cc,o,x,2","cc,9","8,a,i,Z","8,a,m","c,P2,c,a,Z,9","c^c,9"
27,r,2,"o,N,cc,o,8,c,c,9","o,M,a,x","c,M,c,c,9","cc,c,9","cc,c,o,N,c,c,9","8,a,n","c,M,c,9,8,a,i","cc,o,Z","cc,c,c,2","8,a,m+"
27,v,1,"o,N,cc,o,N,c^c,9","o,N,c^c,c,2","o,M,cc,8,9","cc,2,cc,2,9","8,cc,8","c^c,8,9","c^c,o,9,N,cc,o","c^c,o","2,o,M,cc,8,9","8,cc,Z,cc,9"
28,r,1,"8,c,a,m","9,M,c,o,x","8,c,c,9","9,M,cc,o,x","o,M,a,m","8,c^c,o","c^c,o,x","8,a,m","N,o,x","o,N,cc,c,9"
28,v,1,"cc,o,m","cc,9","cc,o,x","cc,o,Z","cc,c,o,Z,o","4,o,N,cc,o,8,9","M,cc,9","cc,o,Z","4,o,N,cc,o,x","cc,9,8,9"
28,v,2,"cc,N,a,m","8,a,m","8,a,m","4,o,M,c^c,c,9","4,o,M,cc,c,9","c^c,o,m","cc,N,a,m","8,a,m","cc,o,x","o,M,o,x"
28,v,3,"8,a,Z","cc,o,x,9",2,"cc,x","cc,c,a,Z","2,o,Z","c,M,c,o,x","8,a,m","cc,9","9,N"
29,r,1,"cc,o,2","4,o,o,2","cc,o,c,M,c,9","cc,o,x,9","8,cc,o,Z","c,M,c,o,Z","c^c,c,a,Z","N,cc,a,m","4,o,M,9","4,o,N,cc,9"
29,r,2,"9,cc,o,Q","cc,c,o,8","N,o,Z","cc,c,9","4,o,Z","4,o,N,c^c,c","c,M,c,9","8,a,m","4,o,M,9,N,o,8,9","c^c,9"
29,v,1,"o,N,a,m","c^c,o","c^c,o,M","c,M,o,2","o,x,M,cc,9","c,M,c,9","o,N,a,m","o,M,c^c,9","9,c^c,o","2,9"
29,v,2,"o,a,m","9,N,c,c,c","cc,o","9,8,a,m","cc,9","cc,o,Z","cc,o,N,o,Z","c^c,o","8,o,x","c,M,c,o,8,9"
29,v,3,"8?,9","o,M,cc,c,9","4,c,N,c,o,cc,o,Z","o,M,o,8,9","cc,9,M","8,a,Z","o,c,M,c,9","cc,M,c,o,Z","8,a,m","cc,9,N,a,Z"
30,r,1,"c,M,c,o,Z,cc,9","cc,a,n","4,o,Z","8,9","cc,2,c,c,o,Z","8,o,Z","Z,a,m","Z,o","cc,o","cc,o,Z"
30,r,2,"c^c,9,N,c,c,9","cc,c,a,Z","cc,M,cc,c,9","cc,o,8,a,m","9,cc,8,a,n","cc,o,Z","8,a,Z","cc,N,c,a,m","8,a,m","c,N,c,c,9"
30,v,1,"N,cc,9,8,9","8,a,m","cc,o,N,cc,c,c,9","2,o,x","8,a,m","o,M,cc,c,o,Z","c^c,c,o,x,8,9","c^c,o","c,P2,c,c,9","c,P2,c,o,a,m"
31,r,1,"4,o,N,c,o,Z","c^c,c,o,o,8,9","8,a,m","4,o,N,c,9","cc,c,8,9","N,c,c,o,x","cc,c,c,9","a,Z","x,o,Z","8,a,Z"
31,r,2,"o,N,c,o,x","c^c,c,M,c,c,9","c^c,c,c,o","8,a,n,Z","cc,c,c,M,c,9","cc,c,o,x","4,o,N,c,o,8,9","cc,c,o,8","cc,c,o,x","4,o,N,c,8,9"
31,r,3,"a,n,c,M,c,9","o,M,c,o,Z","o,N,c,8,a,Q","c^c,c,o,x,cc,c,N,9","9,c^c,c,8,a,i,Z","o,N,c,c,8,9","8,a,m","cc,c,8,9","o,Z","2,a,n,2"
31,v,1,"?,Z,a,m","cc,c,c,o,9","9,N,c,o,2","o,M,a,2","o,N,c,c,8,9","o,c,N,c,c,8,9","a,x","o,N,c,8","cc,c,8,a,Z","o,N,c,o,8,9"
31,v,2,"cc,c,a,Q","o,Z,a,m","4,o,?,Z","o,N,c,c,9","cc,c,8,9","c,N,c,c,o,2","a,Z","2,a,m","o,N,c,o,x,a,n","N,o,Z"
32,r,1,"8,a,m","4,o,N,cc,9","4,o,M,cc,9","cc,o,8,8,a,x","8,a,m","8,a,n","9,M,c^c,o","8,c^c,o,Z","2,cc,o,Z","8,a,m"
32,r,2,"8,a,i","8,cc,o,x","8,o,x","c^c,9","c^c,o","8,o,m","8,cc,o,M,9","cc,o,N,c,o,x","2,o,M,9","cc,c,9"
32,v,1,"8,cc,c,M,c,9","cc,o,x,c^c,a,x","o,N,cc,a,i","8,o,Z,Q","8,cc,o,x","8,a,n","4,o,N,a,m","cc,o,Z","c^c,9","8,a,m"
32,v,2,"cc,9","c^c,o","o,x","a,Z","8,a","c,M,c,o,x","c,P2,c,o,x","8,a,m","cc,o,x","cc,o,Z"
33,r,1,"o,N,c,c,c,9","a,Z","o,N,a,n","cc,c,c,N,a,m","a,m","o,Z","a,m","cc,o,2","8,a,Z","o,N,a,x"
33,v,1,"cc,8,9","o,N,a,Z","o,x,8,9","cc,8,9","cc,8,9","o,N,a,Z","o,x,a,m","8,a,Z","9,cc,c,o","8,9"
33,v,2,"o,Z,a,Q","N,c,c,9","a,x","M,a,Z","o,N,a,x,9","o,N,c,c,8,9","o,Z",o,"x,o,8,a,m","cc,c,9"
34,r,1,"cc,c,N,c,9","c^c,9","a,m","cc,c,9","8,a,m","9,M,c,8,9","N,a,Q","o,8,9","8,o,8,9","o,N,c,8,9"
34,r,2,"8,a,Z,8,9","o,N,a,m","M,o,8,a,x,9","x,cc,c,9","o,Z","M,a,Q","cc,o,8,a,Z","a,i,Z","9,2,a,i,Z","a,i,N,c,9"
34,r,3,"cc,c,M,c,9","cc,c,o,x","9,N","4,o,N,c,8,9","cc,c,8,9","cc,o,x","c^c,c,N","cc,c,N,9","cc,c,N,a,Z","2,a,i,Z"
34,v,1,"cc,a,x,N,9","cc,c,N,a,x,9","4,o,N,a,Z","cc,c,8,9","N,a,i,Z","8,9,N,c,9","cc,c,cc,c,9","c^c,c,8,9","a,i,Z","o,Z"
34,v,2,"c^c,c,8,9","o,N,a,x","o,N,c,9","a,m",2,"o,8,9","?,o,2","o,N,a,Q","o,N,c,8,9","o,Z"
35,r,1,"8,a,m","N,a,m","N,9","4,o,N,c,c,9","cc,o,N,9","M,cc,o,Z","c^c,o,2,a,m","8,a,m","cc,a,i","cc,a,Z"
35,r,2,"9,M,a,n","8,a,m","cc,a,n",2,"o,cc,o,Z","4,o,M,a,m","c^c,o,x","8,a,m","o,M,cc,o,Z","4,o,M,cc,9"
35,v,1,"cc,o,Z","cc,o,Z","8,o,m","8,a,i","c,N,c,9","8,cc,9","c^c,9","2,o,8,a,m","8,a,m","cc,o,x"
36,r,1,"8,o,x,2,a,n","Q,a,m","8,a,m","M,cc,9","4,o,M,cc,9","M,o,Z","8,9","cc,o,x","cc,M,9","4,o,o,x,8,9"
36,r,2,"o,M,a,Z,o","8,a,m","9,M,o,8,a,x,9","9,8","cc,a,m","c,M,c,o,x","9,M,cc,o,Z","2,o,x,8","9,M,o,Z,o,Z,9","o,N,cc,9"
36,v,1,"c,M,c,o,Z","8,a,m","8,9","M,9","9,M,9","4,o,M,cc,o,Z",2,"o,M,cc,a,m","o,M,a,Z","4,o,P2,cc,o,Z"
36,v,2,"cc,M,a,n","2,o,m","o,M,9","c,M,c,o,x","c^c,c","o,N,9","cc,8","o,M,9","N,cc,9","9,M,o,x"
37,r,1,"8,9","o,N,9","c,N,c,o,Z","c,M,c,o,x,8,9","4,o,N,a,m","c^c,9","4,o","9,M,a,m","c^c,o","4,o,N,a,m"
37,r,2,"8,a,m","4,o,N,o,Z","N,o,Z","cc,c,9","2,o,Z","8,a,m","8,cc,o,x","4,o,M,o,Q,o,8,9","4,o,N,cc,9","c^c,o,x"
37,r,3,"8,a,m","8,a,n","c,N,c,9","8,a,m","o,N,cc,o,Z","8,a,n,Z","N,o,x","9,cc,c,9","8,a,m","c^c,9"
37,v,1,"8,a,m","4,o,M,cc,o,Z","o,M,9","2,a,m","9,M,cc,o,Z","9,o,N,o,Z","8,a,n","9,N,cc,o,i","4,o,M,o,x","8,cc,o,Z"
37,v,2,"8,a,m","cc,o,x","9,M,o","cc,o,c,M,cc,9","9,M,o,m","4,o,M,o,x","c,M,c,o,x,2","8,a,m","8,o","o,cc,c,M,c,o"
38,r,1,"8,a,m","cc,o,cc,o,Z","o,N,a,9","8,a,m","N,o,2","c^c,o","9,c^c,o","8,9","c,N,c,o,x","8,a,n"
38,v,1,"cc,o,N,a,m","cc,c^c,o,x","cc,a,Z","o,a,m","8,a,x,8,9","8,a,n","8,a,m","o,Z",Z,"8,a,n"
39,r,1,"9,N,a,m","cc,8,9","8,cc,8,9","o,N,a,x,cc,c,Q","a,x,9","cc,c,c,2","o,Z,8,9","o,Z","cc,o,x","c^c,c,N,c,8,cc,9"
