dbnl_id,title,author,year,xml_available,medical_practical,url
_goe010goed01,Goederenregister van Sint Baafs,anon.,after 1200,no,no,https://www.dbnl.org/titels/titel.php?id=_goe010goed01
_gri001grim01,Grimbergse oorlog,anon.,1852-1854 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=_gri001grim01
ghys002gris01,Griselde,Antonius Ghyselers,1517,no,no,https://www.dbnl.org/titels/titel.php?id=ghys002gris01
_haa002haag01,Haagse Liederhandschrift,anon.,ca.1400,no,no,https://www.dbnl.org/titels/titel.php?id=_haa002haag01
_haa010haag01,Haags liederenhandschrift,anon.,14th c.,no,no,https://www.dbnl.org/titels/titel.php?id=_haa010haag01
berg051hann01,Hanneken Leckertant,Jan van den Berghe,1541,no,no,https://www.dbnl.org/titels/titel.php?id=berg051hann01
coor001heme01,"Hemel-werck, ofte quay-toe-verlaet",D.V. Coornhert,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=coor001heme01
vooc001bele01,Het beleg van Gent ten jare 965,Gillis de Voocht,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=vooc001bele01
_boe007boec02,Het boeck vanden pelgherym,anon.,1486,no,no,https://www.dbnl.org/titels/titel.php?id=_boe007boec02
_keu001keur02,Het keurboek der stad Diest,anon.,15th c.,no,no,https://www.dbnl.org/titels/titel.php?id=_keu001keur02
coor001kruy01,Het kruyt-hofken,D.V. Coornhert,16th c.,no,maybe,https://www.dbnl.org/titels/titel.php?id=coor001kruy01
_goe008goed00,Het oudste goederenregister van Oudenbiezen (2 delen),anon.,1965-1977 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=_goe008goed00
smek001spel03,Het spel vanden heilighen sacramente vander Nyeuwervaert,Jan Smeken,?,no,no,https://www.dbnl.org/titels/titel.php?id=smek001spel03
colu008hist01,Historien van Troyen,Guido de Columna,1479,no,no,https://www.dbnl.org/titels/titel.php?id=colu008hist01
_his003heem03,Historie vanden vier heemskinderen,anon.,15th c.,no,no,https://www.dbnl.org/titels/titel.php?id=_his003heem03
_his006hist02,Historie van Floris ende Blancefleur,anon.,15th c.,no,no,https://www.dbnl.org/titels/titel.php?id=_his006hist02
maer002npau01,Historie van Troyen,Jacob van Maerlant,1889-1892 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=maer002npau01
smek001huem01,Hue Mars en Venus tsaemen bueleerden,Jan Smeken,?,no,no,https://www.dbnl.org/titels/titel.php?id=smek001huem01
_jon001npau01,Jonathas ende Rosafiere,anon.,1893-1897 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=_jon001npau01
_kam001kamp01,Kamper Kronijken (2 delen),anon.,1862-1864 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=_kam001kamp01
_kos002kost01,Koster Johannes,anon.,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=_kos002kost01
_lan002lanc00,Lanceloet (4 delen),anon.,1991-1998 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=_lan002lanc00
ghis001lean01,Leander ende Hero,Cornelis van Ghistele,ca.1552-1553,no,no,https://www.dbnl.org/titels/titel.php?id=ghis001lean01
weve002leve01,"Leven van Sinte Amand, patroon der Nederlanden",Gillis de Wevel,1842-1843 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=weve002leve01
will017leve01,Leven van St. Lutgart,Willem van Afflighem,1250,no,no,https://www.dbnl.org/titels/titel.php?id=will017leve01
coor001lied01,Lied-boeck,D.V. Coornhert,ca.1575,yes,no,https://www.dbnl.org/titels/titel.php?id=coor001lied01
dale004lofh01,'Lof hostie',Jan van den Dale,1524,no,no,https://www.dbnl.org/titels/titel.php?id=dale004lofh01
roov002lofv01,Lof van den heijlighen sacramente,Anthonis de Roovere,1478,no,no,https://www.dbnl.org/titels/titel.php?id=roov002lofv01
_mer001merl01,Merlijn,anon.,ca.1534-1544,no,no,https://www.dbnl.org/titels/titel.php?id=_mer001merl01
eras001mori01,Moriae Encomion,Desiderius Erasmus,1511,no,no,https://www.dbnl.org/titels/titel.php?id=eras001mori01
coor001nade01,Nadencken opt sevende Capittel totten Romeynen,D.V. Coornhert,ca.1583,no,no,https://www.dbnl.org/titels/titel.php?id=coor001nade01
lamb011naem01,Naembouck van allen naturelicken...,Joos Lambrecht,1546,yes,no,https://www.dbnl.org/titels/titel.php?id=lamb011naem01
_ned049nede01,Nederfrankische Tristan,anon.,?,no,no,https://www.dbnl.org/titels/titel.php?id=_ned049nede01
lamb011nede01,Nederlandsche spellijnghe...,Joos Lambrecht,1550,no,no,https://www.dbnl.org/titels/titel.php?id=lamb011nede01
coor001oftg01,Oft gheloove saligh maeckt sonder wercken,D.V. Coornhert,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=coor001oftg01
_ong006npau01,Ongeïdentificeerd (2). Koning Ghaleane,anon.,1893-1897 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=_ong006npau01
coor001becl01,Op 't beclagh van 't mesbruyck des avontmaels,D.V. Coornhert,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=coor001becl01
eras001oper12,Opera Omnia (ASD-editie) (63 dln),Desiderius Erasmus,1969-,no,no,https://www.dbnl.org/titels/titel.php?id=eras001oper12
coor001para01,Paradoxa,D.V. Coornhert,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=coor001para01
_pee001peet01,Peeter van Provencen,anon.,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=_pee001peet01
_phy001phys01,Physiologus,anon.,?,no,maybe,https://www.dbnl.org/titels/titel.php?id=_phy001phys01
coor001proe01,Proeve vande Heydelberghsche Catechismo,D.V. Coornhert,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=coor001proe01
matt010rech01,Rechtsboek van Brielle,Jan Matthijssen,13th c.,no,no,https://www.dbnl.org/titels/titel.php?id=matt010rech01
does003refr02,Refreynen int sot amoureus wijs,Jan van Doesborch,ca.1524,no,no,https://www.dbnl.org/titels/titel.php?id=does003refr02
_rid002ridd02,Ridder metter swane,anon.,ca.1515,no,no,https://www.dbnl.org/titels/titel.php?id=_rid002ridd02
maer002jdav01,Rijmbijbel,Jacob van Maerlant,1858-1859 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=maer002jdav01
_rob001robr02,Robrecht de Duyvel,anon.,1516,no,no,https://www.dbnl.org/titels/titel.php?id=_rob001robr02
_lan002roma01,Roman van Lancelot,anon.,1846-1849 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=_lan002roma01
_per001wjon01,Roman van Perchevael,anon.,1846-1849 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=_per001wjon01
coor001scho01,Schole der deughden,D.V. Coornhert,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=coor001scho01
bijn003refe06,Schoon ende suverlijc boecxken...,Anna Bijns,1528,no,no,https://www.dbnl.org/titels/titel.php?id=bijn003refe06
_pat002rver01,Sint Patricius' vagevuur,anon.,1914-1917 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=_pat002rver01
zuyl004sout02,Souterliedekens,Willem van Zuylen van Nyevelt,1540,yes,no,https://www.dbnl.org/titels/titel.php?id=zuyl004sout02
smek001spel01,Spelen van de Zeven Weeën,Jan Smeken,?,no,no,https://www.dbnl.org/titels/titel.php?id=smek001spel01
_vvr001vvro01,Spel van de V vroede en V dwaeze Maegden,anon.,15th c.,no,no,https://www.dbnl.org/titels/titel.php?id=_vvr001vvro01
goet011spie01,Spiegel der jongers,Lambertus Goetman,1488,no,no,https://www.dbnl.org/titels/titel.php?id=goet011spie01
velt003spie06,Spiegel historiael. Vijfde partie (3 delen),Lodewijk van Velthem,1906-1938 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=velt003spie06
_str002stri02,Strijt van Roncevale,anon.,ca.1500,no,no,https://www.dbnl.org/titels/titel.php?id=_str002stri02
bert009sust01,Suster Bertkens boeck...,Suster Bertken van Utrecht,1516,no,no,https://www.dbnl.org/titels/titel.php?id=bert009sust01
coor001suyv01,Suyveringe opten titule,D.V. Coornhert,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=coor001suyv01
ever003swer01,'s Werelds bestaan,Cornelis Everaert,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=ever003swer01
_taf009tafe01,Tafelspel van twee personagien...,anon.,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=_taf009tafe01
dirc001lmfd00,Tafel van den kersten ghelove (3 delen),Dirc van Delf,1937-1939 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=dirc001lmfd00
_taf006tafe02,Tafereelen uit het leven van Jesus,anon.,15th c.,no,no,https://www.dbnl.org/titels/titel.php?id=_taf006tafe02
coor001bedr01,'t Bedrogh des werelts,D.V. Coornhert,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=coor001bedr01
saks005boec01,Tboeck vanden leven ons heeren Iesu Christi,Ludolf van Saksen,1487,no,no,https://www.dbnl.org/titels/titel.php?id=saks005boec01
cail002tdal01,Tdal sonder wederkeeren oft Tpas der doot,Colijn Caillieu,1528,no,no,https://www.dbnl.org/titels/titel.php?id=cail002tdal01
_teg003tege01,Tegen de barbarij,anon.,15th c.,no,no,https://www.dbnl.org/titels/titel.php?id=_teg003tege01
_str001tegh01,Teghen die Strael der Minnen,anon.,ca.1484,no,no,https://www.dbnl.org/titels/titel.php?id=_str001tegh01
spli008npau01,Testament,Jan Splinter,1893-1897 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=spli008npau01
_ghe001ghev02,Tghevecht van Minnen,anon.,1516,no,no,https://www.dbnl.org/titels/titel.php?id=_ghe001ghev02
orte001thea01,Theatrum orbis terrarum,Abraham Ortelius,17th c.,no,no,https://www.dbnl.org/titels/titel.php?id=orte001thea01
elia007tiel01,Tielebuys,Willem Elias,1541,no,no,https://www.dbnl.org/titels/titel.php?id=elia007tiel01
coor001trag01,Tragica-comedia vanden thien maeghden,D.V. Coornhert,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=coor001trag01
coor001tsam01,Tsamensprake of de quade willich quaat zijn...,D.V. Coornhert,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=coor001tsam01
pauw021tspe01,Tspel van de christenckercke,Reyer Pauwelsz,ca.1540,no,no,https://www.dbnl.org/titels/titel.php?id=pauw021tspe01
bijn003refe04,Tweede boeck vol schoone ende constighe refereynen,Anna Bijns,1548,no,no,https://www.dbnl.org/titels/titel.php?id=bijn003refe04
coor001twee05,Tweede Verantwoordinge Eens eenigen Sendbriefs...,D.V. Coornhert,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=coor001twee05
_twi001twis01,Twispraec der creaturen,anon.,1481,no,no,https://www.dbnl.org/titels/titel.php?id=_twi001twis01
_ule001ulen01,Ulenspiegel,anon.,1525,no,no,https://www.dbnl.org/titels/titel.php?id=_ule001ulen01
coor001vant03,Van 't kerck-bouwen der dooperen opten waenscherm,D.V. Coornhert,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=coor001vant03
_are001aren01,Van Arent Bosman...,anon.,[1487-1488],yes,no,https://www.dbnl.org/titels/titel.php?id=_are001aren01
_van027vand01,Vanden bere Wisselau,anon.,?,no,no,https://www.dbnl.org/titels/titel.php?id=_van027vand01
coor001boom01,Van den boom des levens,D.V. Coornhert,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=coor001boom01
roov002vand01,Vanden Hinnen tastere,Anthonis de Roovere,ca.1555,no,no,https://www.dbnl.org/titels/titel.php?id=roov002vand01
_neg002npau01,Van den neghen besten (korte versie),anon.,1893-1897 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=_neg002npau01
_neg002negh02,Van den neghen besten (lange versie),anon.,1460-1470,no,no,https://www.dbnl.org/titels/titel.php?id=_neg002negh02
_neg002npau02,Van den neghen besten (lange versie),anon.,1893-1897 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=_neg002npau02
enge022vand02,Van den proprieteyten der dinghen,Bartholomeus Engelsman,1485,no (PDF/EPUB only),YES,https://www.dbnl.org/titels/titel.php?id=enge022vand02
coor001vand04,Vande sendinghe,D.V. Coornhert,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=coor001vand04
coor001vand11,Vande zendinghe der Lutheranen...,D.V. Coornhert,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=coor001vand11
vaer003vand02,Van die beroerlicke tijden in die Nederlanden...,Marcus van Vaernewyck,ca.1566-1568,no,no,https://www.dbnl.org/titels/titel.php?id=vaer003vand02
vaer003vand01,Van die beroerlicke tijden in die Nederlanden...,Marcus van Vaernewyck,1872-1881 ed.,yes,no,https://www.dbnl.org/titels/titel.php?id=vaer003vand01
eras001kers02,Van die kerstelijcke ridder,Desiderius Erasmus,1523,no,no,https://www.dbnl.org/titels/titel.php?id=eras001kers02
ghis001vane01,Van Eneas en Dido,Cornelis van Ghistele,ca.1551-1552,no,no,https://www.dbnl.org/titels/titel.php?id=ghis001vane01
coor001godt01,Van Godt,D.V. Coornhert,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=coor001godt01
_van034vanl01,Van Lacarise den katijf,anon.,14th c.,no,no,https://www.dbnl.org/titels/titel.php?id=_van034vanl01
_nye001nyeu02,"Van Nyeuvont, Loosheit ende Practike...",anon.,ca.1502,no,no,https://www.dbnl.org/titels/titel.php?id=_nye001nyeu02
beat001seve01,Van seven manieren van heiliger minnen,Beatrijs van Nazareth,?,no,no,https://www.dbnl.org/titels/titel.php?id=beat001seve01
_van030vand01,Vanden monick,anon.,14th c.,no,no,https://www.dbnl.org/titels/titel.php?id=_van030vand01
luth001vand01_01,Vanden Slotelen,Maarten Luther,1531,yes,no,https://www.dbnl.org/titels/titel.php?id=luth001vand01_01
_tie001tien02,Vanden tien esels,anon.,after 1520,no,no,https://www.dbnl.org/titels/titel.php?id=_tie001tien02
_doc004doch01,Vander dochtere van Syon,anon.,1492,no,no,https://www.dbnl.org/titels/titel.php?id=_doc004doch01
frae002veel01,Veelderhande liedekens,Frans Fraet,ca.1650,no,no,https://www.dbnl.org/titels/titel.php?id=frae002veel01
ghis001verg01,Vergilius' Aeneis,Cornelis van Ghistele,1554-1556,no,no,https://www.dbnl.org/titels/titel.php?id=ghis001verg01
_ver010verh02,Verhael der reformatie...,anon.,1468,no,no,https://www.dbnl.org/titels/titel.php?id=_ver010verh02
_wis002wise01,Wisen raet van vrouwen,anon.,14th c.,no,no,https://www.dbnl.org/titels/titel.php?id=_wis002wise01
_zui003zuid01,Zuid-Nederlandse vertaling...,anon.,?,no,no,https://www.dbnl.org/titels/titel.php?id=_zui003zuid01
maer002dern01,Der naturen bloeme,Jacob van Maerlant,1271-72 (copies through 15th c.),no (PDF only),YES,https://www.dbnl.org/titels/titel.php?id=maer002dern01
