doc_id,block_type,para_id,sent_id,is_para_final,page_n,heading,textstring_orig,textstring_rich,textstring_simple
ellis_1854,body,14,0,True,39,Tincture of Lobelia,"℞. Tincturæ Lobeliæ, f℥j.",℞ tincturæ lobeliæ f℥j,r tincturae lobeliae fzj
ellis_1854,body,15,0,False,39,Solution of Tartrate of Antimony,"℞. Antimonii et Potassæ Tartratis, gr. iv.",℞ antimonii et potassæ tartratis gr iv,r antimonii et potassae tartratis gr iv
ellis_1854,body,15,1,False,39,Solution of Tartrate of Antimony,"Sacchari, ʒj.",sacchari ʒj,sacchari dj
ellis_1854,body,15,2,False,39,Solution of Tartrate of Antimony,"Aquæ destillatæ, f℥iv.",aquæ destillatæ f℥iv,aquae destillatae fziv
ellis_1854,body,15,3,True,39,Solution of Tartrate of Antimony,"Misce, et fiat solutio.",misce et fiat solutio,misce et fiat solutio
ellis_1854,body,16,0,False,39,Solution of Sulphate of Zinc and Alum,"℞. Zinci Sulphatis, ʒiss.",℞ zinci sulphatis ʒiss,r zinci sulphatis diss
ellis_1854,body,16,1,False,39,Solution of Sulphate of Zinc and Alum,"Aluminis, ʒss.",aluminis ʒss,aluminis dss
ellis_1854,body,16,2,False,39,Solution of Sulphate of Zinc and Alum,"Aquæ ferventis, Oss.",aquæ ferventis oss,aquae ferventis oss
ellis_1854,body,16,3,True,39,Solution of Sulphate of Zinc and Alum,Misce.,misce,misce
ellis_1854,body,17,0,False,40,Solution of Emetia,"℞. Emetiæ fuscæ, gr. iv.",℞ emetiæ fuscæ gr iv,r emetiae fuscae gr iv
ellis_1854,body,17,1,False,40,Solution of Emetia,"Aquæ destillatæ, f℥ij.",aquæ destillatæ f℥ij,aquae destillatae fzij
ellis_1854,body,17,2,False,40,Solution of Emetia,"Syrupi, f℥ss.",syrupi f℥ss,syrupi fzss
ellis_1854,body,17,3,True,40,Solution of Emetia,Fiat solutio.,fiat solutio,fiat solutio
ellis_1854,body,18,0,False,40,"Mixture of Ipecacuanha, &c","℞. Pulveris Ipecacuanhæ, ʒss.",℞ pulveris ipecacuanhæ ʒss,r pulveris ipecacuanhae dss
ellis_1854,body,18,1,False,40,"Mixture of Ipecacuanha, &c","Antimonii et Potassæ Tartratis, gr. j.",antimonii et potassæ tartratis gr j,antimonii et potassae tartratis gr j
ellis_1854,body,18,2,False,40,"Mixture of Ipecacuanha, &c","Tincturæ Scillæ, f℥j.",tincturæ scillæ f℥j,tincturae scillae fzj
ellis_1854,body,18,3,False,40,"Mixture of Ipecacuanha, &c","Aquæ destillatæ, f℥vij.",aquæ destillatæ f℥vij,aquae destillatae fzvij
ellis_1854,body,18,4,True,40,"Mixture of Ipecacuanha, &c",Fiat mistura.,fiat mistura,fiat mistura
ellis_1854,body,19,0,False,40,Infusion of Ipecacuanha,"℞. Pulveris Ipecacuanhæ, ʒij.",℞ pulveris ipecacuanhæ ʒij,r pulveris ipecacuanhae dij
ellis_1854,body,19,1,True,40,Infusion of Ipecacuanha,"Aquæ bullientis, f℥vj.",aquæ bullientis f℥vj,aquae bullientis fzvj
ellis_1854,body,20,0,False,40,"Infusion of Lobelia Inflata, or Indian Tobacco","℞. Lobeliæ, ℥j.",℞ lobeliæ ℥j,r lobeliae zj
ellis_1854,body,20,1,False,40,"Infusion of Lobelia Inflata, or Indian Tobacco","Aquæ bullientis, Oj.",aquæ bullientis oj,aquae bullientis oj
ellis_1854,body,20,2,True,40,"Infusion of Lobelia Inflata, or Indian Tobacco",Fiat infusio.,fiat infusio,fiat infusio
ellis_1854,body,21,0,False,41,Infusion of Tobadco,"℞. Tabaci, ʒj.",℞ tabaci ʒj,r tabaci dj
ellis_1854,body,21,1,False,41,Infusion of Tobadco,"Aquæ bullientis, Oj.",aquæ bullientis oj,aquae bullientis oj
ellis_1854,body,21,2,True,41,Infusion of Tobadco,"Macera per horam unam in vase leviter clauso, et cola.",macera per horam unam in vase leviter clauso et cola,macera per horam unam in vase leviter clauso et cola
ellis_1854,body,22,0,True,41,Sirup of Seneka and Squills,"℞. Syrupi Scillæ Compositi, fʒj.",℞ syrupi scillæ compositi fʒj,r syrupi scillae compositi fdj
ellis_1854,body,23,0,True,41,Sirup of Ipecacuanha,"℞. Syrupi Ipecacuanhso, f℥j.",℞ syrupi ipecacuanhso f℥j,r syrupi ipecacuanhso fzj
ellis_1854,body,24,0,False,42,Tartar Emetic and Quinia,"℞. Antimonii et Potassæ Tartratis, gr. iij.",℞ antimonii et potassæ tartratis gr iij,r antimonii et potassae tartratis gr iij
ellis_1854,body,24,1,False,42,Tartar Emetic and Quinia,"Quinise Sulphatis, gr. x.",quinise sulphatis gr x,quinise sulphatis gr x
ellis_1854,body,24,2,True,42,Tartar Emetic and Quinia,"Misce, et divide in partes vj. equales.",misce et divide in partes vj equales,misce et divide in partes vj equales
ellis_1854,body,25,0,True,42,Tobacco Poultice,"℞. Tabaci, ʒj.",℞ tabaci ʒj,r tabaci dj
ellis_1854,body,26,0,False,44,Powder with Calomel and Jalap,"℞. Hydrargyri Chloridi Mitis, gr. v.",℞ hydrargyri chloridi mitis gr v,r hydrargyri chloridi mitis gr v
ellis_1854,body,26,1,False,44,Powder with Calomel and Jalap,"Pulveris Jalapae, gr. x.",pulveris jalapae gr x,pulveris jalapae gr x
ellis_1854,body,26,2,True,44,Powder with Calomel and Jalap,Misce.,misce,misce
ellis_1854,body,27,0,False,44,Powder with Calomel and Rhnbarb,"℞. Hydrargyri Chloridi Mitis, Pulveris Rhei, āā gr. v.",℞ hydrargyri chloridi mitis pulveris rhei āā gr v,r hydrargyri chloridi mitis pulveris rhei aa gr v
ellis_1854,body,27,1,False,44,Powder with Calomel and Rhnbarb,"Olei Cinnamomi, gtt. j.",olei cinnamomi gtt j,olei cinnamomi gtt j
ellis_1854,body,27,2,True,44,Powder with Calomel and Rhnbarb,Misce.,misce,misce
ellis_1854,body,28,0,False,44,Powder hvith Calomel and Soda,"℞. Hydrargyri Chloridi Mitis, gr. viij.",℞ hydrargyri chloridi mitis gr viij,r hydrargyri chloridi mitis gr viij
ellis_1854,body,28,1,False,44,Powder hvith Calomel and Soda,"Sodæ Bicarbonatis, gr. xij.",sodæ bicarbonatis gr xij,sodae bicarbonatis gr xij
ellis_1854,body,28,2,True,44,Powder hvith Calomel and Soda,Misce.,misce,misce
ellis_1854,body,29,0,False,44,"Powder with Calomel, Jalap, and Rhuharh","℞. Hydrargyri Chloridi Mitis, gr. v.",℞ hydrargyri chloridi mitis gr v,r hydrargyri chloridi mitis gr v
ellis_1854,body,29,1,False,44,"Powder with Calomel, Jalap, and Rhuharh","Pulveris Jalap» Rhei, āā gr. v.",pulveris jalap» rhei āā gr v,pulveris jalap rhei aa gr v
ellis_1854,body,29,2,False,44,"Powder with Calomel, Jalap, and Rhuharh","Olei Cinnamomi, gtt. j.",olei cinnamomi gtt j,olei cinnamomi gtt j
ellis_1854,body,29,3,True,44,"Powder with Calomel, Jalap, and Rhuharh",Misce.,misce,misce
ellis_1854,body,30,0,False,45,Powder tcith Rhubarb and Magnesia,"℞. Pulveris Rhei, ℈j.",℞ pulveris rhei ℈j,r pulveris rhei ej
ellis_1854,body,30,1,False,45,Powder tcith Rhubarb and Magnesia,"Magnesiæ, Bss.",magnesiæ bss,magnesiae bss
ellis_1854,body,30,2,False,45,Powder tcith Rhubarb and Magnesia,"Olei Cinnamomi, gtt. j.",olei cinnamomi gtt j,olei cinnamomi gtt j
ellis_1854,body,30,3,False,45,Powder tcith Rhubarb and Magnesia,Misce.,misce,misce
ellis_1854,body,30,4,True,45,Powder tcith Rhubarb and Magnesia,Si'gna.,si gna,si gna
ellis_1854,body,31,0,True,45,Calcined Magnesia,"℞. Magnesiæ, ℥j.",℞ magnesiæ ℥j,r magnesiae zj
ellis_1854,body,32,0,False,45,Powder of Jalap and Cream of Tartar,"℞. Pulveris Jalapae, ʒj.",℞ pulveris jalapae ʒj,r pulveris jalapae dj
ellis_1854,body,32,1,False,45,Powder of Jalap and Cream of Tartar,"Potassæ Bitartratis, ʒvj.",potassæ bitartratis ʒvj,potassae bitartratis dvj
ellis_1854,body,32,2,True,45,Powder of Jalap and Cream of Tartar,"Misce, et divide in chartulas yj.",misce et divide in chartulas yj,misce et divide in chartulas yj
ellis_1854,body,33,0,False,45,Compound Powder of Jalap and Gamboge,"℞. Pulveris Jalapae Compositi, ℥iij- Gambogiae, gr. vj.",℞ pulveris jalapae compositi ℥iij gambogiae gr vj,r pulveris jalapae compositi ziij gambogiae gr vj
ellis_1854,body,33,1,True,45,Compound Powder of Jalap and Gamboge,"Misce, et divide in chartulas yj.",misce et divide in chartulas yj,misce et divide in chartulas yj
ellis_1854,body,34,0,False,46,Powder of Sulphur and Cream of Tartar,"℞. Sulphuris loti, ʒss.",℞ sulphuris loti ʒss,r sulphuris loti dss
ellis_1854,body,34,1,False,46,Powder of Sulphur and Cream of Tartar,"Potassæ Bitartratis, ʒj.",potassæ bitartratis ʒj,potassae bitartratis dj
ellis_1854,body,34,2,False,46,Powder of Sulphur and Cream of Tartar,Misce.,misce,misce
ellis_1854,body,34,3,True,46,Powder of Sulphur and Cream of Tartar,AYywa.,ayywa,ayywa
ellis_1854,body,35,0,False,46,Powder with MUk of Sulphur and Calcined Magnesia,"℞. Sulphuris praecipitati, Magnesi S ℥ss.",℞ sulphuris praecipitati magnesi s ℥ss,r sulphuris praecipitati magnesi s zss
ellis_1854,body,35,1,False,46,Powder with MUk of Sulphur and Calcined Magnesia,Misce.,misce,misce
ellis_1854,body,35,2,True,46,Powder with MUk of Sulphur and Calcined Magnesia,Sijna.,sijna,sijna
ellis_1854,body,36,0,False,46,Seidlitz Powders,"℞. Sodse et Potassæ Tartratis, ʒij.",℞ sodse et potassæ tartratis ʒij,r sodse et potassae tartratis dij
ellis_1854,body,36,1,False,46,Seidlitz Powders,"Sodfio Bicarbonatis, ℈ij.",sodfio bicarbonatis ℈ij,sodfio bicarbonatis eij
ellis_1854,body,36,2,False,46,Seidlitz Powders,Fiat pulvis.,fiat pulvis,fiat pulvis
ellis_1854,body,36,3,True,46,Seidlitz Powders,"Si(/na, To be dissolved in half a tumbler of cold.",si na to be dissolved in half a tumbler of cold,si na to be dissolved in half a tumbler of cold
ellis_1854,body,37,0,True,46,water,"℞. Acidi Tartaric! pulverizati, gr. xxv.",℞ acidi tartaric pulverizati gr xxv,r acidi tartaric pulverizati gr xxv
ellis_1854,body,38,0,True,46,Soda Powders,"℞. SodoB Bicarbonatis, ʒss.",℞ sodob bicarbonatis ʒss,r sodob bicarbonatis dss
ellis_1854,body,39,0,True,47,,"℞. Acidi Tartarici, gr. xxv.",℞ acidi tartarici gr xxv,r acidi tartarici gr xxv
ellis_1854,body,40,0,False,47,Stevens's Saline Powders,"℞. Sodæ Bicarbonatis, ʒss.",℞ sodæ bicarbonatis ʒss,r sodae bicarbonatis dss
ellis_1854,body,40,1,False,47,Stevens's Saline Powders,"Sodii Chloridi, ℈j.",sodii chloridi ℈j,sodii chloridi ej
ellis_1854,body,40,2,False,47,Stevens's Saline Powders,"Potassoe Chloratis, gr. vij.",potassoe chloratis gr vij,potassoe chloratis gr vij
ellis_1854,body,40,3,True,47,Stevens's Saline Powders,Misce.,misce,misce
ellis_1854,body,41,0,False,47,Griffith's Cathartic Pills,"℞. Pulveris Jalapa?, Rhei Saponis, āā ʒss.",℞ pulveris jalapa rhei saponis āā ʒss,r pulveris jalapa rhei saponis aa dss
ellis_1854,body,41,1,False,47,Griffith's Cathartic Pills,"Hydrargyri Chloridi Mitis, gr. xxv.",hydrargyri chloridi mitis gr xxv,hydrargyri chloridi mitis gr xxv
ellis_1854,body,41,2,False,47,Griffith's Cathartic Pills,"Antimonii et Potassæ Tartratis, gr. jss.",antimonii et potassæ tartratis gr jss,antimonii et potassae tartratis gr jss
ellis_1854,body,41,3,False,47,Griffith's Cathartic Pills,"Aquæ destillatæ?, quantum sufficit ut fiat massa.",aquæ destillatæ quantum sufficit ut fiat massa,aquae destillatae quantum sufficit ut fiat massa
ellis_1854,body,41,4,True,47,Griffith's Cathartic Pills,Divide in,divide in,divide in
ellis_1854,body,42,0,False,47,"Pills of Blue Mass, Aloes, &c","℞. Pilulas Hydrargyri, Pulveris Jalapae Aloes, āā gr. xv.",℞ pilulas hydrargyri pulveris jalapae aloes āā gr xv,r pilulas hydrargyri pulveris jalapae aloes aa gr xv
ellis_1854,body,42,1,False,47,"Pills of Blue Mass, Aloes, &c","Syrupi, q.s. ut fiat massa.",syrupi q s ut fiat massa,syrupi q s ut fiat massa
ellis_1854,body,42,2,True,47,"Pills of Blue Mass, Aloes, &c",Divide in pilulas xij.,divide in pilulas xij,divide in pilulas xij
ellis_1854,body,43,0,False,43,"Pills of Blue Mass, Soda, &c","℞. Pilulæ Hydrargyri, gr. ix.",℞ pilulæ hydrargyri gr ix,r pilulae hydrargyri gr ix
ellis_1854,body,43,1,False,43,"Pills of Blue Mass, Soda, &c","Pulveris Khei Sodas Bicarbonatis, āā gr. xij.",pulveris khei sodas bicarbonatis āā gr xij,pulveris khei sodas bicarbonatis aa gr xij
ellis_1854,body,43,2,True,43,"Pills of Blue Mass, Soda, &c","Syrupi Rhei Aromatici, q.s. ut fiat massa, in pilulas xij.",syrupi rhei aromatici q s ut fiat massa in pilulas xij,syrupi rhei aromatici q s ut fiat massa in pilulas xij
ellis_1854,body,44,0,False,43,"Pills of Blue Mass, and Colocynth","℞. Pilulae Hydrargyri, Extracti Colocynthidis Compositi, āā gr. v.",℞ pilulae hydrargyri extracti colocynthidis compositi āā gr v,r pilulae hydrargyri extracti colocynthidis compositi aa gr v
ellis_1854,body,44,1,False,43,"Pills of Blue Mass, and Colocynth","Olei Cari, gtt. ij.",olei cari gtt ij,olei cari gtt ij
ellis_1854,body,44,2,True,43,"Pills of Blue Mass, and Colocynth","Misce, et fiant pilulæ ij. .",misce et fiant pilulæ ij,misce et fiant pilulae ij
ellis_1854,body,45,0,False,43,Pills of Calomel and Colocynth,"℞. Extracti Colocynthidis Compositi, gr. xlviij.",℞ extracti colocynthidis compositi gr xlviij,r extracti colocynthidis compositi gr xlviij
ellis_1854,body,45,1,False,43,Pills of Calomel and Colocynth,"Hydrargyri Chloridi Mitis, ℈j.",hydrargyri chloridi mitis ℈j,hydrargyri chloridi mitis ej
ellis_1854,body,45,2,True,43,Pills of Calomel and Colocynth,"Misce, et divide in pilulas xx.",misce et divide in pilulas xx,misce et divide in pilulas xx
ellis_1854,body,46,0,False,43,Pills of Extract of May -Apple and Podophyllin,"℞. Extracti Podophylli, ʒss, Podophyllin (Merrill, Parrish), gr. x.",℞ extracti podophylli ʒss podophyllin merrill parrish gr x,r extracti podophylli dss podophyllin merrill parrish gr x
ellis_1854,body,46,1,True,43,Pills of Extract of May -Apple and Podophyllin,"Misce, et fiat massa in pilulas x. dividenda.",misce et fiat massa in pilulas x dividenda,misce et fiat massa in pilulas x dividenda
ellis_1854,body,47,0,False,43,Anti-Oout Pill,"℞. Extracti Colchici Acetici, Colocynthidis Compositi, āā gr. x.",℞ extracti colchici acetici colocynthidis compositi āā gr x,r extracti colchici acetici colocynthidis compositi aa gr x
ellis_1854,body,47,1,False,43,Anti-Oout Pill,"Morphiæ Muriatis, gr. ijss.",morphiæ muriatis gr ijss,morphiae muriatis gr ijss
ellis_1854,body,47,2,True,43,Anti-Oout Pill,"Misce, et fiat massa in pilulas x. dividenda.",misce et fiat massa in pilulas x dividenda,misce et fiat massa in pilulas x dividenda
ellis_1854,body,48,0,False,49,Pills with Extract of Butternut and Jalap,"℞. Extract! Juglandis, ʒss.",℞ extract juglandis ʒss,r extract juglandis dss
ellis_1854,body,48,1,False,49,Pills with Extract of Butternut and Jalap,"Pulveris Jalapee, ℈j.",pulveris jalapee ℈j,pulveris jalapee ej
ellis_1854,body,48,2,False,49,Pills with Extract of Butternut and Jalap,"Saponis, gr. x.",saponis gr x,saponis gr x
ellis_1854,body,48,3,True,49,Pills with Extract of Butternut and Jalap,"Misce, et fiant pilulae xv.",misce et fiant pilulae xv,misce et fiant pilulae xv
ellis_1854,body,49,0,False,49,Fothergiirs Pills,"℞. Extracti Colocynthidis Compositi, ℥iss, Antimonii Oxidi, Ed. ʒss.",℞ extracti colocynthidis compositi ℥iss antimonii oxidi ed ʒss,r extracti colocynthidis compositi ziss antimonii oxidi ed dss
ellis_1854,body,49,1,True,49,Fothergiirs Pills,"Misce, et divide in pilulas xxx.",misce et divide in pilulas xxx,misce et divide in pilulas xxx
ellis_1854,body,50,0,False,49,"Pills of Compound Extract of Colocynth, &c","℞. Extracti Colocynthidis Compositi, ℈j.",℞ extracti colocynthidis compositi ℈j,r extracti colocynthidis compositi ej
ellis_1854,body,50,1,False,49,"Pills of Compound Extract of Colocynth, &c","Eesinae Jalapie, Ed. gr. yj.",eesinae jalapie ed gr yj,eesinae jalapie ed gr yj
ellis_1854,body,50,2,False,49,"Pills of Compound Extract of Colocynth, &c","Pulveris Scammonii Compositi, Lond. gr. x.",pulveris scammonii compositi lond gr x,pulveris scammonii compositi lond gr x
ellis_1854,body,50,3,False,49,"Pills of Compound Extract of Colocynth, &c","Hydrargyri Chloridi Mitis, gr. x.",hydrargyri chloridi mitis gr x,hydrargyri chloridi mitis gr x
ellis_1854,body,50,4,False,49,"Pills of Compound Extract of Colocynth, &c","Antimonii et Potassæ Tartratis, gr. j.",antimonii et potassæ tartratis gr j,antimonii et potassae tartratis gr j
ellis_1854,body,50,5,False,49,"Pills of Compound Extract of Colocynth, &c","Saponis, gr. v.",saponis gr v,saponis gr v
ellis_1854,body,50,6,False,49,"Pills of Compound Extract of Colocynth, &c","Olei Cinnamomi, gtt. iv.",olei cinnamomi gtt iv,olei cinnamomi gtt iv
ellis_1854,body,50,7,True,49,"Pills of Compound Extract of Colocynth, &c","Misce, et divide in pilulas xv.",misce et divide in pilulas xv,misce et divide in pilulas xv
ellis_1854,body,51,0,False,49,Mitchell's Pills,"℞. Pulveris Rhei, ℈iv.",℞ pulveris rhei ℈iv,r pulveris rhei eiv
ellis_1854,body,51,1,False,49,Mitchell's Pills,"Aloes, ℈ij.",aloes ℈ij,aloes eij
ellis_1854,body,51,2,False,49,Mitchell's Pills,"Hydrargyri Chloridi Mitis, gr. iv.",hydrargyri chloridi mitis gr iv,hydrargyri chloridi mitis gr iv
ellis_1854,body,51,3,False,49,Mitchell's Pills,"Antimonii et Potassæ Tartratis, gr. ij.",antimonii et potassæ tartratis gr ij,antimonii et potassae tartratis gr ij
ellis_1854,body,51,4,True,49,Mitchell's Pills,"Fiat pulvis, et adde.",fiat pulvis et adde,fiat pulvis et adde
ellis_1854,body,52,0,False,50,Pills of Grotcn Oil,"℞. Olei Tiglii, gtt. ij.",℞ olei tiglii gtt ij,r olei tiglii gtt ij
ellis_1854,body,52,1,True,50,Pills of Grotcn Oil,"MicflB Panis, q.s. ut fiant pilulæ iv.",micflb panis q s ut fiant pilulæ iv,micflb panis q s ut fiant pilulae iv
ellis_1854,body,53,0,False,50,Another Form,"℞. Extracti Colocynthidis Compositi, gr. 1.",℞ extracti colocynthidis compositi gr 1,r extracti colocynthidis compositi gr
ellis_1854,body,53,1,False,50,Another Form,"Saponis, gr. x.",saponis gr x,saponis gr x
ellis_1854,body,53,2,False,50,Another Form,"Olei Tiglii, gtt. ij.",olei tiglii gtt ij,olei tiglii gtt ij
ellis_1854,body,53,3,True,50,Another Form,"Misce, fiat massa in pilulas, xij. dividenda.",misce fiat massa in pilulas xij dividenda,misce fiat massa in pilulas xij dividenda
ellis_1854,body,54,0,True,50,Antibilious Pills,"℞. Pilulae Catharticae Compositae, No. iij.",℞ pilulae catharticae compositae no iij,r pilulae catharticae compositae no iij
ellis_1854,body,55,0,False,50,Peristaltic Persuaders,"℞. Pulveris Ehei, ʒj« Ipecacuanhæ, gr. x.",℞ pulveris ehei ʒj« ipecacuanhæ gr x,r pulveris ehei dj ipecacuanhae gr x
ellis_1854,body,55,1,False,50,Peristaltic Persuaders,"Olei Cari, gtt. x.",olei cari gtt x,olei cari gtt x
ellis_1854,body,55,2,False,50,Peristaltic Persuaders,"Pulveris Acaciæ, q.s.",pulveris acaciæ q s,pulveris acaciae q s
ellis_1854,body,55,3,True,50,Peristaltic Persuaders,"Fiat massa, et divide in pilulas xx.",fiat massa et divide in pilulas xx,fiat massa et divide in pilulas xx
ellis_1854,body,56,0,False,61,Pills of Aloes with Soap,"℞. Pilulæ AI0&, No.",℞ pilulæ ai0& no,r pilulae ai no
ellis_1854,body,56,1,True,61,Pills of Aloes with Soap,V.,v,v
ellis_1854,body,57,0,True,61,Pills of Aloes and Assafetida,"℞. Pilulae Aloes et Assafoetid», No. iij.",℞ pilulae aloes et assafoetid» no iij,r pilulae aloes et assafoetid no iij
ellis_1854,body,58,0,True,61,Rufus's Pills,"℞. Piluke Aloes et Mjrrrhfie, No. iij.",℞ piluke aloes et mjrrrhfie no iij,r piluke aloes et mjrrrhfie no iij
ellis_1854,body,59,0,True,61,"Pills of Rhubarb, Aloes, and Myrrh","℞. Pilulae Rhei Compositae, No. iij.",℞ pilulae rhei compositae no iij,r pilulae rhei compositae no iij
ellis_1854,body,60,0,False,61,Aperient Pills,"℞. Pulveris Aloes, Rhei, āā ʒj« Ipecacuanhæ, gr. vj.",℞ pulveris aloes rhei āā ʒj« ipecacuanhæ gr vj,r pulveris aloes rhei aa dj ipecacuanhae gr vj
ellis_1854,body,60,1,False,61,Aperient Pills,"Saponis, ℈j.",saponis ℈j,saponis ej
ellis_1854,body,60,2,True,61,Aperient Pills,"Aquas, q.s.",aquas q s,aquas q s
ellis_1854,body,61,0,False,61,"Pills with Aloes, Gentian, &c","℞. Pulveris Aloes, ʒj» Extracti Gentianae, ʒss; Olei Cari, gtt. x.",℞ pulveris aloes ʒj» extracti gentianae ʒss olei cari gtt x,r pulveris aloes dj extracti gentianae dss olei cari gtt x
ellis_1854,body,61,1,True,61,"Pills with Aloes, Gentian, &c","Syrupi, q.s. ut fiat massa, in pilulas singulas grana quatuor",syrupi q s ut fiat massa in pilulas singulas grana quatuor,syrupi q s ut fiat massa in pilulas singulas grana quatuor
ellis_1854,body,62,0,False,52,"Pilb with Aloes, &uaiacum, &c","℞. Pulveris Guaiaci, ʒj.",℞ pulveris guaiaci ʒj,r pulveris guaiaci dj
ellis_1854,body,62,1,False,52,"Pilb with Aloes, &uaiacum, &c","Aloes, gr. xxxyj.",aloes gr xxxyj,aloes gr xxxyj
ellis_1854,body,62,2,False,52,"Pilb with Aloes, &uaiacum, &c","Rhei, ʒij.",rhei ʒij,rhei dij
ellis_1854,body,62,3,True,52,"Pilb with Aloes, &uaiacum, &c","Terebinthinæ Canadensis, quantum sufficit ut fiat massa in",terebinthinæ canadensis quantum sufficit ut fiat massa in,terebinthinae canadensis quantum sufficit ut fiat massa in
ellis_1854,body,63,0,False,52,Pills of Rhubarb and Sulphate of Iron,"℞. Pulveris Rhei, ʒiss.",℞ pulveris rhei ʒiss,r pulveris rhei diss
ellis_1854,body,63,1,False,52,Pills of Rhubarb and Sulphate of Iron,"Ferri Sulphatis, ʒss.",ferri sulphatis ʒss,ferri sulphatis dss
ellis_1854,body,63,2,False,52,Pills of Rhubarb and Sulphate of Iron,"Saponis, ℈ij.",saponis ℈ij,saponis eij
ellis_1854,body,63,3,True,52,Pills of Rhubarb and Sulphate of Iron,"Aqudd destillatas, q.s. ut fiat massa in pilulas xl. dividenda.",aqudd destillatas q s ut fiat massa in pilulas xl dividenda,aqudd destillatas q s ut fiat massa in pilulas xl dividenda
ellis_1854,body,64,0,False,52,Pills of Ox Gall,"℞. Fellis Bovini inspissati, ʒij.",℞ fellis bovini inspissati ʒij,r fellis bovini inspissati dij
ellis_1854,body,64,1,False,52,Pills of Ox Gall,"Olei Cari, gtt x.",olei cari gtt x,olei cari gtt x
