,textstring
0.2,ander form .iij. viij
0.3,aschloch salssen .iiij. .ix
0.4,artzney dz einem wein oder salssen nit auß schmecken .iiij. .xv
0.5,biberschwantz wy man den bereyten sol .i. .xxvi. vnd .iii. .xli
0.6,bolchen zu bereiten .i. .xxviii
0.7,blabmuß von mandel .i. .xxxiii
0.8,byrenmuß .i. xlviii
0.9,brw zu einer sultzen .ij. .x
0.10,brwkuechlein scheynen ob sie verguelt weren .iij. .xvi
0.11,bramber wein .v. .xvij. brambermuß .i. .l
0.12,bosen magen sol man purgiren .v. .xxij
0.13,kleine fledlein .iij. .xxiij
0.14,cumpost bald gut zu machen .iiij. xxvi
0.15,dreyerley essen von eim visch .i .v
0.16,duer byren dienen wol in fuelle .i. .xxij
0.17,duer byren in einem pfeffer .i. .xxiij
0.18,duer ruben .i. .xliiij
0.19,eel zu bereiten .i. .xxv
0.20,erbesen da von ein hofflich essen .i. .lviij
0.21,erbeyß kuechlein .i. .lix
0.22,eyer rundt zu machen .iij. .i
0.23,eyer gebachen in dreyerley weyß .iij. .iiij
0.24,eyer mueßer mach also .iij. .xliij
0.25,essig macht man mancherley .v. .i .ij .iij
0.26,essig vberlant zu tragen .v. .viij .ix
0.27,essig von. byer .v. .xi
0.28,essig zu behalten .v. .xij
0.29,fisch suede also .j. .i. vnd .iij. .xli
0.30,fisch zu behalten das sie lang frisch bliben .i. .viij
0.31,fisch krebs vnd allerley obß sol man temperiren mit wurtzen .i. .xvi
0.32,fuell yn krebs schalen .i. .xxiiij
0.33,fleisch oder fisch lang zu behalten .i. .xl.
0.34,frucht vber iar zu behalten .i. .xli
0.35,fuelle in einem bratten .ij. .i
0.36,fisch bratten zu machen .ij. .xxij
0.37,fremdt gebachens .iij. .ix
0.38,fischfuelle in krapffen .iij. .xviij
0.39,fleisch tuerten .iij. .xxvij
0.40,feyste essen seind schedlich .iij. .xli
0.41,galradt meysterlich gemacht vber groß visch .i. .vi
0.42,gesultzt krebs .i. .ix
0.43,galradt zu eingemachten krebsen .i. .x
0.44,gebachen krebß .i. .xiiij
0.45,gesulzte morchen .i. .xxiiij
0.46,gerennet milch .i. .xxxi
0.47,gemueß von mandel vnd vischen .i. .xxv
0.48,gruen farb zu machen .i. .xxxvij
0.49,gereuecht fleysch zu behalten .i. .xlv
0.50,gruen mandel gelb oder blabe zu machen .i. .liij
0.51,gebachens von oblaten .i. .lvi
0.52,gebachens von mandel vnd von reiß .i. .lvi
0.53,gezogen gebachens .i. .lvij
0.54,gestossen fleysch wie du es kochen solt .ij. .v
0.55,galradt war vber du wilt .ij. .vi
0.56,gebratens von einem schweinßkopff .ij. .viij
0.57,gebachens von kalbßlungen .ij. .xv. vnd .xxvi
0.58,gestrichen gebachens .iij. .ij
0.59,gebachen ayer in dreyerley weiyß .iij. .iiij
0.60,geschachzabeltz gebachens von fuenff farben .iij. .v
0.61,gebachens von ayren .iij. .xx. vnd .xxi
0.62,gebachens in ander form .iij. .xxij
0.63,gebachens von erbssen .iij. .xxviij
0.64,gebachens von reiß .iij. .xxix
0.65,gebachens von opffeln gefuelt .iij. .xxx. vnd .xxxi
0.66,gefuelt gebraten birn .iij. .xxxij
0.67,gebachens von saluey .iij. .xxxiij
0.68,gefuelt bachens von saluey .iij. .xxxiiij. vnd .xxiv
0.69,gebachens von regelßbiren .iij. .xxxvi
0.70,gebachen saluey morchen oder ander kreueter .iij. .xxxvij
0.71,gebachens kintbetterin vnd krancken leueten .iij. .xl
0.72,gruen salssen .iiij. .i
0.73,holbratten gemacht auß feigen .i. .ij
0.74,holdernuß .i. xlvi. vnd xlvii
0.75,hofflich essen erbeyßkuchlein .rc. i. .lxi
0.76,hunern ein gutte essen .ij. .i
0.77,hunerfull .ij. ii
0.78,huner zu bereyten .ij. .iij
0.79,huner gestossen .ij .iiij
0.80,holbratten von kalbfleysch .ij. .xix
0.81,hyrsen lumelbraten .ij. xx
0.82,hofflich essen von ayren .iij. .iiij
0.83,herte des leybß ist schedlich .v. .xxxiiij
0.84,kuchlein von fischen welcherley .rc.i. .iiij
0.85,krebs in sultz .i. .ix.
0.86,krebs galradt .i. .x
0.87,krebs gefult .i. .xi.
0.88,krebs basteren .i. .xij
0.89,krebs gemacht in ein tortten .i. .xiij
0.90,krebs gebachen .i. .xiiij
0.91,krebsmuß .i. .xv
0.92,kalte natur so mensch an im hat .rc.i. .xvij
0.93,krebs sieden .i. .xviij vnd .iij. .xli
0.94,küchlin von krebßen .i. .xx
0.95,kyrßenmuß .i. xxx vnd .lij
0.96,keß von mandel milch .i. .lv
0.97,knopflein von fleysch .ij. .xviij
0.98,kugelein zu machen von allerley fleysch .j. .xxlij
0.99,kroßayer zu machen .iij. .iij
0.100,krabffen machen also .iij. .xiij.xiiij.rc
0.101,klein krapffen gefult mit fischlebern .rc.iij .xvi
0.102,krapffen von vberblibnen hunern .iij. .xix
0.103,kuchen in einem morsser .iij. .xxxix vnd .xlij
0.104,kintbetterin vndkranckenleuten ein essen zu machen .iij. xl
0.105,knoblauch salssen mach also .iiij. iiij.rc
0.106,kreuter zubehalten vber iar zu salssen .iiij. x.iiij.rc
0.107,kraut essen mach also .rc.iiij. .xxv
0.108,kranckheyt des hyrns .rc.v. .xiiij
0.109,lebersultz mach also .ii. .xi.
0.110,mach sie gelb .ij. .xvi
0.111,lungen kuchlein .ij. .xij.xiij.rc
0.112,lungen kuchlein was man da ein hacken sol .ij. .xvij
0.113,lappen kuchlein .iij. .xxij
0.114,latwergen mancherley .rc.iiij. .xij.xiij.rc
0.115,lust zu essen mach also .v. .xxxi
0.116,milch vnd wasser gehort nit zu fischen vnd krebßen .rc.i. xix.
0.117,morchen sultze .i. .xxiiij
0.118,milch gerennet .i. .xxxi
0.119,mandel in einem blaben muß .i. .xxxiij
0.120,maulbeermuß .i. .li
0.121,mandel zyger .i. .liiij
0.122,morchen mit ayer gefult .iij. .xxxviij
0.123,morssel kuchlein .iij. xxxix. vnd .xlij
0.124,merrich wein mach also .v. .xvi
0.125,nesseln behalten fleysch vor wurmern .i. .xiv
0.126,nesseln mit wein gesotten .rc.v. .xx
0.127,obß wie man es lang frisch behalten sol .i. .xxxviij
0.128,ein al wie man in bereiten sol .i. .xxv
0.129,oppfel muß .rc.i. .xlix
0.130,oblaten gebachen .i. .lvi
0.131,opffel gebachen mit seltzamen farben .rc.iij. .vi
0.132,opffel gefult oder gebraten gebachen .rc.iij. .xxx
0.133,olant wein mach also .v. .xv
0.134,pasteten von krebßen .i. .xij
0.135,plaben wein oder wasser zu machen .rc.i. .xxxvi
0.136,prambermuß .i. .l
0.137,pfeffer von melb .i. .lx
0.138,pretzen mach also .rc.iij .xxiiij
0.139,pasteten nach wellischem sytten .iij. .xxv
0.140,poley salssen .iiij. .xij
0.141,rechbraten in der fasten .i. .ij
0.142,rein visch .i. .xxvij
0.143,rechmuß mach also .ii. .xxi
0.144,aber ein rechmuß .ii. .xv
0.145,rautten salssen .iiii. .xi
0.146,regiment zu halten in allen dingen .v. .xxxvi
0.147,sultz visch mach also .i. .vii
0.148,stockuisch .i. .xxxviii
0.149,suppen gut zu machen .i. .xxix
0.150,schwartz gemuß .i. .xxiiii
0.151,sangen uber iar .i. .xliii
0.152,ein schweinßkopff gebrest .rc.ii. .vli
0.153,streublein zumachen .iii. .xii
0.154,salssen grun von kreuttern .iiii. .i
0.155,salssen von knoblauch .iii. .iiii.v.rc.
0.156,saluey salssen .iii. .x
0.157,salssen von bomerantzen .iiii. .xiii
0.158,senff bereit also .iiii. .xiii.vii.xv.rc
0.159,speyß die nit recht maß hat ist schedlich .v. .xxxiii
0.160,tortten von krebßen .i. .xiii
0.161,turten gut zu machen .iii. .xxvi
0.162,vergult speyß mach also .i. .xxii
0.163,verhitzten magen bring also wider .v. .xxv
0.164,verkalten magen bring also wider .v. .xxvii
0.165,wurst von vischen .i. .iii
0.166,welsch nuß oder haßelnuß vber tar frisch rc.i. .xxxix
0.167,weinber vber iar .i. .xlii
0.168,wachtelbrey mach also .ii. .xx
0.169,wein wie man den machen sol zu krefftigung des leibs .v. .xiii.
0.170,wermut wein .v. .xix
0.171,czyger von mandel .i. liiii
0.172,czeichen einß krancken erkalten magens .v. .xxi.vnd .xxiiii
0.173,czu vil spyß bringt kranckheyt .rc.v. .xxxii
1.head,von fastenspeyß
1.0,das erst teyl ist von fasten speys vnd es hebt an an visch syeden
1.1,i. jtem wer do visch wol wil sieden. der mach stetes darvntter ein gutes rosch feuer on rauch. vnd wen dy gret auspoltzen so haben sie sein genug. schawm sie schon. vnd mach sie ab zu rechter masse. mit wurtzen. vnd saltz. versuch sie wol. vnd trucken sie mit essig abe. vnd leg sie ein trucken oder naß. vnd trag sie fuer. werden sie trucken fuer getragen so strew eytel guten gestossen yngber darauff
1.2,ij. jtem wiltu ein holbrotten oder genant einen rechproten in der fasten machen. nym veigen weinper erwelle sie in guttem wein. hack sie klein. see mel dar ein. vermisch es wol. mach es ab mit saltz vnd mit wurtzen. netz die hende in einem teigwasser. schlach die feygen vmb einen spiß alß ein holproten mit nassen henden vnd truck in wol an. leg in zu dem feuer. so er nun gebroten ist so schneid in nach der lenge auff an beden seyten am spiß mach huebsche stueck darauß vnd besteck sie mit mandelkern verguelt oder geuerbt vnd gib es dar. du magst zucker darauf seen oder ingber. den braten begeuest man auch mit milch schmaltz.
1.3,iij. jtem wiltu wuerste auß vischen machen. so schuppe sie vnd hack sie klein. stoß sie in einem morser thu wurtz saltz dar zu. fuel die dermer vnd seuedt sie ab als visch mit wein mach ein gelbß pfefferlein daruber
1.4,iiij. jtem kuechlein von vischen zu machen welcherley geschlecht das sey. bereit sie schon. fach den schweiß auff vnd loeß gret ab behalt dz haupt vnd schwantz vnd dz ingeweid wuerff die gal auß. so nym den die visch vnd hack sie klein vngesotten also rohe. stos wol in einem morsser thu mel weinber vnd gut wurtz saltz vnd schmaltz dar vntter. das bach wol vnd mach das in ein ziseuenlein mit geriben leckuchen so ist es bereit. das ander von den vischen. haupt grot vnd ingereuesch. dar auß mach ein voressen schon gesotten in wein vnd abgemacht als ander visch gegilbet vnd gewuertzt. versuch es an dem saltz. vnd trag es fur. dz sein zwey essen gar hoflich von vischen gegeben.
1.5,v. jtem wiltu machen dreyerley essen von einem visch dz doch der visch noch geduncken gantz pleib. schlach einen hecht oder sunst ein andern visch schon bereit in drey oder in vier teyl. das erst teyl leg auf einen rost vnd brat das. dz ander teyl seued mit wein ab vnd wurtz. das drit gesultzt. das vierd der schwantz gebachen vnd der visch sol zusamen gelegt werden yedes stueck nacheinander alß er gantz sey. das haupt zu dem ersten. darnach das mittel stueck. darnach den schwantz gerad an ein ander vnd mit gehacktem peterling wol bestreuet vnd dar gesetzt. dar bey soll gesetzt werden gut salssen oder essig in vil kleine schuessellein so ysset ein gast anders dan der ander vnd ist seltzam.
1.6,vi. jtem ein meysterliche galrat vber visch als die salm vnd ander groß rein visch. die visch mach zu gutten stuecken spiß ye zwey oder drey stueck an ein hueltzen spißlein. vnd seud sie also ab mit wein vnnd essig saltz vnd wurtz. behalt die brue als vor geschriben stet. bee das brot vnd thu im als vor. wer das die galrat zu duen wuerd. so nym lorper bleter oder die schaln oder auf ein halbe lorper vnd stoß sie mit dem gebeeten brot mit der visch bru. treib das durch vnd temperir es vnd versuch es ob es recht gemacht sey mit wurtzen vnd saltz leg dan die visch stueck ein vnd schuet die galradt vber vnd las gesteen. wiltu gern so see aber ingwer daruber oder zymet oder muscatplut vnd gilb es.
1.7,vij. jtem gesultzt visch bereit also im sumer so sye doch nit gerne gesteen. wen du die visch bereittest. so behalt den sch weißvnd die schuppen.vnd grat. thu es in einen hafen. vnd seut es mit wein. schaum es schon vnd schut es in einen morsser stoß es wol vnd streich es durch ein tuch mit seiner eygenen bru dar in es gesotten ist. ein lorperplat dar inne gestossen vnd durch getriben so gestet es. leg die visch eier als vil du schusseln wilt so sie schon gesotten sein. nym dan die visch bru thu die schuppenbru dar vntter mit wurtzenvnd allen dingen versuch was da gebricht essig saltz oder gewurtz im geschmack las es in einer pfannen erwallen einen wal. vnd schut es dan vber die visch die las erkalten ym lufft vnd serze sie dan ein. wiltu mandel oder weinper dar auff strewen dz thu bezeitten ee sie halbweg gestendt so beleyben sie also gut vnd rein.
1.8,viij. item wiltu visch behalten das sie lang frisch beleiben so leg sie in ein feslein oder in ein erden haffen vnd geuß dar auff gutten essig vnd leg peterling dar an vnd begrab dz in ein grub von frischer erden.vndwen du dy visch vnd essig außnimpst so geuß alwegfrischen essig wider daran. vnd deck das mit gutten decken wider zu so bleiben sie lang zeit frisch vnd werden nit stickent.
1.9,ix. item gesulzt krebß mach also gar ein hoflichs deuigs essen on schaden. seund die krebß mit wein ab schell die schern helßvndschwentz behalt dz ander wurtz es besunder.nun mach die bru also. nym bersig die klein sein. seude sie in wein vnd essig als vil du ir haben wilt oder bedarffest schut sy auß.vnd nim die galle auß den kopffen. nym dan die beuch sher vnd schwantz. stoß sie wol in einen morsser zutreib sy mit der bru dar ynnen sie gesotten sein durch ein tuch. nym darnach aber frische krebs vnd nur die geschelten scher vnd auch schwentz. thu sie in die durch getriben krebß in ein pfanne. erwel sie schon ein kleinen wal mach sie ab von wurtzenvnd saltzen versuch sie was in geprech vnd laß erkalten
1.10,x. item ein ander galtradt zu den gemachten krebsen nim krebß wie vil du wilt seud sie ab in wein vnd essig. thu die schalen ab.vnd thu dz bitter auß den kopffen schel die sche re vnd die beuch. thu sie in ein morsser vnd mandel vnd ein weißbrosemlein brotz darzu. stoß wol mit gutten wein. treib es durch ein tuch.vnd thu es in ein pfanne vnd schmaltz dar ein. vnd mach es ab mit wurtzen vnd saltz. versuchß. wer es den zu starck. so temperirs mit wasser. also dz essig. wein vnd wurtz recht maß haben. gib sie auf. setz sie fur kalt oder warm bestrewe sie mit welschen weinbern.oder mit frischem ingwer so du sie warm gibst. wiltu sie kalt geben vnd wol gestanden sey so besteek sie mit mandel.
1.11,xi. item gefult krebß mach also. seud sie in wasser schel sie schon. vnd leg die gutten grossen scher vnd schwentz besun der. nym die andern geschelten klein krebß hels bauch vnd scher die hack gar klein vnd schlag frisch ayer darunter so vil vnd die menig der krebß ist. mengste sie ab mit wurtzenvnd saltz vnd gilb sie ein wenig. hack peterlein darein nur die pleter vnd keinen stengel. knid es in einem rohen aye wol. so beleibe es klebrig vnd beleibt bey ein ander. nym dan die hofel oder die ruckschalen. vnd ful sie wol sturtz einen andern hofel dar vber also das ein haupt hin sag das ander her ein bauch geen dem andern. wiltu sie dan braten so stoß zwen oder drey an ein spißlein. leg sie auff ein rost. thu in nicht zu heyß. biß dz die ful erstarck vnd gerecht werd. so gib sie alß warn fur. wil tu sie den rosten in einen schmaltz biß die ful genug gewin. dz magstu auch thun biß sie gerecht werden gib sie auch hyn. vnd nym dan das ander teyl der behalten krebß schon geschelt vnd rein bereit thu sie in einen morsser vnd ein bro sem brotz dar zu gebeutelt oder schonß stos wol treibs durch ein tuch. so leg den die aller grosten krebß schwentz vnd sche ren darein. mach sie ab mit wurtzen vnd saltz. las erwallenvnd richt sie dan an. dz heissen gestossen krebß. danach ist ein kluge hofligkeit darauff wen die bruschon bereit ist der gestos sen krebß abgegilbt gewurtzt vndgesaltzen. so nym dan ein weiß brot vnd mach dz innen hol alß sturtz oder glocken weiß nit zu großvnd zu hoch. stoß die geschelten schern dar ein vnd sturtz sie in ein schusseln. ij. iij.oder iiij. sturtze darnach die gest vil sein vnd schut den die gestossen krebs daruber wo es bloß wer dz beschut mit einem loffel.vnd leg die kleinenschwentz beuch vnd scher vmb vnd vmb darzu gedruckt in die bru das nichtz nit bloß sey. vnd trag es dan fur. bespreng es wenig oben mit lautterem schonem milchschmaltz
1.12,xij. item basteten von krebssen mach also in einem starck en teig vorgelegt einem teighafen in einem hafenscherben mach ein deck daruber vnd leg sie darneben seud die krebß on saltz schel sie schon vnd leg sie zu samen vnd hack peterlein gar klein. nym ayer vnd klopf sie gar wol die schut in den teighaffen. schneid gut birnen lenglet schnitz vnd stoß sie in die ful. nym feygen vnd weinper die thu darein vnd stos die krebß scher schwentz beuch al nach der leng darein nym dan ein gutten wein den mach ab mit wurtzen.vnd saltz. versuch dz. was im gebrech. vnd schut es ein den teighaffen vber die ful. vermach die deck daruber von dem teighaffen. vertempffe es wol. schlach ein ay.oder zwey beschlach die re fftren fft damit so weichen sie nit. thu ein schmaltz zwischenden teig hafen vndscherbenvnd setz in in ein backofen. laß sie denoder braten. lug ye darzu gibt es rauch so print es an dz wendt mit dem zu goß deß milchschmaltz so gereth es wol.
1.13,xiij. item zu machen ein torten von krebssen. mach einen torten deick vor gelegt in ein pfan die schmaltzig sey mach ein ful ayren vnd geribem keßoder geriben leckuchen was du wilt yr eins vnd temperir es gar wol vnd nit zu dunne. schut es in die teigkpfan. ist es zu dick so vermisch es mit guttem rawm milch eben gerecht. mach es ab mit wurtz vnd saltz vnd saffran vnnd peterlein. du magst. nehmen saluey. boley wol gehackt. ist alles gut oder ander gut wurtz. temperir die ful da mit.vnd stoß dy krebß ein. wiltu birn darein thun feigen oder sueß opffel lenglicht geschniten vnd mit den krebßen darein gestossen das ist gut. mach die deck vber die teickpfannen. schuet schmaltz darauf. setz vber ein klein kolen gluet. vnd ye paß vnd paß rosch koln darumb. oder reibe die pfanne vmb vnd vmb vnd wart auf den rauch den dempff mit schmaltz. vnd wen die deck braum wirt so hat es sein genug setz den teighafen also gantzen auß in ein weitte schussell vnd trag es fuer vnd mach dan stueck darauß. vnd leg den gesten fuer gar hoflichen das stet wol von krebsen.
1.14,xiiij. jtem ein gebaches von krebsen. bereit dy krebs gar schon. mach ein gelbs teiglein von ayren abgewurtzt vnd gesaltzen nit zu duen oder zu dick. welg die krebs darinne yedes stuecklein besunder. vnd bach sie. aber die kleinen scher vnd brocklein mach in kuechleins weiß oder in strauben weis vnd bach sie. hastu nit schon ayer. so nim ein wenig saffran darzu vnd trag dz bachen allso warm fuer. das ist gut. wiltu honig oder zucker darauf seen das ist auch gut.
1.15,xv. wiltu machen ein mueslein von krebsen. mach es also von hofflichen varben on schaden das stet woll zu gesichte. nym gutte milch vnd auch kornplumen safft dz ruer vnd temperir es woll durch ein ander. thu auch schones mel dar zu. vnd temperir es noch baß. bereit die krebs gar wol. wuerf nur die gallen auß dem haupt. so magstu sie stossen mit wein bereyt oder mit schaln vnd all. thu ein weis brot darunter drucks durch ein tuch. mach es ab mit wurtzen. vnd mit saltz vnd thu es in das mußlein vor gezworen mit mel vnd mit milch temperir es wol mit einem loffel. ist es vor nit abgemacht mit wurtzen vnnd saltz so mach es dan ab. ist es zu dicke so mer es mit milch zu rechter maß. thu es in ein schmaltzig pfann. laß es sieden als ein kindt muß. wiltu das warm geben ye mer gestoßner krebs in dem muesleinn seinn ye besser zu gutter dick vnd wenig schmaltz darauf gezetelt. vnd ein klein frisch yngwer darauff geseet vnd setz es also heiß fuer dz helt gutte dewung. wiltu dz kalt geben so sol dz mueßlein mit wein oder essig gemacht werden. oder die krebs suellen mit wein oder essig gestossen vnd durch getriben werden. das selb mit einem steueblein melbs ein mueslein gemacht vnd abbereit mit wurtz vnd saltz darein gelegt die gutten grossen krebs schwentz vnd scher allein. wol erkalt dz trag fuer. fuer ein gebrates. vnd fur ein seltzams essen.
1.16,xvi. jtem visch krebs vnd allerley obs das do ist kalter natur. auch milch vnd wasser muß man mit wurtzen ab temperiren. aber kranck leuet heysser natur bedurffen wurtz vnnd vil saltz nit. wen ir gebrech mert sich dauon. auch guter starcker wein vngemischt mit wasser verderbt sye. erkennestu deine natur so erkennestu auch was wider dein natur ist. darnach bereit dein essen.
1.17,xvij. jtem einem kalten menschen der do ist kalter naturen den verderben alles dz do kalt vnd schleimig ist. als visch ye feyster ye schedlicher. er mach sie oder bereit sie wie er woll. isset er dan visch vnd trincket auch dar zu wasser so befelt in der kalt siechtag. also auch die verdorben vnd zehen wein. vnd die gemachten wein bringen den todt. hierumb gedenck wie dein essen vnd getranck bereit sol werden vnd geschickt. vnd was deyner natur zu gehor. der rechtz leben haben woll vernufft vnd langleben der nem sein selbs war. jederman nach seinem staten. als die vier complexion geordeniret sein von got in den geschopf. heys kalt trucken vnd naß. dz kunt ich al mein tag gentzlich nie erfaren. doch huelft man der natur in maßen mit ertzney vnd mit lassen. vnd derfrawen heimligkeyt grosser ir vnmessikeit in vnordentlichenn wercken. darumb muesen ir vil sterben. vnd vil der junckfrawen die weder ere noch gesundt nimer beschawen noch nit alt werden also muesen ir vill verderben die nit vnderscheidung volgen vnd scham haben.
1.18,xviij. item wiltu krebs sieden dy thu in ein hafen. vnd verdeck sie gar wol. geueß wein essig oder wasser daran. vnd saltz sie mach auch ein feuer stets daruntter. vnd wen sie rot werden so haben sie sein genug. die sol man heiß fuer tragen in verdeckten schuesseln. dar zu mag man weigssel salssen haben zu vischen vnd krebssen so man gest hat.
1.19,xix. jtem merck wer visch vnd krebß isset der huet sich vor milch vnd wasser trincken.
1.20,xx. jtem zu machen kuechlein von krebßen. man nem krebs man sied sie mit wasser vnd saltz. schel sie schon. nym die hels scher vnd schwentz. mel saltz vnd wurtz hack dz vill schon bestrich die hend inwendig mit honig vnd welg die kuechlein zusamen. gilb ein teiglein vnd zeueg die kuechlein durch bach sie praun vnd gib sie fuer trucken oder in einem ziseuenlein so man sie trucken geit so besee sie mit zucker schon.
1.21,xxi. jtem ein kuechlein mach von duerren birnen oder von großen nutzeln alß melbirnen. eschenbacherin. wasserbirnen kolbiren oder schmaltzbirnen wol gedert in einem backoffen vnd die behalten vber iar. so man die kochen wil. so muß man sie sauber auß warmem wasser schon butzen vnd stielen vnd trucken lassen. die dienen zu manchem essen. wer sie in wein seuedt. vnd zu feigen legt in ein ziseuenlein dy helffen als feigen vnd ersprossen die richt. schon abgemacht. wil man kuechlein darauß machen. schel sie schon. vnd send sie woll. stoß in einem moesser mit mel vnd mit leckuchen vnd gilbs. ein wein oder ein milch geueß daran. so muesset es sich schon thu sie auß. klopff ein frisch ay. vnd bestreich innen die hend vnd welger dy kuechlein wol zu samen dz cleiber sei. zeuch sy auch durch ein gelbs teiglein. heb sie auß mit einem loffel in die pfannen. vnd back sie schon. seued wein vnd honig in einem pfenlein damit bespreng sie schon. dz trag fuer. wan es ist ein hoflich dewigs essen.
1.22,xxij. jtem wer durre gesotten birnen in alle fuel mocht gehaben die dienten fuer feigen vnd dewten sere in bloden lewtten
1.23,xxiij jtem solch birn auß einem brotpfeffer zu essen ist ein gut arm mannes kost rucken brot darein gerert vnd gessen. das speist woll vnd sterckt boßen magen. abgemacht mit saltz vnd lautter ingwer nur mit wein vnd mit essig.
1.24,xxiiij. wiltu gesaltzt morchen machen. hastu visch brw als von gesaltzten vischen die sein gut. hastu der nit so mach eine also. nym ein wenig essig vnd wasser vntter ein ander seued vier klein persig darin. oder hausen blassen vnd lorper oder die pletter. vnd treib es durch ein tuch. laß es gefallen. seyge es ab vnd saltz vnd wurtz es ab. vnd darnach schuet es vber die selben morchen. wiltu die bru gelb haben. so thu saffran dar ein. laß es ston biß es gestet. so mach geschelt mandelkeren vnd besteck es hubschlich dz stet wol. vnd trag es dan also dar so ist es gerecht vnd gut. jtem solche fuel mocht man auch in krebs schalen machen oder da mit fuellen.
1.25,xxv. item wer einen al machen wil der zuech im ab die haut. vnd laß die haut bey dem haupt. schneid in auf. vnd nim dz ingereuesch vnd die gallen auß. so hack den peterling saluey beymenten vnd merteln oder gutte krueter gar klein. temperir es mit essig oder guttem wein dz es wol feucht sey. nym den yngwer neglein wol gestossen muscat vnd saltz vnd thu es in dz geheck. fuel den al da mit. vnd bestreich in vmb vnd vmb gar wol. vnd zeug im die haut wider vber biß zu dem schwantz leg in auf ein rost. laß in braten oder mach stuck darauß vnd reihe sie an ein spislein von holtz gemacht breitlet. vnd wende in bey dem feur vmb biß du dar durch greiffest so hat er sein genug. vnd er bret auch also in seinem aigen schmaltz das man im sunst nichtz darf thun. richt in an vnd setz salssen oder gestosseu ingwer da mit fuer.
1.26,xxvi. jtem biberschwentz vnd der visch wie sie genant sein gut gebraten vnd yngwer darauf gestreut. warm fuer getragen. aber wiltu die sieden so ist gut ein pfefferlein daruber gemacht oder ein ziseuenlein mit leckuchen abgesetzt darauf pfeffer wol gestossen gestrewet.
1.27,xxvij. jtem stockvisch muß man pleuen vnd einweichen mit wein oder mit wasser gesotten sein gut mit wurtzen ab bereit oder gemacht.
1.28,xxviij. jtem reinvisch vnd bolcken in wasser ab gesotten vnd kraut dar bey oder salssen ist gut die selben visch vnd alle geren:echt duer visch mag man in pfeffer geben oder neben suppen oder kraut in allen fastagen.
