call,line,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20
8,1,unaem,palugh,agan,drosad,ger,max,fa,,,,,,,,,,,,,
,2,lefe,pandas,mars,langed,vndes,mar,pachad,,,,,,,,,,,,,
,3,odidos,martibah,vdramah,noges,gar,lenges,argrasphe,,,,,,,,,,,,,
,4,drulthe,las,aseraphos,gamled,cam,led,caph,,,,,,,,,,,,,
,5,snicol,lumrad,v,ma,pa,granse,paphres,,,,,,,,,,,,,
,6,a,drimox,a,demphe,na,genile,o,,,,,,,,,,,,,
,7,danpha,na,ges,a,ne,gaph,a,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
9,1,vlla,doh,aco,par,semna,gam,var,,,,,,,,,,,,,
,2,se,gar,on,dun,sebo,dax,se,,,,,,,,,,,,,
,3,pal,genso,vax,necra,par,sesqui,nat,,,,,,,,,,,,,
,4,axo,mat,sesqui,ax,olna,dam,var,,,,,,,,,,,,,
,5,gen,vox,nap,vax,vro,varca,cas,,,,,,,,,,,,,
,6,nol,vndat,vom,sangef,famsed,oh,sih,,,,,,,,,,,,,
,7,adra,gad,gesco,vansax,ora,gal,parsa,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
10,1,varo,nab,vbrah,na,pa,uotol,ged,,,,,,,,,,,,,
,2,ade,pa,cem,na,dax,van,sebra,,,,,,,,,,,,,
,3,dah,oghe,aschin,o,nap,gem,phe,,,,,,,,,,,,,
,4,axo,or,noe,a,ve,da,pengon,,,,,,,,,,,,,
,5,a,moroh,ah,oha,aspah,niz,ab,,,,,,,,,,,,,
,6,vdrah,gohed,a,carmat,dan,faxmal,gamph,,,,,,,,,,,,,
,7,gamph,nacro,vax,asclad,caf,prac,cruscanse,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
11,1,gam,ohe,gemph,ubrah-ax,orpna,nex-or,napo,,,,,,,,,,,,,
,2,gemlo,a,cheph,can,sedlo,pam-geman,ange,,,,,,,,,,,,,
,3,hanzu,alla,cappo-se,damo,gam-vas,oro-dax-va,ges-palo,,,,,,,,,,,,,
,4,pal,me,pola,gals-ange,no-tempa-ro,sama,dan,,,,,,,,,,,,,
,5,genze,axe,falod,amruh,acurtoh,saxx,par,,,,,,,,,,,,,
,6,mano,gan,vax,no,gramfa,gem,sadgla,,,,,,,,,,,,,
,7,loh,vrox,sappoh,iad,ah,oha,vnra,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
12,1,se,gors,axol,ma,pa,a,oh,,,,,,,,,,,,,
,2,la,sabulan,caph,ardox,ampho,nad,vrnah,,,,,,,,,,,,,
,3,ud,ago,lam,vans,vxa,grad,orno,,,,,,,,,,,,,
,4,dax,palmes,ariss,dam,vnra,vansample,galse,,,,,,,,,,,,,
,5,not,xablis,ophide,alla,loh,gaslah,osson,,,,,,,,,,,,,
,6,luze,adao,max,vanget,or,damo,ans,,,,,,,,,,,,,
,7,leos,dasch,leoha,dan,se,glaspa,neh,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
13,1,ampri,apx,ard,ardo,arga,arges,argah,,,,,,,,,,,,,
,2,ax,osch,nedo,les,icas,han,andan,,,,,,,,,,,,,
,3,von,ga,lax,man,nosch,dongo,a,,,,,,,,,,,,,
,4,yntar,cey,lude,asch,urise,alpe,gem,,,,,,,,,,,,,
,5,var,dancet,nap,alped,ursbe,temps,a,,,,,,,,,,,,,
,6,vod,mos,gema,o,ulon,mancepax,oxne,,,,,,,,,,,,,
,7,pricos,a,got,zalpa,ne,doxam,orne,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
14,1,admag,apa,asco,tar,gans,oarz,am,,,,,,,,,,,,,
,2,seph,selqui,quisben,alman,gons,sa,ieh,,,,,,,,,,,,,
,3,marsibleh,gron,ascabb,gamat,ney,aden,vdan,,,,,,,,,,,,,
,4,phand,sempes,nar,narran,al,cano,geme,,,,,,,,,,,,,
,5,danse,alde,notes,parcelah,arb,ner,ga,,,,,,,,,,,,,
,6,lum,pancu,priscas,abra,musce,an,nox,,,,,,,,,,,,,
,7,napod,a,on,dan,sem,ges,asche,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
15,1,mica,surascha,para,te,gemmes,adrios,na,,,,,,,,,,,,,
,2,danos,vra,lad,pacad,ur,gesme,crus,,,,,,,,,,,,,
,3,a,prasep,ed,a,palse,nax,varno,,,,,,,,,,,,,
,4,zum,zancu,asdom,baged,vrmigar,orch,phaphes,,,,,,,,,,,,,
,5,ustra,mox,affod,masco,gax,camles,vnsenba,,,,,,,,,,,,,
,6,a,oh,la,gras,par,quas,consaqual,,,,,,,,,,,,,
,7,lat,gemdax,tantat,ba,vod,talpah,iam,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
16,1,gesco,a,taffom,ges,nat,gam,pamphe,,,,,,,,,,,,,
,2,ordaquaf,cesto,chidmap,mischna,iaisg,iaialphzudph,a,,,,,,,,,,,,,
,3,dancet,vnban,caf,ranssembloh,dafma,vp,aschem,,,,,,,,,,,,,
,4,graos,chramsa,asco,dah,vimna,gen,alde,,,,,,,,,,,,,
,5,os,papeam,och,lauan,vnad,oh,drogad,,,,,,,,,,,,,
,6,udrios,nagel,panzo,ab,sescu,vorge,afcal,,,,,,,,,,,,,
,7,vslaffda,morsab,gaf,ham,de,peleh,asca,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
17,1,artosa,geme,oh,galsagen,axa,loph,gebed,,,,,,,,,,,,,
,2,adop,zarcas,vr,vanta,pas,amphe,node,,,,,,,,,,,,,
,3,alpan,nocas,se,ga,ormacased,lax,naph,,,,,,,,,,,,,
,4,talpt,pamphicas,sandam,voscmeh,iodh,asclad,ar,,,,,,,,,,,,,
,5,phan,gas,malse,a,quaz,nam,vngem,,,,,,,,,,,,,
,6,vamsel,gembugel,a,gembusez,a,ro,tehl,,,,,,,,,,,,,
,7,alta,murt,valtab,baiffa,faxed,ar,chlysod,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
18,1,a,tam,mat,glun,asdeh,ahlud,gadre,,,,,,,,,,,,,
,2,fam,shing,la,dan,guinse,life,arilsar,,,,,,,,,,,,,
,3,zabulan,cheuach,se,amph,lesche,andam,var,,,,,,,,,,,,,
,4,ges,ar,phex,are,na,tax,pachel,,,,,,,,,,,,,
,5,lapidox,ar,da,vax,malcos,vna,gra,,,,,,,,,,,,,
,6,tassox,varmara,ud,ga,les,vns,ap,,,,,,,,,,,,,
,7,se,ne,da,ox,lat,ges,ar,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
19,1,asmo,dahan,pan,casme,co,caph,al,,,,,,,,,,,,,
,2,oh,san,ged,a,bansaa,vn,adon,,,,,,,,,,,,,
,3,a,seb,ian,aglaho,danfa,zuna,cap,,,,,,,,,,,,,
,4,orcha,dah,os,famsah,on,naab,ab,,,,,,,,,,,,,
,5,nagah,geha,fastod,hansey,om,hauan,lagra,,,,,,,,,,,,,
,6,gem,gas,mal,parcog,dax,nedo,va,,,,,,,,,,,,,
,7,geda,leb,arua,ne,cap,sem,carvan,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
20,1,onsem,gelholdim,geb,abnih,ian,oxpha,bas,,,,,,,,,,,,,
,2,cappo,cars,ordriph,grip,gars,of,vindres,,,,,,,,,,,,,
,3,nah,ges,pahado,vllonooh,can,vaz,a,,,,,,,,,,,,,
,4,fam,gisril,ag,nohol,sep,gerba,dot,,,,,,,,,,,,,
,5,vanca,na,sem,ah,pa,nex,ar-pah,,,,,,,,,,,,,
,6,lad,vamo,iar,seque,vad,ro,garb,,,,,,,,,,,,,
,7,ah,sem,dan,van,ged,ah,paleu,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
21,1,padoho,magebs,galpz,arps,apa,nal,si,,,,,,,,,,,,,
,2,gamvagad,al,podma,gans,na,vr,cas,,,,,,,,,,,,,
,3,natmaz,andiglo,armvu,zantclumbar,ar,naxocharmah,sapoh,,,,,,,,,,,,,
,4,lan,gamnox,vxala,vors,sabse,cap,vax,,,,,,,,,,,,,
,5,mar,vinco,labandaho,nas,gampbox,arce,dah,,,,,,,,,,,,,
,6,gorhahalpstd,gascampho,lan,ge,befes,argedco,nax,,,,,,,,,,,,,
,7,arzulgh-orh,semhaham,vncal,laf,garp,oxox,loangah,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
22,1,ors-lah,gemph,nahaoh,ama-natoph,des,garhul,vanseph,,,,,,,,,,,,,
,2,iuma,lat,gedos-lubah,aha,last,gesto,vars,,,,,,,,,,,,,
,3,macom,des,curad,vals-mors,gaph,gemsed,pa,,,,,,,,,,,,,
,4,campha,zednu,abfada,mases,lofgono,luruandah,lesog,,,,,,,,,,,,,
,5,iamle,padel,arphe,nades,gulsad,maf,gescon,,,,,,,,,,,,,
,6,lampharsad,surem-paphe-arbasa,arzusen,agade,gehol,max,vrdra,,,,,,,,,,,,,
,7,paf,gals,macrom,finistab,gelsaphan,asten,vrnah,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
23,1,asch,val,lamles,arcasa,arcasan,arcusma,iabso,,,,,,,,,,,,,
,2,gliden,paha,parcadura,gebne,oscara,gadne,au,,,,,,,,,,,,,
,3,arua,las,genost,casme,palsi,uran,vad,,,,,,,,,,,,,
,4,gadeth,axam,pambo,casmala,samnefa,gardomas,arxad,,,,,,,,,,,,,
,5,pamses,gemulch,gapes,lof,lachef,astma,vates,,,,,,,,,,,,,
,6,garnsnas,orue,gad,garmah,sarquel,rusan,gages,,,,,,,,,,,,,
,7,drusala,phimacar,aldech,oscom,lat,garset,panoston,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
24,1,gude,laz,miz,labac,vsca,losd,pa,,,,,,,,,,,,,
,2,copad,dem,sebas,gad,vancro,umas,ges,,,,,,,,,,,,,
,3,umas,umas,ges,gabre,umas,umascala,umphazes,,,,,,,,,,,,,
,4,umphagam,maaga,mosel,iahal,loges,vapron,fense,,,,,,,,,,,,,
,5,dapax,orgen,lascad,ia,lascoda,vaga,am,,,,,,,,,,,,,
,6,lascafes,iarques,preso,tamisel,vnsnapha,ia-dron,goscam,,,,,,,,,,,,,
,7,lape,voxa,chimlah,aueaux,losge,auioxan,largemah,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
25,1,zureth,axad,lomah,ied,gura,vancrasma,ied,,,,,,,,,,,,,
,2,sesch,lapod,vonse,avo,ave,lamsage,zimah,,,,,,,,,,,,,
,3,zemah,zumacah,vormex,artman,voz,vozcha,tolcas,,,,,,,,,,,,,
,4,zapne,zarvex,zorquem,allahah,giburod,ampatraton,zinegauna,,,,,,,,,,,,,
,5,zonze,zamca,aschma,vlpa,tapa,van,vorxvam,,,,,,,,,,,,,
,6,drusad,caph,castarago,grumna,cancaphes,absacancaphes,zumbala,,,,,,,,,,,,,
,7,teuort,granx,zumcot,lu,graf,saxma,cape,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
26,1,col,age,lam,gem,fam,tepham,vra,,,,,,,,,,,,,
,2,ap,du,ca,sampat,voxham,lunzapha,azquem,,,,,,,,,,,,,
,3,bobagelzod,gaphemse,lunse,agni,cam,setquo,teth,,,,,,,,,,,,,
,4,gaphad,oxamarah,gimnephad,voxcanah,vrn,dage,paphcod,,,,,,,,,,,,,
,5,zambuges,zambe,ach,oh,zambuges,gasca,lunpel,,,,,,,,,,,,,
,6,zadphe,zomephol,zun,zadchal,ureseh,varun,pachadah,,,,,,,,,,,,,
,7,gusels,vx,amna,pa,gramia,oh,vz,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
27,1,atra,cas,carmax,pabamsed,gero,adol,macom,,,,,,,,,,,,,
,2,vaxt,gestes,laduch,carse,amages,dascal,panselcgen,,,,,,,,,,,,,
,3,dursca,zureoch,pamcasah,vsca,huadrongunda,malue,ior,,,,,,,,,,,,,
,4,gascama,af,orthox,van,corhg,aspe,zubra,,,,,,,,,,,,,
,5,vaacaah,gandeua,arinmaphel,vax,oh,saoh,abra,,,,,,,,,,,,,
,6,iehudeh,gamphe,vndaxa,casmat,lafet,vncas,laphet,,,,,,,,,,,,,
,7,vanascor,torx,glust,hahaha,ensede,gumah,galseds,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
28,1,pacadpha,palze,zuma,carphah,uzad,capaden,vlsage,,,,,,,,,,,,,
,2,excol,phag,martbh,iasmadel,voscon,sem,abernda,,,,,,,,,,,,,
,3,tohcoth,iamphala,pahath,orcheth,iesmog,pasque,labaah,,,,,,,,,,,,,
,4,agas,lada,vng,lasco,ied,ampha,leda,,,,,,,,,,,,,
,5,pageh,gemze,axax,ozed,caphzed,campha,voxal,,,,,,,,,,,,,
,6,luthed,gedan,famech,artsnad,gathad,zuresch,pascha,,,,,,,,,,,,,
,7,lo,guma,halphe,dax,vancron,patel,zurad,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
29,1,canda,lahad,bobagen,afna,vorzed,phadel,nobtdambth,,,,,,,,,,,,,
,2,gascala,axad,vanges,vodoth,mured,achna,adcel,,,,,,,,,,,,,
,3,damath,zesvamcul,pacadaah,zimles,zoraston,geh,galze,,,,,,,,,,,,,
,4,mazad,pathel,cusma,ipahes,hurascah,orphade,loscad,,,,,,,,,,,,,
,5,mages,mat,lumfamge,detchel,orze,camalah,vndan,,,,,,,,,,,,,
,6,padgze,pathmataph,zumad,lephada,ohaax,vlschan,zembloh,,,,,,,,,,,,,
,7,agne,phamgah,iudad,capex,luzad,vehech,arse,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
30,1,onda,gams,luzgaph,vxan,genzed,padex,congamphlgh,,,,,,,,,,,,,
,2,ascath,gadpham,zurdah,zamge,gloghcha,sapax,tastel,,,,,,,,,,,,,
,3,vnsada,phatheth,zuncapha,oxamachad,semteph,ascle,zuncas,,,,,,,,,,,,,
,4,magzed,dulm,pamfra,husage,axad,exoradad,casmet,,,,,,,,,,,,,
,5,amphigel,adcath,luza,pathem,necotheth,gesch,labba,,,,,,,,,,,,,
,6,doh,doxa,vascheth,hoxan,lamesde,lampha,iodoch,,,,,,,,,,,,,
,7,gonzah,hamges,glutha,oxmogel,demapha,vzed,ascraph,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
31,1,zudath,chadgama,omsage,hor,gadsa,gezes,orphamzamnahe,,,,,,,,,,,,,
,2,gedod,asphed,voxa,gemgah,lath,gaphes,zembloth,,,,,,,,,,,,,
,3,chasca,olphe,dax,marpha,lo,the,sool,,,,,,,,,,,,,
,4,separ,marges,bosqui,laxa,cosneth,gonse,dadg,,,,,,,,,,,,,
,5,voxma,vmage,vnx,gascheth,lood,adma,loo,,,,,,,,,,,,,
,6,ga,zem,cha,na,phe,am,na,,,,,,,,,,,,,
,7,la,ia,pacheth,nox,da,a,mah,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
32,a,gedox,al,sem,ga,na,da,bah,,,,,,,,,,,,,
,b,ongagageda,phachel,loodath,haxna,gu,na,pa,ge,pha,,,,,,,,,,,
,c,al,se,geda,oh,ooda,gehoph,pachad,enol,adax,loges,,,,,,,,,,
,d,famgah,laxqui,hasche,vadol,vomsana,gax,ma,deph,na,zad,,,,,,,,,,
,e,gel,panca,vam,sesquin,oxal,genoph,voodal,umadabah,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
33,a,asge,lun,zumia,paxchadma,enohol,duran,,,,,,,,,,,,,,
,b,orchlodmaphag,mages,oschan,lod,bunda,cap,,,,,,,,,,,,,,
,c,luzan,lorpha,leuandah,orxzed,famzad,genosodath,,,,,,,,,,,,,,
,d,phaselma,gesda,chom,gas,naph,geth,nag,goth,ladmano,,,,,,,,,,,
,e,vmvar,gezen,vax,gulzad,margas,luxt,lapeh,,,,,,,,,,,,,
,f,iudath,zomze,van,goth,dah,vorx,guna,ia,ada,,,,,,,,,,,
,g,vox,hamana,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
34,a,arze,galsam,vnza,vcha,pasel,noxda,,,,,,,,,,,,,,
,b,nobroschom,gunadephogas,dunseph,,,,,,,,,,,,,,,,,
,c,man,cax,mal,cas,mah,ied,hah,mel,car,ha,zemphe,vncah,,,,,,,,
,d,lethoph,both,ned,ga,phi,cas,mel,ioth,hath,cha,sad,,,,,,,,,
,e,ma,ne,ded,ma,gon,zuna,gothel,pascheph,nodax,,,,,,,,,,,
,f,vam,phath,mata,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
35,a,aphath,zunca,voxmor,can,zadcheth,napha,,,,,,,,,,,,,,
,b,vordomphanches,gauesgosadel,gurah,leth,,,,,,,,,,,,,,,,
,c,agsnah,orza,max,pace,ieth,cas,lad,fam,pahogama,,,,,,,,,,,
,d,zon,chas,pha,ma,zum,bles,cha,phax,var,gat,ma,gas,ter,,,,,,,
,e,ne,ho,gat,ma,gan,vn,ga,phax,ma,la,gegath,,,,,,,,,
,f,laxqu,goga,lab,naches,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
36,a,gedothar,argo,fa,adophanah,gamsech,olneh,varasah,,,,,,,,,,,,,
,b,iusmach,,,,,,,,,,,,,,,,,,,
,c,vschna,phaol,doa,vah,oho,lazed,la,zu,red,amma,,,,,,,,,,
,d,donax,valesto,acaph,lamphages,ronox,genma,iudreth,,,,,,,,,,,,,
,e,loth,adagma,gonsaph,godalga,phareph,iadsma,zema,,,,,,,,,,,,,
,f,loa,agnaphagon,zunaha,al,me,ionaphacas,zed,ox,arni,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
37,a,adgzelga,olms,vanaph,osma,vages,otholl,dox,an,ga,had,,,,,,,,,,
,b,laqui,donaphe,zu,gar,phamah,nordeph,gasmat,,,,,,,,,,,,,
,c,gasque,gas,na,gasmaphes,gasmagel,,,,,,,,,,,,,,,
,d,gasnunabe,vamsech,absechel,gulapha,axnecho,,,,,,,,,,,,,,,
,e,demsa,pambochaph,iehusa,gadaamah,nosad,,,,,,,,,,,,,,,
,f,iures,chy,almse,orsa,vax,marde,zun,effa,,,,,,,,,,,,
,g,mochoeffa,zureheffa,asga,lubeth,bethlemcha,maxiche,,,,,,,,,,,,,,
,h,iehuscoth,iaphan,ornada,vamne,od,ghim,noh,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
38,a,arphe,lamse,gaphnedg,argaph,zonze,zumcoth,,,,,,,,,,,,,,
,b,omdopadaphaab,nulech,gaartha,ancaphama,soldemcah,,,,,,,,,,,,,,,
,c,casdra,vges,lapha,ludasphando,galubanoh,apachana,,,,,,,,,,,,,,
,d,iedeph,zembloh,zamgysel,cheuacha,laquet,lozodma,,,,,,,,,,,,,,
,e,ierinth,onaph,uzad,maspela,gyman,orphammagah,,,,,,,,,,,,,,
,f,iumesbalego,archanphame,zamcheth,zoach,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
39,a,amchana,zeuoth,luthamba,ganeph,iamda,ox,oho,iephad,,,,,,,,,,,,
,b,made,noxa,voscaph,bamgephes,noschol,apeth,iale,,,,,,,,,,,,,
,c,lod,ga,na,zuma,datques,vorzad,numech,,,,,,,,,,,,,
,d,apheth,nudach,caseth,iotha,lax,arseth,,,,,,,,,,,,,,
,e,armi,pli,ca,tar,bam,a,co,zamgeph,gaseth,vrnod,,,,,,,,,,
,f,arispa,iex,han,setha,oh,lagnaph,dothoth,brazed,,,,,,,,,,,,
,g,vamchach,odoamaah,zembles,gunza,naspolge,gathme,,,,,,,,,,,,,,
,h,orsoth,zurath,vameth,anseh,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
40,a,zalpe,iedmacha,amphas,nethoth,alphax ,durah,,,,,,,,,,,,,,
,b,gethos,ascheph,nethoth,iubad,laxmah,ionsa,max,,,,,,,,,,,,,
,c,dan,do,nasdoga,matastos,lateth,vnchas,amse,,,,,,,,,,,,,
,d,iacaph,zembloagauh,ad,pha,ma,gel,lud,cha,dan,sa,,,,,,,,,,
,e,amphicatol,arnopaa,adapagemoh,nodasma,,,,,,,,,,,,,,,,
,f,machestepholon,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
41,a,lumbor,iemasch,onzed,gamphidarah,go,mas,cha,pa,,,,,,,,,,,,
,b,zeba,zun,amph,naho,zucath,uomplinanohahal,machal,,,,,,,,,,,,,
,c,lozma,dauangeth,buches,lauax,orxod,maches,,,,,,,,,,,,,,
,d,donchaph,luzath,marpheth,oz,lanva,don,gauah,oschol,,,,,,,,,,,,
,e,lumasa,phedeph,omsa,nax,domagere,angenophacha,,,,,,,,,,,,,,
,f,phachadona,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
42,a,oschala,zamges,onpha,gemes,phaches,nolph,,,,,,,,,,,,,,
,b,daxeth,machesmachoh,vastnalpoh,gemas,nach,,,,,,,,,,,,,,,
,c,loscheph,daphmech,noth,chales,zunech,maschol,,,,,,,,,,,,,,
,d,lu,gasnaph,malces,gethcaph,madena,oah,,,,,,,,,,,,,,
,e,gemsah,pa,luseth,iorbastamax,elcaph,rusam,,,,,,,,,,,,,,
,f,phanes,domsath,gel,pachadora,amaxchano,,,,,,,,,,,,,,,
,g,lumageno,armachaphamelon,adro,micho,,,,,,,,,,,,,,,,
,h,natath,iamesebachola,donadocha,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
43,a,asmar,gehotha,galseph,aschandas,vnascor,satquama,,,,,,,,,,,,,,
,b,latquataf,hun,ganses,luximagelo,asquapa,lochath,,,,,,,,,,,,,,
,c,anses,dosam,vathne,galsador,ansech,godamah,,,,,,,,,,,,,,
,d,vonsepalescoh,admacah,lu,zampha,oh,adma,,,,,,,,,,,,,,
,e,zemblodarma,varmiga,zuna,thotob,amphichanosa,,,,,,,,,,,,,,,
,f,gemichanadabah,vademado,vaselapagedo,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
44,a,amascabalonocha,anodah,aduradamah,gonadephageno,,,,,,,,,,,,,,,,
,b,vnachapesmacho,geminadochapamica,vuamsapalage,,,,,,,,,,,,,,,,,
,c,vocorthmoth,achepasmacapha,emcanidobah,gedoah,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
45,a,nostoah,geuamna,da,oscha,lus,palpal,medna,,,,,,,,,,,,,
,b,gorumbalogeph,acapnapadapha,volsema,gonogedocha,,,,,,,,,,,,,,,,
,c,ambusabaloh,gemusacha,vamihopha,zumnegadaphagepha,,,,,,,,,,,,,,,,
,d,iurehoh,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
46,a,zemnoda,amni,fa,chebseth,vsangrada,bosadoma,,,,,,,,,,,,,,
,b,zumacoh,aphinabacha,buzadbazu,amachapadomicha,,,,,,,,,,,,,,,,
,c,zumanepasso,na,vuamanabadoth,,,,,,,,,,,,,,,,,
,d,zumblegampha,zumblecaphamacha,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
