,textstring
1.0.41,was gestalten er von der gefangnus und der folter errettet worden
1.0.42,das capitel
1.0.43,das betrugliche gluck gibt simplicio einen freundlichen blick
1.0.44,das capitel
1.0.45,wer der einsidel gewesen dessen simplicius genossen
1.0.46,das capitel
1.0.47,simplicius wird ein page item wie dess einsidlers weib verloren worden
1.0.48,das capitel
1.0.49,simplicius tadelt die leut und sthet viel abgotter in der welt
1.0.50,das capitel
1.0.51,dem seltzamen simplicio kompt in der welt alles seltzam vor und er hingegen der welt auch
1.0.52,das capitel
1.0.53,ein sonderbarer neuer brauch einander gluck zu wunschen und zu bewillkommen
1.0.54,das capitel
1.0.55,dem secretario wird ein starcker geruch in die cantzley gerauchert
1.0.56,das capitel
1.0.57,einer lernet den simplicium auss neid wahrsagen
1.0.58,ja noch wol ein andere zierliche kunst
1.0.59,das capitel
1.0.60,simplicio werden zwey augen auss einem kalbskopff zu theil
1.0.61,das capitel
1.0.62,wie man nach und nach einen rausch bekompt und endlich ohnvermerckt blindvoll wird
1.0.63,das capitel
1.0.64,wie ubel dem simplicio die kunst misslingt und wie man ihme den klopffenden passion singt
1.0.65,das capitel
1.0.66,handelt abermal von nichts anders als der saufferey und wie man die pfaffen davon soll abschaffen
1.0.67,das capitel
1.0.68,wie der herr gubernator ein abscheulichen fuchs geschossen
1.0.69,das capitel
1.0.70,wie simplicius den tantz verderbt
1.1.1,das erste capitel es eroffnet sich zu dieser unserer zeit von welcher man glaubt dass es die letzte seye unter geringen leuten eine sucht in deren die patienten wann sie daran kranck ligen und so viel zusammen geraspelt und erschachert haben dass sie neben ein paar hellern im beutel ein narrisches kleid auff die neue mode mit tausenderley seidenen banden antragen konnen oder sonst etwan durch glucksfall mannhafft und bekant worden gleich rittermassige herren und adeliche personen von uhraltem geschlecht seyn wollen
1.1.2,da sich doch offt befindet dass ihre voreltern taglohner karchelzieher und lasttrager
1.1.3,ihre vettern eseltreiber
1.1.4,ihre bruder buttel und schergen
1.1.5,ihre schwestern huren
1.1.6,ihre mutter kupplerin oder gar hexen
1.1.7,und in summa ihr gantzes geschlecht von allen anichen her also besudelt und befleckt gewesen als dess zuckerbastels zunfft zu prag immer seyn mogen
1.1.8,ja sie diese neue nobilisten seynd offt selbst so schwartz als wann sie in guinea geboren und erzogen waren worden
1.1.9,solchen narrischen leuten nun mag ich mich nicht gleich stellen ob zwar die warheit zu bekennen nicht ohn ist dass ich mir offt eingebildet ich musse ohnfehlbar auch von einem grossen herrn oder wenigst einem gemeinen edelmann meinen ursprung haben weil ich von natur geneigt das junckernhandwerck zu treiben wann ich nur den verlag und den werckzeug darzu hatte
1.1.10,zwar ohngeschertzt mein herkommen und aufferziehung last sich noch wol mit eines fursten vergleichen wann man nur den grossen unterscheid nicht ansehen wolte was
1.1.11,mein knan dann also nennet man die vatter im spessert hatte einen eignen pallast so wol als ein anderer ja so artlich dergleichen ein jeder konig mit eigenen handen zu bauen nicht vermag sondern solches in ewigkeit wol unterwegen lassen wird
1.1.12,er war mit laimen gemahlet und an statt dess unfruchtbaren schifers kalten bley und roten kupffers mit stroh bedeckt darauff das edel getraid wachst
1.1.13,und damit er mein knan mit seinem adel und reichthum recht prangen mochte liess er die mauer umb sein schloss nicht mit mauersteinen die man am weg findet oder an unfruchtbaren orten auss der erden grabt viel weniger mit liederlichen gebachenen steinen die in geringer zeit verfertigt und gebrandt werden konnen wie andere grosse herren zu thun pflegen aufffuhren
1.1.14,sondern er nam eichenholtz darzu welcher nutzliche edle baum als worauff bratwurfte und fette schuncken wachsen biss zu seinem vollstandigen alter uber jahr erfordert
1.1.15,wo ist ein monarch der ihm dergleichen nachthut
1.1.16,seine zimmer saal und gemacher hatte er inwendig vom rauch gantz erschwartzen lassen nur darumb dieweil diss die bestandigste farb von der welt ist und dergleichen gemahld biss zu seiner perfection mehr zeit brauchet als ein kunstlicher mahler zu seinen trefflichsten kunststucken erfordert
1.1.17,die tapezereyen waren das zarteste geweb auff dem gantzen erdboden dann die jenige machte uns solche die sich vor alters vermass mit der minerva selbst umb die wett zu spinnen
1.1.18,seine fenster waren keiner anderer ursachen halber dem sandt nitglass gewidmet als darumb dieweil er wuste dass ein solches vom hanff oder flachssamen an zu rechnen biss es zu seiner vollkommenen verfertigung gelangt weit mehrere zeit und arbeit kostet als das beste und durchsichtigste glas von muran dann sein stand macht ihm ein belieben zu glauben dass alles das jenige was durch viel muhe zu wegen ge bracht wurde auch schatzbar und desto kostlicher sey was aber kostlich seye das seye auch dem adel am anstandigsten
1.1.19,an statt der pagen laqueyen und stallknecht hatte er schaf bocke und sau jedes fein ordenlich in seine naturliche liberey gekleidet welche mir auch offt auff der waid auffgewartet biss ich sie heim getrieben
1.1.20,die rust oder harnischkammer war mit pflugen karsten aexten hauen schaufeln mist und heugabeln genugsam versehen mit welchen waffen er sich taglich ubet
1.1.21,dann hacken und reuthen war seine disciplina militaris wie bey den alten romern zu friedenszeiten ochsen anspannen war sein hauptmannschafftliches commando mist aussfuhren sein fortificationwesen und ackern sein feldzug stallaussmisten aber sein adeliche kurtzweil und turnierspiel
1.1.22,hiermit bestritte er die gantze weltkugel so weit er reichen konte und jagte ihr damit alle ernd ein reiche beut ab
1.1.23,dieses alles setze ich hindan und uberhebe mich dessen gantz nicht damit niemand ursach habe mich mit andern meines gleichen neuen nobilisten ausszulachen dann ich schatze mich nicht besser als mein knan war welcher diese seine wohnung an einem sehr lustigen ort nemlich im spessert ligen hatte allwo die wolff einander gute nacht geben
1.1.24,dass ich aber nichts aussfuhrliches von meines knans geschlecht stammen und nahmen vor dissmal docirt beschibet umb geliebter kurtze willen vornemlich weil es ohne das allhier umb keine adeliche stifftung zu thun ist da ich soll auff schworen
1.1.25,genug ists wann man weiss dass ich im spessert geboren bin
1.1.26,gleich wie nun aber meines knans hausswesen sehr adelich vermerckt wird also kan ein jeder verstandiger auch leichtlich schliessen dass meine aufferziehung derselben gemass und ahnlich gewesen
1.1.27,und wer solches davor halt findet sich auch nicht betrogen dann in meinem zehenjahrigen alter hatte ich schon die principia in obgemeldten meines knans adelichen exercitien begriffen aber der studien halber konte ich neben dem beruhmten amplistidi hin passiren von welchem suidas meldet dass er nicht uber funffe zehlen konte
1.1.28,dann mein knan hatte vielleicht einen viel zu hohen geist und folgte dahero dem gewohnlichen gebrauch jetziger zeit in welcher viel vornehme leut mit studiren oder wie sie es nennen mit schulpossen sich nicht viel bekummern weil sie ihre leut haben der plackscheisserey abzuwarten
1.1.29,sonst war ich ein trefflicher musicus auff der sackpfeiffen mit deren ich schone jalemigesang machen konte
1.1.30,aber die theologiam anbelangend lass ich mich nicht bereden dass einer meines alters damals in der gantzen christenwelt gewest seye der mir darinn hatte gleichen mogen dann ich kennete weder gott noch menschen weder himmel noch holl weder engel noch teuffel und wuste weder gutes noch boses zu unterscheiden
1.1.31,dahero ohnschwer zu gedencken dass ich vermittelst solcher theologiae wie unsere erste eltern im paradis gelebt die in ihrer unschuld von kranckheit todt und sterben weniger von der aufferstehung nichts gewust o edels leben
1.1.32,du mogst wol eselsleben sagen in welchem man sich auch nichts umb die medicin bekummert
1.1.33,eben auff diesen schlag kan man mein erfahrenheit in dem studio legum und allen andern kunsten und wissenschafften so viel in der welt seyn auch versiehen
1.1.34,ja ich war so perfect und vollkommen in der unwissenheit dass mir unmuglich war zu wissen dass ich so gar nichts wuste
1.1.35,jch sage noch einmal o edles leben das ich damals fuhrete
1.1.36,aber mein knan wolte mich solche gluckseeligkeit nicht langer geniessen lassen sondern schatzte billich seyn dass ich meiner adelichen geburt gemass auch adelich thun und leben solte derowegen fienge er an mich zu hohern dingen anzuziehen und mir schwerere lectiones auffzugeben
1.2.1,das ii capitel
1.2.2,er begabte mich mit der herrlichsten dignitat so sich nicht allein bey seiner hofhaltung sondern auch in der gantzen welt befande nemlich mit dem hirtenampt
1.2.3,er vertraut mir erstlich seine sau zweytens seine ziegen und zuletzt seine gantze heerd schaf dass ich selbige huten waiden und vermittelst meiner sackpfeiffen welcher klang ohne das wie strabo schreibet die schaf und lammer in arabia fett macht vor dem wolff beschutzen solte
1.2.4,damal gleichete ich wol dem david ausser dass jener an statt der sackpfeiffe nur eine harpffe hatte welches kein schlimmer anfang sondern ein gut omen fur mich war dass ich noch mit der zeit wann ich anders das gluck darzu hatte ein weltberuhmter mann werden solte
1.2.5,dann von anbegin der welt seynd jeweils hohe personen hirten gewesen wie wir dann vom abel abraham jsaac jacob seinen sohnen und moyse selbst in h
1.2.6,schrifft lesen welcher zuvor seines schwehers schaf huten muste ehe er heer fuhrer und legislator uber mann in jsrael ward
1.2.7,ja mochte mir jemand vorwerffen das waren heilige gottergebene menschen und keine spesferter baurenbuben die von gott nichts wusten
1.2.8,jch muss gestehen aber was hat meine damalige unschuld dessen zu entgelten
1.2.9,bey den alten heyden fande man so wol solche exempla als bey dem ausserwehlten volck gottes
1.2.10,unter den romern seynd vornehme geschlechter gewesen so sich ohn zweiffel bubulcos statilios pomponios vitulos vitellios annios capros und dergleichen genennet weil sie mit dergleichen viehe umbgangen und solches auch vielleicht gehutet
1.2.11,zwar romulus und remus seyn selbst hirten gewest
1.2.12,spartacus vor welchem sich die gantze romische macht so hoch entsetzet war ein hirt
1.2.13,was
1.2.14,hirten sind gewesen wie lucianus in seinem dialogo helenae bezeuget paris priami dess konigs sohn und anchises dess trojanischen fursten aeneae vatter
1.2.15,der schone eudimion umb welchen die keusche luna selbst gebulet war auch ein hirt
1.2.16,jtem der greuliche polyphemus
1.2.17,ja die gotter selbst wie phornutus sagt haben sich dieser profession nicht geschamt apollo hutet admeti dess konigs in thessalia kuhe mercurius sein sohn daphnis pan und protheus waren ertzhirten dahero seynd sie noch bey den narrischen poeien der hirten patronen
1.2.18,mesa konig in moab ist wie man im zweyten buch der konig lieset ein hirt gewesen cyrus der gewaltige konig persarum ist nicht allein von mithridate einem hirten erzogen worden sondern hat auch selbst gehutet
1.2.19,gygas war ein hirt und hernach durch krafft eines rings ein konig
1.2.20,jssmael sophj ein persischer konig hat in seiner jugend ebenmassig das viehe gehutet also dass philo der jud in vita moysis trefflich wol von der sach redet wann er sagt
1.2.21,das hirtenampt sey ein vorbereitung und anfang zum regiment
1.2.22,dann gleich wie die bellicosa und martialia ingenia erstlich auff der jagd geubt und angefuhrt werden also soll man auch die jenige so zum regiment gezogen sollen werden erstlich in dem lieblichen und freundlichen hirtenampt anleiten
1.2.23,welches alles mein knan wol verstanden haben muss und mir noch biss auff diese stund keine geringe hoffnung zu kunfftiger herrlichkeit macht
1.2.24,aber indessen wieder zu meiner heerd zu kommen so wisset dass ich den wolff eben so wenig kennet als meine eigene unwissenheit selbsten
1.2.25,derowegen war mein knan mit seiner instruction desto fleissiger
1.2.26,er sagte bub biss fleissig loss di schoff nit ze weit vunananger laffen un spill wack er uff der sackpfeiffa dass der wolff nit kom und schada dau dann he yss a solcher feyerboinigter schelm und dieb der menscha und vieha frisst un wan dau awer farlassj bisst so will eich dir da buckel arauma
1.2.27,jch antwortet mit gleicher holdseeligkeit
1.2.28,knano sag mir aa wey der wolff seyhet
1.2.29,eich huun noch kan wolff gesien
1.2.30,ah dau grober eselkopp replicirt er hinwieder dau bleiwest dein lewelang a narr geith meich wunner was auss dir wera wird bisst schun su a grusser dolpel un waist noch neit was der wolff fur a fey erfeussiger schelm iss
1.2.31,er gab mir noch mehr unterweisungen und wurde zuletzt un willig massen er mit einem gebrummel fort gieng weil er sich beduncken liesse mein grober verstand konte seine subtile unterweisungen nicht fassen
1.3.1,das iii capitel
1.3.2,da fienge ich an mit meiner sackpfeiffen so gut geschirr zu machen dass man den krotten im krautgarten damit hatte vergeben mogen also dass ich vor dem wolff welcher mir stetig im sinn lag mich sicher genug zu seyn bedunckte
1.3.3,und weilen ich mich meiner meuder erinert also heissen die mutter im spessert und am vogelsberg dass sie offt gesagt sie besorge die huner wurden dermaleins von meinem gesang sterben als beliebte mir auch zu fingen damit das remedium wider den wolff desto krafftiger ware und zwar ein solch lied das ich von meiner meuder selbst gelernet hatte
1.3.4,du sehrverachter baurenstand bist doch der beste in dem land kein mann dich gnugsam preisen kan wann er dich nur recht sihet an
1.3.5,wie stund es jetzund umb die welt hatt adam nicht gebaut das feld mit hacken nahrt sich anfangs der von dem die fursten kommen her
1.3.6,es ist fast alles unter dir ja was die erd nur bringt herfur worvon ernahret wird das land geht dir anfanglich durch die hand
1.3.7,der kaiser den uns gott gegeben uns zu beschutzen muss doch leben von deiner hand auch der soldat der dir doch zufugt manchen schad
1.3.8,fleisch zu der speiss zeugst auff allein von dir wird auch gebaut der wein dein pflug der erden thut so noth dass sie uns gibt genugsam brot
1.3.9,die erde war gantz wild durch auss wann du auff ihr nicht hieltest hauss gantz traurig auff der welt es stund wenn man kein bauersman mehr fund
1.3.10,drumb bist du billich hoch zu ehrn weil du uns alle thust ernehrn die natur liebt dich selber auch gott segnet deinen baurenbrauch
1.3.11,vom bitterbosen podagram hort man nicht dass an bauren kam das doch den adel bringt in noth und manchen reichen gar in todt
1.3.12,der hoffart bist du sehr befreyt absonderlich zu dieser zeit und dass sie auch nicht sey dein herr so gibt dir gott dess creutzes mehr
1.3.13,ja der soldaten boser brauch dient gleichwol dir zum besten auch dass hochmut dich nicht nehme ein sagt er
1.3.14,dein hab und gut ist mein
1.3.15,biss hieher und nicht weiter kam ich mit meinem gesang dann ich ward gleichsam in einem augen blick von einem trouppen courassirer sampt meiner heerd schaf umbgeben welche im grossen wald verirret gewesen und durch meine music und hirtengeschrey wieder zu recht gebracht worden waren
1.3.16,hoho gedachte ich diss seynd die rechte kautz
1.3.17,diss seynd die vierdeinigte schelmen und dieb darvon dir dein knan sagte dann ich sahe anfanglich ross und mann wie hiebevor die americaner die spanische cavallerey vor ein einzige creatur an und vermeynte nicht anders als es musten wolffe seyn wolte derowegen diesen schrocklichen centauris den hundssprung weisen und sie wieder abschaffen
1.3.18,jch hatte aber zu solchem end meine sackpfeiffe kaum auffgeblasen da erdappte mich einer auss ihnen beym flugel und schlendert mich so ungestumm auff ein laer baurenpferd so sie neben andern mehr auch erbeutet hatten dass ich auff der andern seiten wieder herab auff meine liebe sackpfeiffe fallen muste welche so erbarmlich anfieng zu schreyen als wann sie alle welt zu barmhertzigkeit bewegen hatte wollen
1.3.19,aber es halff nichts wiewol sie den letzten athem nicht sparete mein ungefall zu beklagen ich muste einmal wieder zu pferd gott geb was meine sackpfeiffe sang oder sagte
1.3.20,und was mich zum meisten verdross war dieses dass die reuter vorgaben ich hatte der sackpfeiff im fallen wehe gethan darumb sie dann so ketzerlich geschryen hatte
1.3.21,also gieng meine mehr mit mir dahin in einem stetigen trab wie das primum mobile biss in meines knans hof
1.3.22,wunderseltzame dauben stiegen mir damals ins hirn dann ich bildete mir ein weil ich auff einem solchen thier sasse dergleichen ich niemals gesehen hatte so wurde ich auch in einen eisernen kerl verandert werden weil aber solche verwandlung nicht folgte kamen mir andere grillen in kopff ich gedachte diese fremde dinger waren nur zu dem ende da mir die schafe helffen heimzutreiben sintemal keiner von ihnen keines hinweg frass sondern alle so einhellig und zwar dess geraden wegs meines knans hof zueyleten
1.3.23,derowegen sahe ich mich fleissig nach meinem knan umb ob er und mein meuder uns nicht bald entgegen gehen und uns willkom seyn heissen wolten
1.3.24,aber vergebens er und meine meuder sampt unserm ursele welches meines knans einige tochter war hatten die hinderthur troffen und wolten dieser gast nicht erwarten
1.4.1,das iv capitel
1.4.2,wjewol ich nicht bin gesinnet gewesen den friedliebenden leser mit diesen reutern in meines knans hauss und hof zu fuhren weil es schlim genug darinn hergehen wird
1.4.3,so erfordert jedoch die folge meiner histori dass ich der lieben posteritat hinderlasse was vor grausamkeiten in diesem unserm teutschen krieg hin und wieder verubet worden zumalen mit meinem eigenen exempel zu bezeugen dass alle solche ubel von der gute dess allerhochsten zu unserm nutz offt notwendig haben verhangt werden mussen
1.4.4,dann lieber leser wer hatte mir gesagt dass ein gott im himmel ware wann keine krieger meines knans hauss zernichtet und mich durch solche fahung unter die leut gezwungen hatten von denen ich genugsamen bericht empfangen
1.4.5,kurtz zuvor konte ich nichts anders wissen noch mir einbilden als dass mein knan meuder ich und das ubrige haussgesind allein auff erden seye weil mir sonst kein mensch noch einige andere menschliche wohnung bekant war als die jenige darinn ich taglich auss und ein gieng
1.4.6,aber bald hernach erfuhr ich die herkunfft der menschen in diese welt und dass sie wieder darauss musten
1.4.7,ich war nur mit der gestalt ein mensch und mit dem nahmen ein christenkind im ubrigen aber nur ein bestia
1.4.8,aber der allerhochste sahe meine unschuld mit barmhertzigen augen an und wolte mich beydes zu seiner und meiner erkantnus bringen
1.4.9,und wiewol er tausenderley weg hierzu hatte wolte er sich doch ohn zweiffel nur dess jenigen bedienen in welchem mein knan und meuder andern zum exempel wegen ihrer liederlichen aufferziehung gestrafft wurden
1.4.10,das erste das diese reuter thaten war dass sie ihre pferd einstelleten hernach hatte jeglicher seine sonderbare arbeit zu verrichten deren jede lauter untergang und verderben anzeigte dann ob zwar etliche anfiengen zu metzgen zu sieden und zu braten dass es sahe als solte ein lustig panquet gehalten werden so waren hingegen andere die durchsturmten das hauss unden und oben ja das heimlich gemach war nicht sicher gleichsam ob ware das gulden fell von colchis darinnen verborgen
1.4.11,andere machten von tuch kleidungen und allerley haussrath grosse pack zusammen als ob sie irgends ein krempelmarckt anrichten wolten was sie aber nicht mit zu nehmen gedachten wurde zerschlagen etliche durchstachen heu und stroh mit ihren degen als ob sie nicht schaf und schwein genug zu stechen gehabt hatten etliche schutteten die federn auss den betten und fulleten hingegen speck andere durr fleisch und sonst gerath hinein als ob alsdann besser darauff zu schlaffen gewest ware
1.4.12,andere schlugen ofen und fenster ein gleichsam als hatten sie ein ewigen sommer zu verkundigen kupffer und zinnengeschirr schlugen sie zusammen und packten die gebogene und verderbte stuck ein bettladen tisch stul und banck verbrannten sie da doch viel claffter durr holtz im hof lag hafen und schusseln muste endlich alles entzwey entweder weil sie lieber gebraten assen oder weil sie bedacht waren nur ein einzige mahlzeit allda zu halten unser magd ward im stall dermassen tractirt dass sie nicht mehr darauss gehen konte welches zwar eine schand ist zu melden
1.4.13,den knecht legten sie gebunden auff die erd stecketen ihm ein sperrholtz ins maul und schutteten ihm einen melckkubel voll garstig mistlachenwasser in leib das nenneten sie ein schwedischen trunck wordurch sie ihn zwungen eine parthey anderwerts zu fuhren allda sie menschen und viehe hinweg namen und in unsern hof brachten unter welchen mein knan mein meuder und unser ursele auch waren
1.4.14,da fieng man erst an die stein von den pistolen und hingegen an deren statt der bauren daumen aufzuschrauben und die arme schelmen so zufoltern als wann man hatt hexen brennen wollen massen sie auch einen von den gefangenen bauren bereits in bachofen steckten und mit feuer hinder ihm her warn ohnangesehen er noch nichts bekennt hatte
1.4.15,einem andern machten sie ein sail umb den kopff und raittelten es mit einem bengel zusammen dass ihm das blut zu mund nas und ohren herauss sprang
1.4.16,jn summa es hatte jeder sein eigene invention die bauren zu peinigen und also auch jeder bauer seine sonderbare marter
1.4.17,allein mein knan war meinem damaligen beduncken nach der gluckseeligste weil er mit lachendem mund bekennete was andere mit schmertzen und jammerlicher weheklag sagen musten und solche ehre widerfuhr ihm ohne zweiffel darumb weil er der haussvatter war dann sie setzten ihn zu einem feuer banden ihn dass er weder hand noch fuss regen konte und rieben seine fusssolen mit angefeuchtem saltz welches ihm unser alte geiss wieder ablecken und dardurch also kutzeln muste dass er vor lachen hatte zerbersten mogen
1.4.18,das kam so artlich dass ich gesellschafft halber oder weil ichs nicht besser verstunde von hertzen mit lachen muste
1.4.19,jn solchem gelachter bekante er seine schuldigkeit und offnet den verborgenen schatz welcher von gold perlen und cleinodien viel reicher war als man hinder bauren hatte suchen mogen
1.4.20,von den gefangenen weibern magden und tochtern weiss ich sonderlich nichts zu sagen weil mich die krieger nicht zusehen liessen wie sie mit ihnen umbgiengen
1.4.21,das weiss ich noch wol dass man theils hin und wider in den winckeln erbarmlich schreyen horte schatze wol es sey meiner meuder und unserm ursele nit besser gangen als den andern
1.4.22,mitten in diesem elend wendet ich braten und halff nachmittag die pferd trancken durch welches mittel ich zu unserer magd in stall kam welche wunderwercklich zerstrobelt ausssahe ich kennete sie nicht sie aber sprach zu mir mit krancklichter stimm
1.4.23,o bub lauff weg sonst werden dich die reuter mit nemmen guck dass du davon kommst du sihest wol wie es so ubel
1.4.24,mehrers konte sie nicht sagen
1.5.1,das v capitel
1.5.2,da machte ich gleich den anfang meinen unglucklichen zustand den ich vor augen sahe zu betrachten und zu gedencken wie ich mich forderlichst aussdrehen mochte
1.5.3,wohin aber
1.5.4,darzu war mein verstand viel zu gering einen vorschlag zu thun doch hat es mir so weit gelungen dass ich gegen abend in wald bin entsprungen
1.5.5,wo nun aber weiters hinauss
1.5.6,sintemahl mir die wege und der wald so wenig bekant waren als die strass durch das gefrorne meer hinder nova zembla biss gen china hinein
1.5.7,die stockfinstere nacht bedeckte mich zwar zu meiner versicherung jedoch bedauchte sie meinen finstern verstand nicht finster genug dahero verbarg ich mich in ein dickes gestrauch da ich so wol das geschrey der getrillten bauren als das gesang der nachtigallen horen konte welche vogelein sie die bauren von welchen man theils auch vogel zu nennen pflegt nicht angesehen hatten mit ihnen mitleiden zu tragen oder ihres unglucks halber das liebliche gesang einzustellen darumb legte ich mich auch ohn alle sorge auff ein ohr und entschlieff
1.5.8,als aber der morgenstern im osten herfur flackerte sahe ich meines knans hauss in voller flamme stehen aber niemand der zu leschen begehrte
1.5.9,ich begab mich herfur in hoffnung jemand von meinem knan anzutreffen wurde aber gleich von funff reutern erblickt und angeschryen
1.5.10,junge kom herofer oder schall my de tufel halen ick schiedte dick dat di de dampff zum hals utgaht
1.5.11,jch hingegen blieb gantz stockstill stehen und hatte das maul offen weil ich nicht wuste was der reuter wolte oder meynte und in dem ich sie so ansahe wie ein katz ein neu scheurthor sie aber wegen eines morastes nicht zu mir kommen konten welches sie ohn zweiffel rechtschaffen vexierte losete der eine seinen carbiner auff mich von welchem urplotzlichen feuer und unversehnlichem klapff den mir echo durch vielfaltige verdoppelung grausamer machte ich dermassen erschreckt ward weil ich dergleichen niemals gehoret oder gesehen hatte dass ich alsobald zur erden niderfiele ich regete vor angst keine ader mehr und wiewol die reuter ihres wegs fort ritten und mich ohn zweiffel vor todt ligen liessen so hatte ich jedoch denselbigen gantzen tag das hertz nicht mich auffzurichten
1.5.12,als mich aber die nacht wieder ergriffe stunde ich auff und wanderte so lang im wald fort biss ich von fern einen faulen baum schimmern sahe welcher mir ein neue forcht einjagte kehrete derowegen sporenstreichs wieder umb und gieng so lang biss ich wieder einen andern dergleichen baum erblickte von dem ich mich gleichfalls wieder fort machte und auff diese weise die nacht mit hin und wieder rennen von einem faulen baum zum andern vertriebe zuletzt kam mir der liebe tag zu hulff welcher den baumen gebotte mich in seiner gegenwart ohnbetrubt zu lassen aber hiermit war mir noch nichts geholffen dann mein hertz sieckte voll angst und forcht die schenckel voll mudigkeit der laere magen voll hunger das maul voll durst das hirn voll narrischer einbil dung und die augen voller schlaff
1.5.13,jch gieng dannoch furter wuste aber nicht wohin je weiter ich aber gieng je tieffer ich von den leuten hinweg in wald kam
1.5.14,damals stunde ich auss und empfande jedoch gantz unvermerckt die wurckung dess unverstands und der unwissenheit wann ein unvernunfftig thier an meiner stell gewesen ware so hatte es besser gewust was es zu seiner erhaltung hatte thun sollen als ich doch war ich noch so witzig als mich abermal die nacht ereylte dass ich in einen holen baum kroche mein nachtlager darinnen zu halten
1.6.1,das vi capitel
1.6.2,kaum hatte ich mich zum schlaff accommodiret da horete ich folgende stimm
1.6.3,o grosse liebe gegen uns und anckbarn menschen
1.6.4,ach mein einiger trost
1.6.5,mein hoffnung mein reichthum mein gott
1.6.6,und so dergleichen mehr das ich nicht alles mercken noch verstehen konnen
1.6.7,dieses waren wol wort die einen christen menschen der sich in einem solchen stand wie ich mich dazumal befunden billich auffmuntern trosten und erfreuen hatten sollen
1.6.8,aber o einfalt und unwissenheit
1.6.9,es waren mir nur bohmische dorffer und alles ein gantz unverstandliche sprach auss deren ich nicht allein nichts fassen konte sondern auch ein solche vor deren selzamkeit ich mich entsetzte
1.6.10,da ich aber horete dass dessen der sie redete hunger und durst gestillt werden solte riethe mir mein ohnertraglicher hunger mich auch zu gast zu laden derowegen fasste ich das hertz wieder auss meinem holen baum zu gehen und mich der gehorten stim zu nahern da wurde ich eines grossen manns gewahr in langen schwartzgrauen haaren die ihm gantz verworren auff den achseln herumb lagen er hatte einen wilden bart fast formirt wie ein schweitzerkass sein angesicht war zwar bleichgelb und mager aber doch zimlich lieblich und sein langer rock mit mehr als stueckern von allerhand tuch uberflickt und auffeinander gesetzt umb hals und leib hatte er ein schwere eiserne ketten gewunden wie s
1.6.11,wilhelmus und sahe sonst in meinen augen so scheusslich und forchterlich auss dass ich anfienge zu zittern wie ein nasser hund was aber meine angst mehret war dass er ein crucifix ungefahr schuh lang an seine brust druckte und weil ich ihn nicht kennete konte ich nichts anders ersinnen als dieser alte greiss muste ohn zweiffel der wolff seyn davon mir mein knan kurtz zuvor gesagt hatte
1.6.12,jn solcher angst wischte ich mit meiner sackpfeiff herfur welche ich als meinen einigen schatz noch vor den reutern salvirt hatte
