i0,i2,textstring
0,22,he was a verray parfit gentil knight.
0,23,"but for to tellen yow of his array,"
0,24,"his hors were gode, but he was nat gay."
0,25,of fustian he wered a gipoun 
0,26,al bismotered with his habergeoun;
0,27,"for he was late y-come from his viage,"
0,28,and wente for to doon his pilgrimage.
0,0,
0,1,"with him ther was his sone, a yong squyer, squyer."
0,2,"a lovyere, and a lusty bacheler, "
0,3,"with lokkes crulle, as they were leyd in presse."
0,4,"of twenty yeer of age he was, i gesse."
0,5,"of his stature he was of evene lengthe,"
0,6,"and wonderly deliver, and greet of strengthe."
0,7,"and he had been somtyme in chivachye, "
0,8,"in flaundres, in artoys, and picardye,"
0,9,"and born him wel, as of so litel space,"
0,10,in hope to stonden in his lady grace.
0,11,"embrouded was he, as it were a mede"
0,12,"al ful of fresshe floures, whyte and rede. "
0,13,"singinge he was, or floytinge, al the day;"
0,14,he was as fresh as is the month of may.
0,15,"short was his goune, with sleves longe and wyde."
0,16,"wel coude he sitte on hors, and faire ryde."
0,17,"he coude songes make and wel endyte, "
0,18,"iuste and eek daunce, and wel purtreye and wryte,"
0,19,"so hote he lovede, that by nightertale"
0,20,he sleep namore than dooth a nightingale.
0,21,"curteys he was, lowly, and servisable,"
0,22,and carf biforn his fader at the table. 
0,0,
0,1,"a yeman hadde he, and servaunts namo yeman."
0,2,"at that tyme, for him liste ryde so;"
0,3,and he was clad in cote and hood of grene;
0,4,a sheef of pecok-arwes brighte and kene
0,5,under his belt he bar ful thriftily; 
0,6,wel coude he dresse his takel yemanly:
0,7,"his arwes drouped noght with fetheres lowe,"
0,8,and in his hand he bar a mighty bowe.
0,9,"a not-heed hadde he, with a broun visage."
0,10,of wode-craft wel coude he al the usage. 
0,11,"upon his arm he bar a gay bracer,"
0,12,"and by his syde a swerd and a bokeler,"
0,13,"and on that other syde a gay daggere,"
0,14,"harneised wel, and sharp as point of spere;"
0,15,a cristofre on his brest of silver shene. 
0,16,"an horn he bar, the bawdrik was of grene;"
0,17,"a forster was he, soothly, as i gesse."
0,0,
0,1,"ther was also a nonne, a prioresse, prioresse."
0,2,that of hir smyling was ful simple and coy;
0,3,hir gretteste ooth was but by sëynt loy; 
0,4,and she was cleped madame eglentyne.
0,5,"ful wel she song the service divyne,"
0,6,entuned in hir nose ful semely;
0,7,"and frensh she spak ful faire and fetisly,"
0,8,"after the scole of stratford atte bowe, "
0,9,for frensh of paris was to hir unknowe.
0,10,at mete wel y-taught was she with-alle;
0,11,"she leet no morsel from hir lippes falle,"
0,12,ne wette hir fingres in hir sauce depe.
0,13,"wel coude she carie a morsel, and wel kepe, "
0,14,that no drope ne fille up-on hir brest.
0,15,in curteisye was set ful muche hir lest.
0,16,"hir over lippe wyped she so clene,"
0,17,that in hir coppe was no ferthing sene
0,18,"of grece, whan she dronken hadde hir draughte. "
0,19,"ful semely after hir mete she raughte,"
0,20,"and sikerly she was of greet disport,"
0,21,"and ful plesaunt, and amiable of port,"
0,22,and peyned hir to countrefete chere
0,23,"of court, and been estatlich of manere, "
0,24,and to ben holden digne of reverence.
0,25,"but, for to speken of hir conscience,"
0,26,"she was so charitable and so pitous,"
0,27,"she wolde wepe, if that she sawe a mous"
0,28,"caught in a trappe, if it were deed or bledde. "
0,29,"of smale houndes had she, that she fedde"
0,30,"with rosted flesh, or milk and wastel-breed."
0,31,"but sore weep she if oon of hem were deed,"
0,32,or if men smoot it with a yerde smerte:
0,33,and al was conscience and tendre herte. 
0,34,ful semely hir wimpel pinched was;
0,35,hir nose tretys; hir eyen greye as glas;
0,36,"hir mouth ful smal, and ther-to softe and reed;"
0,37,but sikerly she hadde a fair forheed;
0,38,"it was almost a spanne brood, i trowe; "
0,39,"for, hardily, she was nat undergrowe."
0,40,"ful fetis was hir cloke, as i was war."
0,41,of smal coral aboute hir arm she bar
0,42,"a peire of bedes, gauded al with grene;"
0,43,"and ther-on heng a broche of gold ful shene, "
0,44,"on which ther was first write a crowned a,"
0,45,"and after, amor vincit omnia."
0,0,
0,1,"another nonne with hir hadde she, nonne."
0,2,"that was hir chapeleyne, and preestes three. "
0,0,
0,1,"a monk ther was, a fair for the maistrye, monk."
0,2,"an out-rydere, that lovede venerye; "
0,3,"a manly man, to been an abbot able."
0,4,ful many a deyntee hors hadde he in stable:
0,5,"and, whan he rood, men mighte his brydel here"
0,6,"ginglen in a whistling wind as clere, "
0,7,"and eek as loude as dooth the chapel-belle,"
0,8,ther as this lord was keper of the celle.
0,9,"the reule of seint maure or of seint beneit,"
0,10,"by-cause that it was old and som-del streit,"
0,11,"this ilke monk leet olde thinges pace, "
0,12,and held after the newe world the space.
0,13,"he yaf nat of that text a pulled hen,"
0,14,"that seith, that hunters been nat holy men;"
0,15,"ne that a monk, whan he is cloisterlees,"
0,16,is lykned til a fish that is waterlees; 
0,17,"this is to seyn, a monk out of his cloistre."
0,18,but thilke text held he nat worth an oistre;
0,19,"and i seyde, his opinioun was good."
0,20,"what sholde he studie, and make him-selven wood,"
0,21,"upon a book in cloistre alwey to poure, "
0,22,"or swinken with his handes, and laboure,"
0,23,as austin bit? how shal the world be served?
0,24,lat austin have his swink to him reserved.
0,25,therfore he was a pricasour aright;
0,26,"grehoundes he hadde, as swifte as fowel in flight; "
0,27,of priking and of hunting for the hare
0,28,"was al his lust, for no cost wolde he spare."
0,29,i seigh his sleves purfiled at the hond
0,30,"with grys, and that the fyneste of a lond;"
0,31,"and, for to festne his hood under his chin, "
0,32,he hadde of gold y-wroght a curious pin:
0,33,a love-knotte in the gretter ende ther was.
0,34,"his heed was balled, that shoon as any glas,"
0,35,"and eek his face, as he had been anoint."
0,36,he was a lord ful fat and in good point; 
0,37,"his eyen stepe, and rollinge in his heed,"
0,38,that stemed as a forneys of a leed;
0,39,"his botes souple, his hors in greet estat."
0,40,now certeinly he was a fair prelat;
0,41,he was nat pale as a for-pyned goost. 
0,42,a fat swan loved he best of any roost.
0,43,his palfrey was as broun as is a berye.
0,0,
0,1,"a frere ther was, a wantown and a merye, frere."
0,2,"a limitour, a ful solempne man."
0,3,in alle the ordres foure is noon that can 
0,4,so muche of daliaunce and fair langage.
0,5,he hadde maad ful many a mariage
0,6,"of yonge wommen, at his owne cost."
0,7,un-to his ordre he was a noble post.
0,8,ful wel biloved and famulier was he 
0,9,"with frankeleyns over-al in his contree,"
0,10,and eek with worthy wommen of the toun:
0,11,"for he had power of confessioun,"
0,12,"as seyde him-self, more than a curat,"
0,13,for of his ordre he was licentiat. 
0,14,"ful swetely herde he confessioun,"
0,15,and plesaunt was his absolucioun;
0,16,he was an esy man to yeve penaunce
0,17,ther as he wiste to han a good pitaunce;
0,18,for unto a povre ordre for to yive 
0,19,is signe that a man is wel y-shrive.
0,20,"for if he yaf, he dorste make avaunt,"
0,21,he wiste that a man was repentaunt.
0,22,"for many a man so hard is of his herte,"
0,23,he may nat wepe al-thogh him sore smerte. 
0,24,"therfore, in stede of weping and preyeres,"
0,25,men moot yeve silver to the povre freres.
0,26,his tipet was ay farsed ful of knyves
0,27,"and pinnes, for to yeven faire wyves."
0,28,and certeinly he hadde a mery note; 
0,29,wel coude he singe and pleyen on a rote.
0,30,of yeddinges he bar utterly the prys.
0,31,his nekke whyt was as the flour-de-lys;
0,32,ther-to he strong was as a champioun.
0,33,"he knew the tavernes wel in every toun, "
0,34,and everich hostiler and tappestere
0,35,bet than a lazar or a beggestere;
0,36,for un-to swich a worthy man as he
0,37,"acorded nat, as by his facultee,"
0,38,to have with seke lazars aqueyntaunce. 
0,39,"it is nat honest, it may nat avaunce"
0,40,"for to delen with no swich poraille,"
0,41,but al with riche and sellers of vitaille.
0,42,"and over-al, ther as profit sholde aryse,"
0,43,"curteys he was, and lowly of servyse. "
0,44,ther nas no man no-wher so vertuous.
0,45,he was the beste beggere in his hous;
0,46,and yaf a certeyn ferme for the graunt;
0,47,noon of his bretheren cam ther in his haunt; 
0,48,"for thogh a widwe hadde noght a sho,"
0,49,"so plesaunt was his ""in principio,"""
0,50,"yet wolde he have a ferthing, er he wente. "
0,51,his purchas was wel bettre than his rente.
0,52,"and rage he coude, as it were right a whelpe."
0,53,in love-dayes ther coude he muchel helpe. 
0,54,"for there he was nat lyk a cloisterer,"
0,55,"with a thredbar cope, as is a povre scoler, "
0,56,but he was lyk a maister or a pope.
0,57,"of double worsted was his semi-cope,"
0,58,that rounded as a belle out of the presse.
0,59,"somwhat he lipsed, for his wantownesse,"
0,60,to make his english swete up-on his tonge; 
0,61,"and in his harping, whan that he had songe,"
0,62,"his eyen twinkled in his heed aright,"
0,63,as doon the sterres in the frosty night. 
0,64,this worthy limitour was cleped huberd.
0,0,
0,1,"a marchant was ther with a forked berd, marchant."
0,2,"in mottelee, and hye on horse he sat, "
0,3,up-on his heed a flaundrish bever hat;
0,4,his botes clasped faire and fetisly.
0,5,"his resons he spak ful solempnely,"
0,6,souninge alway thencrees of his winning. 
0,7,he wolde the see were kept for any thing
0,8,bitwixe middelburgh and orewelle.
0,9,wel coude he in eschaunge sheeldes selle. 
0,10,this worthy man ful wel his wit bisette;
0,11,"ther wiste no wight that he was in dette, "
0,12,"so estatly was he of his governaunce,"
0,13,"with his bargaynes, and with his chevisaunce."
0,14,"for sothe he was a worthy man with-alle,"
0,15,"but sooth to seyn, i noot how men him calle."
0,0,
0,1,"a clerk ther was of oxenford also, clerk."
0,2,that un-to logik hadde longe y-go. 
0,3,"as lene was his hors as is a rake,"
0,4,"and he nas nat right fat, i undertake; "
0,5,"but loked holwe, and ther-to soberly."
0,6,ful thredbar was his overest courtepy; 
0,7,"for he had geten him yet no benefyce,"
0,8,ne was so worldly for to have offyce.
0,9,for him was lever have at his beddes heed
0,10,"twenty bokes, clad in blak or reed,"
0,11,"of aristotle and his philosophye, "
0,12,"than robes riche, or fithele, or gay sautrye."
0,13,"but al be that he was a philosophre,"
0,14,yet hadde he but litel gold in cofre; 
0,15,"but al that he mighte of his freendes hente,"
0,16,"on bokes and on lerninge he it spente, "
0,17,and bisily gan for the soules preye
0,18,of hem that yaf him wher-with to scoleye.
0,19,of studie took he most cure and most hede.
0,20,"noght o word spak he more than was nede,"
0,21,"and that was seyd in forme and reverence, "
0,22,"and short and quik, and ful of hy sentence."
0,23,"souninge in moral vertu was his speche,"
0,24,"and gladly wolde he lerne, and gladly teche. "
0,0,
0,1,"a sergeant of the lawe, war and wys, man of lawe."
0,2,"that often hadde been at the parvys, "
0,3,"ther was also, ful riche of excellence."
0,4,"discreet he was, and of greet reverence:"
0,5,"he semed swich, his wordes weren so wyse."
0,6,"iustyce he was ful often in assyse,"
0,7,"by patente, and by pleyn commissioun; "
0,8,"for his science, and for his heigh renoun"
0,9,of fees and robes hadde he many oon.
0,10,so greet a purchasour was no-wher noon. 
0,11,"al was fee simple to him in effect,"
0,12,his purchasing mighte nat been infect. 
0,13,"no-wher so bisy a man as he ther nas,"
0,14,and yet he semed bisier than he was.
0,15,"in termes hadde he caas and domes alle,"
0,16,that from the tyme of king william were falle.
0,17,"therto he coude endyte, and make a thing, "
0,18,ther coude no wight pinche at his wryting;
0,19,and every statut coude he pleyn by rote.
0,20,he rood but hoomly in a medlee cote 
0,21,"girt with a ceint of silk, with barres smale;"
0,22,of his array telle i no lenger tale.
0,0,
0,1,a frankeleyn was in his companye; frankeleyn.
0,2,"whyt was his berd, as is the dayesye."
0,3,of his complexioun he was sangwyn.
0,4,wel loved he by the morwe a sop in wyn.
0,5,"to liven in delyt was ever his wone, "
0,6,"for he was epicurus owne sone,"
0,7,"that heeld opinioun, that pleyn delyt"
0,8,was verraily felicitee parfyt.
0,9,"an housholdere, and that a greet, was he; "
0,10,seint iulian he was in his contree.
0,11,"his breed, his ale, was alwey after oon;"
0,12,a bettre envyned man was no-wher noon.
0,13,"with-oute bake mete was never his hous,"
0,14,"of fish and flesh, and that so plentevous,"
0,15,"it snewed in his hous of mete and drinke, "
0,16,of alle deyntees that men coude thinke.
0,17,"after the sondry sesons of the yeer,"
0,18,so chaunged he his mete and his soper. 
0,19,"ful many a fat partrich hadde he in mewe,"
0,20,and many a breem and many a luce in stewe. 
0,21,"wo was his cook, but-if his sauce were"
0,22,"poynaunt and sharp, and redy al his gere."
0,23,his table dormant in his halle alway
0,24,stood redy covered al the longe day.
0,25,at sessiouns ther was he lord and sire; 
0,26,ful ofte tyme he was knight of the shire.
0,27,an anlas and a gipser al of silk
0,28,"heng at his girdel, whyt as morne milk. "
0,29,"a shirreve hadde he been, and a countour;"
0,30,was no-wher such a worthy vavasour. 
0,0,
0,1,"an haberdassher and a carpenter, habaerdassher."
0,2,"a webbe, a dyere, and a tapicer, carpenter."
0,3,"were with us eek, clothed in o liveree, webbe. dyere."
0,4,of a solempne and greet fraternitee. tapicer.
0,5,ful fresh and newe hir gere apyked was; 
0,6,"hir knyves were y-chaped noght with bras,"
0,7,"but al with silver, wroght ful clene and weel,"
0,8,hir girdles and hir pouches every-deel. 
0,9,"wel semed ech of hem a fair burgeys,"
0,10,to sitten in a yeldhalle on a deys. 
0,11,"everich, for the wisdom that he can,"
0,12,was shaply for to been an alderman.
0,13,"for catel hadde they y-nogh and rente,"
0,14,and eek hir wyves wolde it wel assente;
0,15,and elles certein were they to blame. 
0,16,"it is ful fair to been y-clept ""ma dame,"""
0,17,"and goon to vigilyës al bifore,"
0,18,and have a mantel royalliche y-bore. 
0,0,
0,1,"a cook they hadde with hem for the nones, cook."
0,2,"to boille the chiknes with the mary-bones, "
0,3,"and poudre-marchant tart, and galingale."
0,4,wel coude he knowe a draughte of london ale.
0,5,"he coude roste, and sethe, and broille, and frye,"
0,6,"maken mortreux, and wel bake a pye."
0,7,"but greet harm was it, as it thoughte me, "
0,8,that on his shine a mormal hadde he;
0,9,"for blankmanger, that made he with the beste. "
0,0,
0,1,"a shipman was ther, woning fer by weste: shipman."
0,2,"for aught i woot, he was of dertemouthe."
0,3,"he rood up-on a rouncy, as he couthe, "
0,4,in a gowne of falding to the knee.
0,5,a daggere hanging on a laas hadde he
0,6,aboute his nekke under his arm adoun.
0,7,the hote somer had maad his hewe al broun;
0,8,"and, certeinly, he was a good felawe. "
0,9,ful many a draughte of wyn had he y-drawe
0,10,"from burdeux-ward, whyl that the chapman sleep."
0,11,of nyce conscience took he no keep. 
0,12,"if that he faught, and hadde the hyer hond,"
0,13,by water he sente hem hoom to every lond. 
0,14,"but of his craft to rekene wel his tydes,"
0,15,"his stremes and his daungers him bisydes,"
0,16,"his herberwe and his mone, his lodemenage,"
0,17,ther nas noon swich from hulle to cartage.
0,18,"hardy he was, and wys to undertake; "
0,19,with many a tempest hadde his berd been shake.
0,20,"he knew wel alle the havenes, as they were,"
0,21,"from gootlond to the cape of finistere, "
0,22,and every cryke in britayne and in spayne;
0,23,his barge y-cleped was the maudelayne. 
0,0,
0,1,"with us ther was a doctour of phisyk, doctour."
0,2,in al this world ne was ther noon him lyk
0,3,to speke of phisik and of surgerye;
0,4,for he was grounded in astronomye.
0,5,he kepte his pacient a ful greet del 
0,6,"in houres, by his magik naturel."
0,7,wel coude he fortunen the ascendent
0,8,of his images for his pacient. 
0,9,"he knew the cause of everich maladye,"
0,10,"were it of hoot or cold, or moiste, or drye, "
0,11,"and where engendred, and of what humour;"
0,12,he was a verrey parfit practisour.
0,13,"the cause y-knowe, and of his harm the rote,"
0,14,anon he yaf the seke man his bote.
0,15,"ful redy hadde he his apothecaries, "
0,16,"to sende him drogges and his letuaries,"
0,17,for ech of hem made other for to winne;
0,18,hir frendschipe nas nat newe to biginne. 
0,19,"wel knew he the olde esculapius,"
0,20,"and deiscorides, and eek rufus, "
0,21,"old ypocras, haly, and galien;"
0,22,"serapion, razis, and avicen;"
0,23,"averrois, damascien, and constantyn;"
0,24,"bernard, and gatesden, and gilbertyn."
0,25,"of his diete mesurable was he, "
0,26,"for it was of no superfluitee,"
0,27,but of greet norissing and digestible.
0,28,his studie was but litel on the bible. 
0,29,"in sangwin and in pers he clad was al,"
0,30,lyned with taffata and with sendal; 
0,31,and yet he was but esy of dispence;
0,32,he kepte that he wan in pestilence.
0,33,"for gold in phisik is a cordial,"
0,34,therfore he lovede gold in special.
0,0,
0,1,"a good wyf was ther of bisyde bathe, wyf of bathe."
0,2,"but she was som-del deef, and that was scathe. "
0,3,"of clooth-making she hadde swiche an haunt,"
0,4,she passed hem of ypres and of gaunt. 
0,5,in al the parisshe wyf ne was ther noon
0,6,that to the offring bifore hir sholde goon; 
0,7,"and if ther dide, certeyn, so wrooth was she,"
0,8,that she was out of alle charitee.
0,9,hir coverchiefs ful fyne were of ground;
0,10,i dorste swere they weyeden ten pound
0,11,that on a sonday were upon hir heed. 
0,12,"hir hosen weren of fyn scarlet reed,"
0,13,"ful streite y-teyd, and shoos ful moiste and newe."
0,14,"bold was hir face, and fair, and reed of hewe. "
0,15,"she was a worthy womman al hir lyve,"
0,16,"housbondes at chirche-dore she hadde fyve, "
0,17,withouten other companye in youthe;
0,18,but therof nedeth nat to speke as nouthe.
0,19,and thryes hadde she been at ierusalem;
0,20,she hadde passed many a straunge streem;
0,21,"at rome she hadde been, and at boloigne, "
0,22,"in galice at seint iame, and at coloigne."
0,23,she coude muche of wandring by the weye.
0,24,"gat-tothed was she, soothly for to seye. "
0,25,"up-on an amblere esily she sat,"
0,26,"y-wimpled wel, and on hir heed an hat "
0,27,as brood as is a bokeler or a targe;
0,28,"a foot-mantel aboute hir hipes large,"
0,29,and on hir feet a paire of spores sharpe.
0,30,in felawschip wel coude she laughe and carpe.
0,31,"of remedyes of love she knew per-chaunce, "
0,32,for she coude of that art the olde daunce.
0,0,
0,1,"a good man was ther of religioun, persoun."
0,2,and was a povre persoun of a toun; 
0,3,but riche he was of holy thoght and werk.
0,4,"he was also a lerned man, a clerk, "
0,5,that cristes gospel trewely wolde preche;
0,6,his parisshens devoutly wolde he teche.
0,7,"benigne he was, and wonder diligent,"
0,8,and in adversitee ful pacient;
0,9,and swich he was y-preved ofte sythes. 
0,10,"ful looth were him to cursen for his tythes,"
0,11,"but rather wolde he yeven, out of doute,"
0,12,un-to his povre parisshens aboute 
0,13,"of his offring, and eek of his substaunce."
0,14,he coude in litel thing han suffisaunce. 
0,15,"wyd was his parisshe, and houses fer a-sonder,"
0,16,"but he ne lafte nat, for reyn ne thonder,"
0,17,"in siknes nor in meschief, to visyte"
0,18,"the ferreste in his parisshe, muche and lyte,"
0,19,"up-on his feet, and in his hand a staf. "
0,20,"this noble ensample to his sheep he yaf,"
0,21,"that first he wroghte, and afterward he taughte;"
0,22,out of the gospel he tho wordes caughte; 
0,23,"and this figure he added eek ther-to,"
0,24,"that if gold ruste, what shal iren do? "
0,25,"for if a preest be foul, on whom we truste,"
0,26,no wonder is a lewed man to ruste;
0,27,"and shame it is, if a preest take keep,"
0,28,a shiten shepherde and a clene sheep.
0,29,"wel oghte a preest ensample for to yive, "
0,30,"by his clennesse, how that his sheep shold live."
0,31,"he sette nat his benefice to hyre,"
0,32,"and leet his sheep encombred in the myre, "
0,33,"and ran to london, un-to sëynt poules,"
0,34,"to seken him a chaunterie for soules, "
0,35,or with a bretherhed to been withholde;
0,36,"but dwelte at hoom, and kepte wel his folde,"
0,37,so that the wolf ne made it nat miscarie;
0,38,he was a shepherde and no mercenarie.
0,39,"and though he holy were, and vertuous, "
0,40,"he was to sinful man nat despitous,"
0,41,"ne of his speche daungerous ne digne,"
0,42,but in his teching discreet and benigne. 
0,43,to drawen folk to heven by fairnesse
0,44,"by good ensample, was his bisinesse: "
0,45,"but it were any persone obstinat,"
0,46,"what-so he were, of heigh or lowe estat,"
0,47,him wolde he snibben sharply for the nones.
0,48,"a bettre preest, i trowe that nowher noon is."
0,49,"he wayted after no pompe and reverence, "
0,50,"ne maked him a spyced conscience,"
0,51,"but cristes lore, and his apostles twelve,"
0,52,"he taughte, and first he folwed it him-selve. "
0,0,
0,1,"with him ther was a plowman, was his brother, plowman."
0,2,"that hadde y-lad of dong ful many a fother, "
0,3,"a trewe swinker and a good was he,"
0,4,livinge in pees and parfit charitee.
0,5,god loved he best with al his hole herte
0,6,"at alle tymes, thogh him gamed or smerte,"
0,7,and thanne his neighebour right as him-selve. 
0,8,"he wolde thresshe, and ther-to dyke and delve,"
0,9,"for cristes sake, for every povre wight,"
0,10,"withouten hyre, if it lay in his might. "
0,11,"his tythes payed he ful faire and wel,"
0,12,bothe of his propre swink and his catel. 
0,13,in a tabard he rood upon a mere.
0,0,
0,1,"ther was also a reve and a millere,"
0,2,"a somnour and a pardoner also,"
0,3,"a maunciple, and my-self; ther were namo."
0,0,
0,1,"the miller was a stout carl, for the nones, miller."
0,2,"ful big he was of braun, and eek of bones; "
0,3,"that proved wel, for over-al ther he cam,"
0,4,at wrastling he wolde have alwey the ram. 
0,5,"he was short-sholdred, brood, a thikke knarre,"
0,6,"ther nas no dore that he nolde heve of harre, "
0,7,"or breke it, at a renning, with his heed."
0,8,"his berd as any sowe or fox was reed,"
0,9,"and ther-to brood, as though it were a spade."
0,10,up-on the cop right of his nose he hade
0,11,"a werte, and ther-on stood a tuft of heres, "
0,12,reed as the bristles of a sowes eres;
0,13,his nose-thirles blake were and wyde.
0,14,a swerd and bokeler bar he by his syde; 
0,15,his mouth as greet was as a greet forneys.
0,16,"he was a ianglere and a goliardeys, "
0,17,and that was most of sinne and harlotryes.
0,18,"wel coude he stelen corn, and tollen thryes;"
0,19,"and yet he hadde a thombe of gold, pardee."
0,20,a whyt cote and a blew hood wered he.
0,21,"a baggepype wel coude he blowe and sowne, "
0,22,and ther-with-al he broghte us out of towne.
0,0,
0,1,"a gentil maunciple was ther of a temple, maunciple."
0,2,of which achatours mighte take exemple 
0,3,for to be wyse in bying of vitaille.
0,4,"for whether that he payde, or took by taille, "
0,5,"algate he wayted so in his achat,"
0,6,that he was ay biforn and in good stat.
0,7,"now is nat that of god a ful fair grace,"
0,8,that swich a lewed mannes wit shal pace
0,9,the wisdom of an heep of lerned men? 
0,10,"of maistres hadde he mo than thryes ten,"
0,11,that were of lawe expert and curious;
0,12,"of which ther were a doseyn in that hous, "
0,13,worthy to been stiwardes of rente and lond
0,14,"of any lord that is in engelond, "
0,15,"to make him live by his propre good,"
0,16,"in honour dettelees, but he were wood,"
0,17,or live as scarsly as him list desire;
0,18,and able for to helpen al a shire
0,19,in any cas that mighte falle or happe; 
0,20,and yit this maunciple sette hir aller cappe.
0,0,
0,1,"the reve was a sclendre colerik man, reve."
0,2,his berd was shave as ny as ever he can. 
0,3,his heer was by his eres round y-shorn.
0,4,his top was dokked lyk a preest biforn. 
0,5,"ful longe were his legges, and ful lene,"
0,6,"y-lyk a staf, ther was no calf y-sene."
0,7,wel coude he kepe a gerner and a binne;
0,8,ther was noon auditour coude on him winne.
0,9,"wel wiste he, by the droghte, and by the reyn, "
0,10,"the yelding of his seed, and of his greyn."
0,11,"his lordes sheep, his neet, his dayerye,"
0,12,"his swyn, his hors, his stoor, and his pultrye, "
0,13,"was hoolly in this reves governing,"
0,14,"and by his covenaunt yaf the rekening, "
0,15,sin that his lord was twenty yeer of age;
0,16,ther coude no man bringe him in arrerage.
0,17,"ther nas baillif, ne herde, ne other hyne,"
0,18,that he ne knew his sleighte and his covyne;
0,19,"they were adrad of him, as of the deeth. "
0,20,"his woning was ful fair up-on an heeth,"
0,21,with grene treës shadwed was his place.
0,22,he coude bettre than his lord purchace. 
0,23,"ful riche he was astored prively,"
0,24,"his lord wel coude he plesen subtilly, "
0,25,"to yeve and lene him of his owne good,"
0,26,"and have a thank, and yet a cote and hood."
0,27,in youthe he lerned hadde a good mister;
0,28,"he was a wel good wrighte, a carpenter."
0,29,"this reve sat up-on a ful good stot, "
0,30,"that was al pomely grey, and highte scot."
0,31,"a long surcote of pers up-on he hade,"
0,32,and by his syde he bar a rusty blade. 
0,33,"of northfolk was this reve, of which i telle,"
0,34,bisyde a toun men clepen baldeswelle. 
0,35,"tukked he was, as is a frere, aboute,"
0,36,and ever he rood the hindreste of our route.
0,0,
0,1,"a somnour was ther with us in that place, somnour."
0,2,"that hadde a fyr-reed cherubinnes face,"
0,3,"for sawcefleem he was, with eyen narwe. "
0,4,"as hoot he was, and lecherous, as a sparwe;"
0,5,"with scalled browes blake, and piled berd;"
0,6,of his visage children were aferd. 
0,7,"ther nas quik-silver, litarge, ne brimstoon,"
0,8,"boras, ceruce, ne oille of tartre noon, "
0,9,"ne oynement that wolde dense and byte,"
0,10,"that him mighte helpen of his whelkes whyte,"
0,11,nor of the knobbes sittinge on his chekes.
0,12,"wel loved he garleek, oynons, and eek lekes,"
0,13,"and for to drinken strong wyn, reed as blood. "
0,14,"thanne wolde he speke, and crye as he were wood."
0,15,"and whan that he wel dronken hadde the wyn,"
0,16,than wolde he speke no word but latyn. 
0,17,"a fewe termes hadde he, two or three,"
0,18,that he had lerned out of som decree; 
