idx,textstring
0.11.32,therto he strong was as a champioun
0.11.33,he knew the tavernes wel in every toun
0.11.34,and everich hostiler and tappestere
0.11.35,bet than a lazar or a beggestere
0.11.36,for unto swich a worthy man as he
0.11.37,acorded nat as by his facultee
0.11.38,to have with seke lazars aqueyntaunce
0.11.39,it is nat honest it may nat avaunce
0.11.40,for to delen with no swich poraille
0.11.41,but al with riche and sellers of vitaille
0.11.42,and overal ther as profit sholde aryse
0.11.43,curteys he was and lowly of servyse
0.11.44,ther nas no man nowher so vertuous
0.11.45,he was the beste beggere in his hous
0.11.46,and yaf a certeyn ferme for the graunt
0.11.47,noon of his bretheren cam ther in his haunt
0.11.48,for thogh a widwe hadde noght a sho
0.11.49,so plesaunt was his in principio
0.11.50,yet wolde he have a ferthing er he wente
0.11.51,his purchas was wel bettre than his rente
0.11.52,and rage he coude as it were right a whelpe
0.11.53,in lovedayes ther coude he muchel helpe
0.11.54,for there he was nat lyk a cloisterer
0.11.55,with a thredbar cope as is a povre scoler
0.11.56,but he was lyk a maister or a pope
0.11.57,of double worsted was his semicope
0.11.58,that rounded as a belle out of the presse
0.11.59,somwhat he lipsed for his wantownesse
0.11.60,to make his english swete upon his tonge
0.11.61,and in his harping whan that he had songe
0.11.62,his eyen twinkled in his heed aright
0.11.63,as doon the sterres in the frosty night
0.11.64,this worthy limitour was cleped huberd
0.12.1,a marchant was ther with a forked berd marchant
0.12.2,in mottelee and hye on horse he sat
0.12.3,upon his heed a flaundrish bever hat
0.12.4,his botes clasped faire and fetisly
0.12.5,his resons he spak ful solempnely
0.12.6,souninge alway thencrees of his winning
0.12.7,he wolde the see were kept for any thing
0.12.8,bitwixe middelburgh and orewelle
0.12.9,wel coude he in eschaunge sheeldes selle
0.12.10,this worthy man ful wel his wit bisette
0.12.11,ther wiste no wight that he was in dette
0.12.12,so estatly was he of his governaunce
0.12.13,with his bargaynes and with his chevisaunce
0.12.14,for sothe he was a worthy man withalle
0.12.15,but sooth to seyn i noot how men him calle
0.13.1,a clerk ther was of oxenford also clerk
0.13.2,that unto logik hadde longe ygo
0.13.3,as lene was his hors as is a rake
0.13.4,and he nas nat right fat i undertake
0.13.5,but loked holwe and therto soberly
0.13.6,ful thredbar was his overest courtepy
0.13.7,for he had geten him yet no benefyce
0.13.8,ne was so worldly for to have offyce
0.13.9,for him was lever have at his beddes heed
0.13.10,twenty bokes clad in blak or reed
0.13.11,of aristotle and his philosophye
0.13.12,than robes riche or fithele or gay sautrye
0.13.13,but al be that he was a philosophre
0.13.14,yet hadde he but litel gold in cofre
0.13.15,but al that he mighte of his freendes hente
0.13.16,on bokes and on lerninge he it spente
0.13.17,and bisily gan for the soules preye
0.13.18,of hem that yaf him wherwith to scoleye
0.13.19,of studie took he most cure and most hede
0.13.20,noght o word spak he more than was nede
0.13.21,and that was seyd in forme and reverence
0.13.22,and short and quik and ful of hy sentence
0.13.23,souninge in moral vertu was his speche
0.13.24,and gladly wolde he lerne and gladly teche
0.14.1,a sergeant of the lawe war and wys man of lawe
0.14.2,that often hadde been at the parvys
0.14.3,ther was also ful riche of excellence
0.14.4,discreet he was and of greet reverence
0.14.5,he semed swich his wordes weren so wyse
0.14.6,iustyce he was ful often in assyse
0.14.7,by patente and by pleyn commissioun
0.14.8,for his science and for his heigh renoun
0.14.9,of fees and robes hadde he many oon
0.14.10,so greet a purchasour was nowher noon
0.14.11,al was fee simple to him in effect
0.14.12,his purchasing mighte nat been infect
0.14.13,nowher so bisy a man as he ther nas
0.14.14,and yet he semed bisier than he was
0.14.15,in termes hadde he caas and domes alle
0.14.16,that from the tyme of king william were falle
0.14.17,therto he coude endyte and make a thing
0.14.18,ther coude no wight pinche at his wryting
0.14.19,and every statut coude he pleyn by rote
0.14.20,he rood but hoomly in a medlee cote
0.14.21,girt with a ceint of silk with barres smale
0.14.22,of his array telle i no lenger tale
0.15.1,a frankeleyn was in his companye frankeleyn
0.15.2,whyt was his berd as is the dayesye
0.15.3,of his complexioun he was sangwyn
0.15.4,wel loved he by the morwe a sop in wyn
0.15.5,to liven in delyt was ever his wone
0.15.6,for he was epicurus owne sone
0.15.7,that heeld opinioun that pleyn delyt
0.15.8,was verraily felicitee parfyt
0.15.9,an housholdere and that a greet was he
0.15.10,seint iulian he was in his contree
0.15.11,his breed his ale was alwey after oon
0.15.12,a bettre envyned man was nowher noon
0.15.13,withoute bake mete was never his hous
0.15.14,of fish and flesh and that so plentevous
0.15.15,it snewed in his hous of mete and drinke
0.15.16,of alle deyntees that men coude thinke
0.15.17,after the sondry sesons of the yeer
0.15.18,so chaunged he his mete and his soper
0.15.19,ful many a fat partrich hadde he in mewe
0.15.20,and many a breem and many a luce in stewe
0.15.21,wo was his cook butif his sauce were
0.15.22,poynaunt and sharp and redy al his gere
0.15.23,his table dormant in his halle alway
0.15.24,stood redy covered al the longe day
0.15.25,at sessiouns ther was he lord and sire
0.15.26,ful ofte tyme he was knight of the shire
0.15.27,an anlas and a gipser al of silk
0.15.28,heng at his girdel whyt as morne milk
0.15.29,a shirreve hadde he been and a countour
0.15.30,was nowher such a worthy vavasour
0.16.1,an haberdassher and a carpenter habaerdassher
0.16.2,a webbe a dyere and a tapicer carpenter
0.16.3,were with us eek clothed in o liveree webbe dyere
0.16.4,of a solempne and greet fraternitee tapicer
0.16.5,ful fresh and newe hir gere apyked was
0.16.6,hir knyves were ychaped noght with bras
0.16.7,but al with silver wroght ful clene and weel
0.16.8,hir girdles and hir pouches everydeel
0.16.9,wel semed ech of hem a fair burgeys
0.16.10,to sitten in a yeldhalle on a deys
0.16.11,everich for the wisdom that he can
0.16.12,was shaply for to been an alderman
0.16.13,for catel hadde they ynogh and rente
0.16.14,and eek hir wyves wolde it wel assente
0.16.15,and elles certein were they to blame
0.16.16,it is ful fair to been yclept ma dame
0.16.17,and goon to vigilyes al bifore
0.16.18,and have a mantel royalliche ybore
0.17.1,a cook they hadde with hem for the nones cook
0.17.2,to boille the chiknes with the marybones
0.17.3,and poudremarchant tart and galingale
0.17.4,wel coude he knowe a draughte of london ale
0.17.5,he coude roste and sethe and broille and frye
0.17.6,maken mortreux and wel bake a pye
0.17.7,but greet harm was it as it thoughte me
0.17.8,that on his shine a mormal hadde he
0.17.9,for blankmanger that made he with the beste
0.18.1,a shipman was ther woning fer by weste shipman
0.18.2,for aught i woot he was of dertemouthe
0.18.3,he rood upon a rouncy as he couthe
0.18.4,in a gowne of falding to the knee
0.18.5,a daggere hanging on a laas hadde he
0.18.6,aboute his nekke under his arm adoun
0.18.7,the hote somer had maad his hewe al broun
0.18.8,and certeinly he was a good felawe
0.18.9,ful many a draughte of wyn had he ydrawe
0.18.10,from burdeuxward whyl that the chapman sleep
0.18.11,of nyce conscience took he no keep
0.18.12,if that he faught and hadde the hyer hond
0.18.13,by water he sente hem hoom to every lond
0.18.14,but of his craft to rekene wel his tydes
0.18.15,his stremes and his daungers him bisydes
0.18.16,his herberwe and his mone his lodemenage
0.18.17,ther nas noon swich from hulle to cartage
0.18.18,hardy he was and wys to undertake
0.18.19,with many a tempest hadde his berd been shake
0.18.20,he knew wel alle the havenes as they were
0.18.21,from gootlond to the cape of finistere
0.18.22,and every cryke in britayne and in spayne
0.18.23,his barge ycleped was the maudelayne
0.19.1,with us ther was a doctour of phisyk doctour
0.19.2,in al this world ne was ther noon him lyk
0.19.3,to speke of phisik and of surgerye
0.19.4,for he was grounded in astronomye
0.19.5,he kepte his pacient a ful greet del
0.19.6,in houres by his magik naturel
0.19.7,wel coude he fortunen the ascendent
0.19.8,of his images for his pacient
0.19.9,he knew the cause of everich maladye
0.19.10,were it of hoot or cold or moiste or drye
0.19.11,and where engendred and of what humour
0.19.12,he was a verrey parfit practisour
0.19.13,the cause yknowe and of his harm the rote
0.19.14,anon he yaf the seke man his bote
0.19.15,ful redy hadde he his apothecaries
0.19.16,to sende him drogges and his letuaries
0.19.17,for ech of hem made other for to winne
0.19.18,hir frendschipe nas nat newe to biginne
0.19.19,wel knew he the olde esculapius
0.19.20,and deiscorides and eek rufus
0.19.21,old ypocras haly and galien
0.19.22,serapion razis and avicen
0.19.23,averrois damascien and constantyn
0.19.24,bernard and gatesden and gilbertyn
0.19.25,of his diete mesurable was he
0.19.26,for it was of no superfluitee
0.19.27,but of greet norissing and digestible
0.19.28,his studie was but litel on the bible
0.19.29,in sangwin and in pers he clad was al
0.19.30,lyned with taffata and with sendal
0.19.31,and yet he was but esy of dispence
0.19.32,he kepte that he wan in pestilence
0.19.33,for gold in phisik is a cordial
0.19.34,therfore he lovede gold in special
0.20.1,a good wyf was ther of bisyde bathe wyf of bathe
0.20.2,but she was somdel deef and that was scathe
0.20.3,of cloothmaking she hadde swiche an haunt
0.20.4,she passed hem of ypres and of gaunt
0.20.5,in al the parisshe wyf ne was ther noon
0.20.6,that to the offring bifore hir sholde goon
0.20.7,and if ther dide certeyn so wrooth was she
0.20.8,that she was out of alle charitee
0.20.9,hir coverchiefs ful fyne were of ground
0.20.10,i dorste swere they weyeden ten pound
0.20.11,that on a sonday were upon hir heed
0.20.12,hir hosen weren of fyn scarlet reed
0.20.13,ful streite yteyd and shoos ful moiste and newe
0.20.14,bold was hir face and fair and reed of hewe
0.20.15,she was a worthy womman al hir lyve
0.20.16,housbondes at chirchedore she hadde fyve
0.20.17,withouten other companye in youthe
0.20.18,but therof nedeth nat to speke as nouthe
0.20.19,and thryes hadde she been at ierusalem
0.20.20,she hadde passed many a straunge streem
0.20.21,at rome she hadde been and at boloigne
0.20.22,in galice at seint iame and at coloigne
0.20.23,she coude muche of wandring by the weye
0.20.24,gattothed was she soothly for to seye
0.20.25,upon an amblere esily she sat
0.20.26,ywimpled wel and on hir heed an hat
0.20.27,as brood as is a bokeler or a targe
0.20.28,a footmantel aboute hir hipes large
0.20.29,and on hir feet a paire of spores sharpe
0.20.30,in felawschip wel coude she laughe and carpe
0.20.31,of remedyes of love she knew perchaunce
0.20.32,for she coude of that art the olde daunce
0.21.1,a good man was ther of religioun persoun
0.21.2,and was a povre persoun of a toun
0.21.3,but riche he was of holy thoght and werk
0.21.4,he was also a lerned man a clerk
0.21.5,that cristes gospel trewely wolde preche
0.21.6,his parisshens devoutly wolde he teche
0.21.7,benigne he was and wonder diligent
0.21.8,and in adversitee ful pacient
0.21.9,and swich he was ypreved ofte sythes
0.21.10,ful looth were him to cursen for his tythes
0.21.11,but rather wolde he yeven out of doute
0.21.12,unto his povre parisshens aboute
0.21.13,of his offring and eek of his substaunce
0.21.14,he coude in litel thing han suffisaunce
0.21.15,wyd was his parisshe and houses fer asonder
0.21.16,but he ne lafte nat for reyn ne thonder
0.21.17,in siknes nor in meschief to visyte
0.21.18,the ferreste in his parisshe muche and lyte
0.21.19,upon his feet and in his hand a staf
0.21.20,this noble ensample to his sheep he yaf
0.21.21,that first he wroghte and afterward he taughte
0.21.22,out of the gospel he tho wordes caughte
0.21.23,and this figure he added eek therto
0.21.24,that if gold ruste what shal iren do
0.21.25,for if a preest be foul on whom we truste
0.21.26,no wonder is a lewed man to ruste
0.21.27,and shame it is if a preest take keep
0.21.28,a shiten shepherde and a clene sheep
0.21.29,wel oghte a preest ensample for to yive
0.21.30,by his clennesse how that his sheep shold live
0.21.31,he sette nat his benefice to hyre
0.21.32,and leet his sheep encombred in the myre
0.21.33,and ran to london unto seynt poules
0.21.34,to seken him a chaunterie for soules
0.21.35,or with a bretherhed to been withholde
0.21.36,but dwelte at hoom and kepte wel his folde
0.21.37,so that the wolf ne made it nat miscarie
0.21.38,he was a shepherde and no mercenarie
0.21.39,and though he holy were and vertuous
0.21.40,he was to sinful man nat despitous
0.21.41,ne of his speche daungerous ne digne
0.21.42,but in his teching discreet and benigne
0.21.43,to drawen folk to heven by fairnesse
0.21.44,by good ensample was his bisinesse
0.21.45,but it were any persone obstinat
0.21.46,whatso he were of heigh or lowe estat
0.21.47,him wolde he snibben sharply for the nones
0.21.48,a bettre preest i trowe that nowher noon is
0.21.49,he wayted after no pompe and reverence
0.21.50,ne maked him a spyced conscience
0.21.51,but cristes lore and his apostles twelve
0.21.52,he taughte and first he folwed it himselve
0.22.1,with him ther was a plowman was his brother plowman
0.22.2,that hadde ylad of dong ful many a fother
0.22.3,a trewe swinker and a good was he
0.22.4,livinge in pees and parfit charitee
0.22.5,god loved he best with al his hole herte
0.22.6,at alle tymes thogh him gamed or smerte
0.22.7,and thanne his neighebour right as himselve
0.22.8,he wolde thresshe and therto dyke and delve
0.22.9,for cristes sake for every povre wight
0.22.10,withouten hyre if it lay in his might
0.22.11,his tythes payed he ful faire and wel
0.22.12,bothe of his propre swink and his catel
0.22.13,in a tabard he rood upon a mere
0.23.1,ther was also a reve and a millere
0.23.2,a somnour and a pardoner also
0.23.3,a maunciple and myself ther were namo
0.24.1,the miller was a stout carl for the nones miller
0.24.2,ful big he was of braun and eek of bones
0.24.3,that proved wel for overal ther he cam
0.24.4,at wrastling he wolde have alwey the ram
0.24.5,he was shortsholdred brood a thikke knarre
0.24.6,ther nas no dore that he nolde heve of harre
0.24.7,or breke it at a renning with his heed
0.24.8,his berd as any sowe or fox was reed
0.24.9,and therto brood as though it were a spade
0.24.10,upon the cop right of his nose he hade
0.24.11,a werte and theron stood a tuft of heres
0.24.12,reed as the bristles of a sowes eres
0.24.13,his nosethirles blake were and wyde
0.24.14,a swerd and bokeler bar he by his syde
0.24.15,his mouth as greet was as a greet forneys
0.24.16,he was a ianglere and a goliardeys
0.24.17,and that was most of sinne and harlotryes
0.24.18,wel coude he stelen corn and tollen thryes
0.24.19,and yet he hadde a thombe of gold pardee
0.24.20,a whyt cote and a blew hood wered he
0.24.21,a baggepype wel coude he blowe and sowne
0.24.22,and therwithal he broghte us out of towne
0.25.1,a gentil maunciple was ther of a temple maunciple
0.25.2,of which achatours mighte take exemple
0.25.3,for to be wyse in bying of vitaille
0.25.4,for whether that he payde or took by taille
0.25.5,algate he wayted so in his achat
0.25.6,that he was ay biforn and in good stat
0.25.7,now is nat that of god a ful fair grace
0.25.8,that swich a lewed mannes wit shal pace
0.25.9,the wisdom of an heep of lerned men
0.25.10,of maistres hadde he mo than thryes ten
0.25.11,that were of lawe expert and curious
0.25.12,of which ther were a doseyn in that hous
0.25.13,worthy to been stiwardes of rente and lond
0.25.14,of any lord that is in engelond
0.25.15,to make him live by his propre good
0.25.16,in honour dettelees but he were wood
0.25.17,or live as scarsly as him list desire
0.25.18,and able for to helpen al a shire
0.25.19,in any cas that mighte falle or happe
0.25.20,and yit this maunciple sette hir aller cappe
0.26.1,the reve was a sclendre colerik man reve
0.26.2,his berd was shave as ny as ever he can
0.26.3,his heer was by his eres round yshorn
0.26.4,his top was dokked lyk a preest biforn
0.26.5,ful longe were his legges and ful lene
0.26.6,ylyk a staf ther was no calf ysene
0.26.7,wel coude he kepe a gerner and a binne
0.26.8,ther was noon auditour coude on him winne
0.26.9,wel wiste he by the droghte and by the reyn
0.26.10,the yelding of his seed and of his greyn
0.26.11,his lordes sheep his neet his dayerye
0.26.12,his swyn his hors his stoor and his pultrye
0.26.13,was hoolly in this reves governing
0.26.14,and by his covenaunt yaf the rekening
0.26.15,sin that his lord was twenty yeer of age
0.26.16,ther coude no man bringe him in arrerage
0.26.17,ther nas baillif ne herde ne other hyne
0.26.18,that he ne knew his sleighte and his covyne
0.26.19,they were adrad of him as of the deeth
0.26.20,his woning was ful fair upon an heeth
0.26.21,with grene trees shadwed was his place
0.26.22,he coude bettre than his lord purchace
0.26.23,ful riche he was astored prively
0.26.24,his lord wel coude he plesen subtilly
0.26.25,to yeve and lene him of his owne good
0.26.26,and have a thank and yet a cote and hood
0.26.27,in youthe he lerned hadde a good mister
0.26.28,he was a wel good wrighte a carpenter
0.26.29,this reve sat upon a ful good stot
0.26.30,that was al pomely grey and highte scot
0.26.31,a long surcote of pers upon he hade
0.26.32,and by his syde he bar a rusty blade
0.26.33,of northfolk was this reve of which i telle
0.26.34,bisyde a toun men clepen baldeswelle
0.26.35,tukked he was as is a frere aboute
0.26.36,and ever he rood the hindreste of our route
0.27.1,a somnour was ther with us in that place somnour
0.27.2,that hadde a fyrreed cherubinnes face
0.27.3,for sawcefleem he was with eyen narwe
0.27.4,as hoot he was and lecherous as a sparwe
0.27.5,with scalled browes blake and piled berd
0.27.6,of his visage children were aferd
0.27.7,ther nas quiksilver litarge ne brimstoon
0.27.8,boras ceruce ne oille of tartre noon
0.27.9,ne oynement that wolde dense and byte
0.27.10,that him mighte helpen of his whelkes whyte
0.27.11,nor of the knobbes sittinge on his chekes
0.27.12,wel loved he garleek oynons and eek lekes
0.27.13,and for to drinken strong wyn reed as blood
0.27.14,thanne wolde he speke and crye as he were wood
0.27.15,and whan that he wel dronken hadde the wyn
0.27.16,than wolde he speke no word but latyn
0.27.17,a fewe termes hadde he two or three
0.27.18,that he had lerned out of som decree
0.27.19,no wonder is he herde it al the day
0.27.20,and eek ye knowen wel how that a iay
0.27.21,can clepen watte as well as can the pope
0.27.22,but whoso coude in other thing him grope
0.27.23,thanne hadde he spent al his philosophye
0.27.24,ay questio quid iuris wolde he crye
0.27.25,he was a gentil harlot and a kinde
0.27.26,a bettre felawe sholde men noght finde
0.27.27,he wolde suffre for a quart of wyn
0.27.28,a good felawe to have his concubyn
0.27.29,a twelfmonth and excuse him atte fulle
0.27.30,ful prively a finch eek coude he pulle
0.27.31,and if he fond owher a good felawe
0.27.32,he wolde techen him to have non awe
0.27.33,in swich cas of the erchedeknes curs
0.27.34,butif a mannes soule were in his purs
0.27.35,for in his purs he sholde ypunisshed be
0.27.36,purs is the erchedeknes helle seyde he
0.27.37,but wel i woot he lyed right in dede
0.27.38,of cursing oghte ech gilty man him drede
0.27.39,for curs wol slee right as assoilling saveth
0.27.40,and also war him of a significavit
0.27.41,in daunger hadde he at his owne gyse
0.27.42,the yonge girles of the diocyse
0.27.43,and knew hir counseil and was al hir reed
0.27.44,a gerland hadde he set upon his heed
